decision_mode,model_name,sample_group,sample_idx,contract_id,collection_type,snapshot_idx,lead_windows_to_detect,decision,confidence,reason,prompt_tokens,completion_tokens,total_tokens,latency_ms,parse_success
llm_rank,claude-sonnet-4-6,malicious_pre_report,0,8_3_155ecac8_155ecac8,rugpull,119,0.0,ALLOW_BUY,0.55,"Both market and reputation evidence are neutral with no strong negative signals, supporting the default ALLOW_BUY for a flat position.",883,87,970,4643,1
llm_rank,claude-sonnet-4-6,malicious_pre_report,1,8_3_c5371723_c5371723,rugpull,113,0.3432672424279285,ALLOW_BUY,0.5,"Both market and reputation evidence are neutral with no strong negative signals, so buying is allowed by default.",883,80,963,8709,1
llm_rank,claude-sonnet-4-6,malicious_pre_report,2,8_3_74547805_74547805,rugpull,34,0.850606171187609,ALLOW_BUY,0.52,"Reputation is low but not persistently so, and with no market evidence provided the overall signal is insufficient to justify AVOID_BUY under the rules requiring multiple consistently negative signals.",883,98,981,9225,1
llm_rank,claude-sonnet-4-6,malicious_pre_report,3,8_3_4362e588_4362e588,rugpull,42,0.4617240400600089,ALLOW_BUY,0.55,"Both market and reputation evidence are neutral with no strong negative signals, supporting the default ALLOW_BUY for a flat position.",883,87,970,8047,1
llm_rank,claude-sonnet-4-6,malicious_pre_report,4,8_3_162d44f0_162d44f0,rugpull,52,0.6063131005960345,ALLOW_BUY,0.55,"Both market and reputation evidence are neutral with no strong negative signals, supporting the default ALLOW_BUY for a flat position.",883,87,970,6953,1
llm_rank,claude-sonnet-4-6,malicious_pre_report,5,8_3_c8fd581c_c8fd581c,rugpull,111,0.4452621335603941,AVOID_BUY,0.72,"Reputation is clearly negative with a very low credibility percentile (6/100) sustained over 91 consecutive windows, and with market evidence only neutral, the combined signal meets the threshold for AVOID_BUY.",885,107,992,9346,1
llm_rank,claude-sonnet-4-6,malicious_pre_report,6,8_3_155ecac8_155ecac8,rugpull,119,0.0,ALLOW_BUY,0.55,"Both market and reputation evidence are neutral with no strong negative signals, supporting the default ALLOW_BUY for a flat position.",883,87,970,5393,1
llm_rank,claude-sonnet-4-6,malicious_pre_report,7,8_3_fbbeee19_fbbeee19,rugpull,111,0.3473827190528322,ALLOW_BUY,0.52,"With no market evidence provided and a reputation that is below average but not persistently low, neither evidence group is clearly negative, so the default non-risk action applies.",883,94,977,3137,1
llm_rank,claude-sonnet-4-6,malicious_pre_report,8,8_3_c1e13c80_c1e13c80,rugpull,112,0.3817256619227182,ALLOW_BUY,0.62,"Reputation is moderately positive with no sustained low-credibility history, and market evidence is neutral, so no elevated risk signals justify avoiding a purchase.",883,91,974,2776,1
llm_rank,claude-sonnet-4-6,malicious_pre_report,9,8_3_cff377d0_cff377d0,rugpull,45,0.0606982118963629,AVOID_BUY,0.72,"Reputation evidence is clearly negative with a credibility percentile of 5/100 sustained over 20 consecutive windows, and with market evidence only neutral, the combined signal meets the threshold for AVOID_BUY.",885,107,992,3856,1
