decision_mode,sample_group,sample_idx,contract_id,snapshot_idx,decision,risk_label,market_view,reputation_view,reason,prompt_tokens,completion_tokens,total_tokens,latency_ms,parse_success,model_name
llm_base,malicious_pre_report,0,8_3_155ecac8_155ecac8,119,AVOID_BUY,RISK,negative,neutral,Zero trading activity with positive gas spend indicates dead or inactive contract with no market engagement.,816,75,891,2219,1,claude-haiku-4-5-20251001
llm_base,malicious_pre_report,1,8_3_c5371723_c5371723,113,AVOID_BUY,RISK,negative,neutral,"Complete absence of market activity (zero trades, zero buyers, zero mints, zero collection items) indicates a dead or non-functional contract.",813,87,900,2350,1,claude-haiku-4-5-20251001
llm_base,malicious_pre_report,2,8_3_74547805_74547805,34,AVOID_BUY,RISK,negative,neutral,Zero trading activity with significant gas costs indicates a dead or inactive contract with no market demand.,816,76,892,1686,1,claude-haiku-4-5-20251001
llm_base,malicious_pre_report,3,8_3_4362e588_4362e588,42,AVOID_BUY,RISK,negative,neutral,Zero trading activity with gas costs but no trades or collection items indicates a dead or failed contract with no market viability.,816,82,898,1963,1,claude-haiku-4-5-20251001
llm_base,malicious_pre_report,4,8_3_162d44f0_162d44f0,52,AVOID_BUY,RISK,negative,neutral,Zero trading activity with positive gas spend indicates dead or inactive contract with no market engagement.,816,75,891,1947,1,claude-haiku-4-5-20251001
llm_base,malicious_pre_report,5,8_3_c8fd581c_c8fd581c,111,AVOID_BUY,RISK,negative,neutral,"Complete absence of market activity (zero trades, zero buyers, zero mints, zero collection items) indicates a dead or non-functional contract.",813,87,900,2253,1,claude-haiku-4-5-20251001
llm_base,malicious_pre_report,6,8_3_155ecac8_155ecac8,119,AVOID_BUY,RISK,negative,neutral,Zero trading activity with positive gas spend indicates dead or inactive contract with no market engagement.,816,75,891,1728,1,claude-haiku-4-5-20251001
llm_base,malicious_pre_report,7,8_3_fbbeee19_fbbeee19,111,AVOID_BUY,RISK,negative,neutral,"Complete absence of market activity (zero trades, zero buyers, zero mints, zero collection items) indicates a dead or non-functional contract.",813,87,900,2476,1,claude-haiku-4-5-20251001
llm_base,malicious_pre_report,8,8_3_c1e13c80_c1e13c80,112,AVOID_BUY,RISK,negative,neutral,"Complete absence of market activity (zero trades, zero buyers, zero mints, zero collection items) indicates a dead or non-functional contract.",813,87,900,2028,1,claude-haiku-4-5-20251001
llm_base,malicious_pre_report,9,8_3_cff377d0_cff377d0,45,AVOID_BUY,RISK,negative,neutral,"Complete absence of market activity (zero trades, zero buyers, zero mints, zero collection items) indicates a dead or non-functional contract.",813,87,900,2427,1,claude-haiku-4-5-20251001
llm_base,malicious_pre_report,10,8_3_4362e588_4362e588,42,AVOID_BUY,RISK,negative,neutral,Zero trading activity with gas costs but no trades or collection items indicates a dead or failed contract with no market viability.,816,82,898,2787,1,claude-haiku-4-5-20251001
llm_base,malicious_pre_report,11,8_3_4362e588_4362e588,42,AVOID_BUY,RISK,negative,neutral,Zero trading activity with gas costs but no trades or collection items indicates a dead or failed contract with no market viability.,816,82,898,2062,1,claude-haiku-4-5-20251001
llm_base,malicious_pre_report,12,8_3_e6d00e3b_e6d00e3b,42,AVOID_BUY,RISK,negative,neutral,Zero trading activity with gas costs but no trades or mints indicates a dead or inactive contract with no market engagement.,816,81,897,2140,1,claude-haiku-4-5-20251001
llm_base,malicious_pre_report,13,8_3_c8fd581c_c8fd581c,111,AVOID_BUY,RISK,negative,neutral,"Complete absence of market activity (zero trades, zero buyers, zero mints, zero collection items) indicates a dead or non-functional contract.",813,87,900,1905,1,claude-haiku-4-5-20251001
llm_base,malicious_pre_report,14,8_3_0d99cc92_0d99cc92,71,AVOID_BUY,RISK,negative,neutral,"Zero trading activity with no price data, zero collection items, and only gas costs indicate a dead or non-functional contract.",816,83,899,2377,1,claude-haiku-4-5-20251001
llm_base,malicious_pre_report,15,8_3_162d44f0_162d44f0,52,AVOID_BUY,RISK,negative,neutral,Zero trading activity with positive gas spend indicates dead or inactive contract with no market engagement.,816,75,891,1760,1,claude-haiku-4-5-20251001
llm_base,malicious_pre_report,16,8_3_e6d00e3b_e6d00e3b,42,AVOID_BUY,RISK,negative,neutral,Zero trading activity with gas costs but no trades or mints indicates a dead or inactive contract with no market engagement.,816,81,897,1983,1,claude-haiku-4-5-20251001
llm_base,malicious_pre_report,17,8_3_0c5597e5_0c5597e5,112,AVOID_BUY,RISK,negative,neutral,"Complete absence of market activity (zero trades, zero buyers, zero mints, zero collection items) indicates a dead or non-functional contract.",813,87,900,2425,1,claude-haiku-4-5-20251001
llm_base,malicious_pre_report,18,8_3_cc2d4dae_cc2d4dae,111,AVOID_BUY,RISK,negative,neutral,"Complete absence of market activity (zero trades, zero buyers, zero mints, zero collection items) indicates a dead or non-functional contract.",813,87,900,2813,1,claude-haiku-4-5-20251001
llm_base,malicious_pre_report,19,8_3_c8fd581c_c8fd581c,111,AVOID_BUY,RISK,negative,neutral,"Complete absence of market activity (zero trades, zero buyers, zero mints, zero collection items) indicates a dead or non-functional contract.",813,87,900,2073,1,claude-haiku-4-5-20251001
llm_base,malicious_pre_report,20,8_3_0b7e393f_0b7e393f,46,AVOID_BUY,RISK,negative,neutral,Zero trading activity with significant gas expenditure suggests contract dysfunction or abandonment; flat position with no market liquidity presents meaningful risk.,816,84,900,2387,1,claude-haiku-4-5-20251001
llm_base,malicious_pre_report,21,8_3_e6d00e3b_e6d00e3b,42,AVOID_BUY,RISK,negative,neutral,Zero trading activity with gas costs but no trades or mints indicates a dead or inactive contract with no market engagement.,816,81,897,2345,1,claude-haiku-4-5-20251001
llm_base,malicious_pre_report,22,8_3_48bcdb6f_48bcdb6f,34,AVOID_BUY,RISK,negative,neutral,Zero trading activity with significant gas expenditure suggests contract dysfunction or abandonment; flat position with no market liquidity presents meaningful risk.,816,84,900,1810,1,claude-haiku-4-5-20251001
