decision_mode,sample_group,sample_idx,contract_id,snapshot_idx,decision,risk_label,market_view,reputation_view,reason,prompt_tokens,completion_tokens,total_tokens,latency_ms,parse_success,model_name
llm_base,malicious_pre_report,0,8_3_155ecac8_155ecac8,119,ALLOW_BUY,NO_RISK,neutral,neutral,"The market evidence shows no activity and the reputation evidence is missing, leading to a neutral assessment.",786,72,858,1687,1,gemini-3.1-flash-lite-preview
llm_base,malicious_pre_report,1,8_3_c5371723_c5371723,113,ALLOW_BUY,NO_RISK,neutral,neutral,"The market evidence is null or zero due to lack of activity, which defaults to a neutral assessment.",777,73,850,2014,1,gemini-3.1-flash-lite-preview
llm_base,malicious_pre_report,2,8_3_74547805_74547805,34,ALLOW_BUY,NO_RISK,neutral,neutral,"The market evidence shows no activity and the reputation evidence is unavailable, resulting in a neutral assessment.",786,72,858,1886,1,gemini-3.1-flash-lite-preview
llm_base,malicious_pre_report,3,8_3_4362e588_4362e588,42,ALLOW_BUY,NO_RISK,neutral,neutral,"The market evidence shows no activity, which is neutral rather than negative, and no reputation data was provided.",785,74,859,2013,1,gemini-3.1-flash-lite-preview
llm_base,malicious_pre_report,4,8_3_162d44f0_162d44f0,52,ALLOW_BUY,NO_RISK,neutral,neutral,"The market evidence shows no activity and the reputation evidence is missing, leading to a neutral assessment.",786,72,858,2023,1,gemini-3.1-flash-lite-preview
llm_base,malicious_pre_report,5,8_3_c8fd581c_c8fd581c,111,ALLOW_BUY,NO_RISK,neutral,neutral,"The market evidence is null or zero due to lack of activity, which defaults to a neutral assessment.",777,73,850,2127,1,gemini-3.1-flash-lite-preview
llm_base,malicious_pre_report,6,8_3_155ecac8_155ecac8,119,ALLOW_BUY,NO_RISK,neutral,neutral,"The market evidence shows no activity and the reputation evidence is missing, leading to a neutral assessment.",786,72,858,1759,1,gemini-3.1-flash-lite-preview
llm_base,malicious_pre_report,7,8_3_fbbeee19_fbbeee19,111,ALLOW_BUY,NO_RISK,neutral,neutral,"The market evidence is null or zero due to lack of activity, which defaults to a neutral assessment.",777,73,850,1636,1,gemini-3.1-flash-lite-preview
llm_base,malicious_pre_report,8,8_3_c1e13c80_c1e13c80,112,ALLOW_BUY,NO_RISK,neutral,neutral,"The market evidence is null or zero due to lack of activity, which defaults to a neutral assessment.",777,73,850,1339,1,gemini-3.1-flash-lite-preview
llm_base,malicious_pre_report,9,8_3_cff377d0_cff377d0,45,ALLOW_BUY,NO_RISK,neutral,neutral,"The market evidence is null or zero due to lack of activity, which defaults to a neutral assessment.",777,73,850,1899,1,gemini-3.1-flash-lite-preview
