decision_mode,sample_group,sample_idx,contract_id,snapshot_idx,decision,risk_label,market_view,reputation_view,reason,prompt_tokens,completion_tokens,total_tokens,latency_ms,parse_success,model_name
llm_base,malicious_pre_report,0,8_3_155ecac8_155ecac8,119,ALLOW_BUY,NO_RISK,negative,neutral,"The market shows no trading activity, but there is no reputation evidence to confirm risk.",786,70,856,1489,1,gemini-2.5-flash-nothinking
llm_base,malicious_pre_report,1,8_3_c5371723_c5371723,113,AVOID_BUY,RISK,negative,neutral,"The market evidence shows no activity, indicating a lack of demand or liquidity for the NFT.",777,69,846,1405,1,gemini-2.5-flash-nothinking
llm_base,malicious_pre_report,2,8_3_74547805_74547805,34,ALLOW_BUY,NO_RISK,negative,neutral,"Market evidence is negative due to zero trading activity, but without reputation evidence, the overall risk is not strong enough to label as RISK.",786,80,866,2022,1,gemini-2.5-flash-nothinking
llm_base,malicious_pre_report,3,8_3_4362e588_4362e588,42,AVOID_BUY,RISK,negative,neutral,"The market shows no trading activity and zero items, indicating potential issues or a delisted collection.",785,70,855,1424,1,gemini-2.5-flash-nothinking
llm_base,malicious_pre_report,4,8_3_162d44f0_162d44f0,52,ALLOW_BUY,NO_RISK,negative,neutral,"The market shows no trading activity, but without reputation evidence, the risk is not strong enough to warrant a 'RISK' label.",786,80,866,1950,1,gemini-2.5-flash-nothinking
llm_base,malicious_pre_report,5,8_3_c8fd581c_c8fd581c,111,ALLOW_BUY,NO_RISK,negative,neutral,"Market evidence is negative due to zero activity, but without reputation evidence, the overall risk is considered neutral.",777,74,851,1884,1,gemini-2.5-flash-nothinking
llm_base,malicious_pre_report,6,8_3_155ecac8_155ecac8,119,ALLOW_BUY,NO_RISK,negative,neutral,"The market shows no trading activity, but there is no reputation evidence to confirm risk.",786,70,856,1313,1,gemini-2.5-flash-nothinking
llm_base,malicious_pre_report,7,8_3_fbbeee19_fbbeee19,111,AVOID_BUY,RISK,negative,neutral,"The market evidence shows no activity, indicating a lack of demand or liquidity for the NFT.",777,69,846,1845,1,gemini-2.5-flash-nothinking
llm_base,malicious_pre_report,8,8_3_c1e13c80_c1e13c80,112,ALLOW_BUY,NO_RISK,negative,neutral,"Market evidence is negative due to zero activity, but without reputation evidence, the overall risk is considered neutral.",777,74,851,1522,1,gemini-2.5-flash-nothinking
llm_base,malicious_pre_report,9,8_3_cff377d0_cff377d0,45,ALLOW_BUY,NO_RISK,negative,neutral,"Market evidence is negative due to zero activity, but without reputation evidence, the overall risk is considered neutral.",777,74,851,2313,1,gemini-2.5-flash-nothinking
