"bucket","contract_id","snapshot_idx","collection_type","rep_rank_pct","low_rep_streak","mode","model_name","decision","risk_label","market_view","reputation_view","confidence","prompt_tokens","completion_tokens","total_tokens","latency_ms","reason"
"risk","8_3_0205c970_0205c970","42","rugpull","0.666666666666667","0","llm_base","gpt-5.4-nano","ALLOW_BUY","NO_RISK","neutral","neutral","0.58","708","76","784","1175","No trading activity or pricing signals in the window and no reputation evidence were provided, so there is no strong basis to flag meaningful risk."
"risk","8_3_0205c970_0205c970","42","rugpull","0.666666666666667","0","llm_base_rank","gpt-5.4-nano","ALLOW_BUY","NO_RISK","neutral","neutral","0.62","848","78","926","1191","With no recent market activity (all zero/unknown) and no persistent low-reputation streak, there is no meaningful risk signal in either group."
"risk","8_3_0205c970_0205c970","42","rugpull","0.666666666666667","0","llm_base_rank_compact","gpt-5.4-nano","AVOID_BUY","RISK","neutral","negative","0.62","781","76","857","1191","Market signals are missing (neutral), while the entity’s long-term trust credibility is low (33/100), indicating meaningful reputation-side risk."
"risk","8_3_0205c970_0205c970","42","rugpull","0.666666666666667","0","llm_base_rank_mini","gpt-5.4-nano","ALLOW_BUY","NO_RISK","neutral","neutral","0.56","759","69","828","1057","Market evidence is missing/neutral and reputation credibility is mid-range with no persistent low-reputation streak."
"risk","8_3_0b7e393f_0b7e393f","46","rugpull","0.5","0","llm_base","gpt-5.4-nano","ALLOW_BUY","NO_RISK","neutral","neutral","0.62","711","78","789","1252","No trades, buyers, or minted items are observed in the window and no reputation inputs are provided, so evidence for meaningful risk is not present."
"risk","8_3_0b7e393f_0b7e393f","46","rugpull","0.5","0","llm_base_rank","gpt-5.4-nano","ALLOW_BUY","NO_RISK","neutral","neutral","0.62","851","68","919","1145","No market activity in the window and reputation credibility is mid-level without any low-reputation streak."
"risk","8_3_0b7e393f_0b7e393f","46","rugpull","0.5","0","llm_base_rank_compact","gpt-5.4-nano","ALLOW_BUY","NO_RISK","neutral","neutral","0.56","781","76","857","1206","With no market trading/price signals and only middling reputation credibility (no low-reputation streak), there is no meaningful risk evidence."
"risk","8_3_0b7e393f_0b7e393f","46","rugpull","0.5","0","llm_base_rank_mini","gpt-5.4-nano","ALLOW_BUY","NO_RISK","neutral","neutral","0.55","759","70","829","1323","Market evidence is missing (neutral) and reputation credibility is mid-range with no persistent low-reputation streak."
"risk","8_3_0c5597e5_0c5597e5","112","rugpull","0.873684210526316","31","llm_base","gpt-5.4-nano","ALLOW_BUY","NO_RISK","neutral","neutral","0.55","708","77","785","1224","No market activity data (0 trades/mints/price) and no reputation signals are provided, so there is insufficient evidence of meaningful risk."
"risk","8_3_0c5597e5_0c5597e5","112","rugpull","0.873684210526316","31","llm_base_rank","gpt-5.4-nano","AVOID_BUY","RISK","neutral","negative","0.7","848","81","929","1248","No recent market activity (neutral) while long-term credibility is poor (13th percentile) with a persistent low-reputation streak (31 windows), indicating meaningful risk."
"risk","8_3_0c5597e5_0c5597e5","112","rugpull","0.873684210526316","31","llm_base_rank_compact","gpt-5.4-nano","AVOID_BUY","RISK","neutral","negative","0.72","781","85","866","1323","Market evidence is missing/neutral, while the entity has very poor and persistent trust credibility (13th percentile and a 31-window low-reputation streak), indicating meaningful long-term risk."
"risk","8_3_0c5597e5_0c5597e5","112","rugpull","0.873684210526316","31","llm_base_rank_mini","gpt-5.4-nano","AVOID_BUY","RISK","neutral","negative","0.68","759","83","842","1287","Market evidence is missing/neutral, but long-term credibility is persistently poor (13/100 and a 31-window low-reputation streak), indicating meaningful contract/entity risk."
"risk","8_3_0d99cc92_0d99cc92","71","rugpull","0.682926829268293","0","llm_base","gpt-5.4-nano","ALLOW_BUY","NO_RISK","neutral","neutral","0.62","711","73","784","1219","No trade or mint activity in the window and no reputation signals provided, so there is no strong evidence of meaningful risk."
"risk","8_3_0d99cc92_0d99cc92","71","rugpull","0.682926829268293","0","llm_base_rank","gpt-5.4-nano","AVOID_BUY","RISK","neutral","negative","0.62","851","81","932","1206","No trading activity in the current window is neutral, while the entity’s credibility is below mid-range (32/100) which is a meaningful long-term risk signal."
"risk","8_3_0d99cc92_0d99cc92","71","rugpull","0.682926829268293","0","llm_base_rank_compact","gpt-5.4-nano","AVOID_BUY","RISK","neutral","negative","0.66","781","82","863","1216","Market signals are missing (neutral) while the entity shows below-median long-term credibility (32/100), indicating meaningful reputational risk despite no short-term price evidence."
"risk","8_3_0d99cc92_0d99cc92","71","rugpull","0.682926829268293","0","llm_base_rank_mini","gpt-5.4-nano","AVOID_BUY","RISK","neutral","negative","0.62","759","73","832","1249","Market signals are missing/neutral, but the low long-term trust credibility (32/100) is a negative reputation signal."
