decision_mode,model_name,sample_group,sample_idx,contract_id,collection_type,snapshot_idx,lead_windows_to_detect,risk_label,market_view,reputation_view,decision,confidence,reason,prompt_tokens,completion_tokens,total_tokens,latency_ms,parse_success
llm_base_rank,gpt-5.4-nano,malicious_pre_report,0,8_3_155ecac8_155ecac8,rugpull,119,0.0,NO_RISK,neutral,neutral,ALLOW_BUY,0.62,"No trading activity in the window is neutral, and the reputation credibility (62/100) with no low-reputation streak does not indicate clear elevated long-term risk.",851,82,933,2483,1
llm_base_rank,gpt-5.4-nano,malicious_pre_report,1,8_3_c5371723_c5371723,rugpull,113,0.3432672424279285,NO_RISK,neutral,neutral,ALLOW_BUY,0.62,"No market activity is observed (neutral) and the reputation credibility is mid-range with no low-reputation streak, so there is no meaningful combined risk signal.",848,80,928,1064,1
llm_base_rank,gpt-5.4-nano,malicious_pre_report,2,8_3_74547805_74547805,rugpull,34,0.850606171187609,RISK,neutral,negative,AVOID_BUY,0.62,"No trading activity in the window is neutral, but the entity’s low credibility (23/100) is a meaningful long-term risk signal.",851,76,927,1046,1
llm_base_rank,gpt-5.4-nano,malicious_pre_report,3,8_3_4362e588_4362e588,rugpull,42,0.4617240400600089,NO_RISK,neutral,neutral,ALLOW_BUY,0.56,No trading activity in the window (neutral market signal) and mid-range reputation credibility without any low-reputation streak (neutral reputation signal) suggests no meaningful risk signal.,851,82,933,1202,1
llm_base_rank,gpt-5.4-nano,malicious_pre_report,4,8_3_162d44f0_162d44f0,rugpull,52,0.6063131005960345,NO_RISK,neutral,neutral,ALLOW_BUY,0.62,No contract-window trading activity is observed (neutral market) and the reputation credibility is around the median with no low-reputation streak (no strong negative signal).,851,81,932,1215,1
llm_base_rank,gpt-5.4-nano,malicious_pre_report,5,8_3_c8fd581c_c8fd581c,rugpull,111,0.4452621335603941,RISK,neutral,negative,AVOID_BUY,0.72,No market activity in the window is neutral while very poor and persistent trust-reputation credibility (6/100 and 91-window low-reputation streak) indicates meaningful long-term risk.,848,84,932,1637,1
llm_base_rank,gpt-5.4-nano,malicious_pre_report,6,8_3_155ecac8_155ecac8,rugpull,119,0.0,NO_RISK,neutral,neutral,ALLOW_BUY,0.6,"No on-window trading activity suggests neutral market conditions, and the entity credibility (62/100) with no low-reputation streak does not indicate clear long-term reputational risk.",851,84,935,1342,1
llm_base_rank,gpt-5.4-nano,malicious_pre_report,7,8_3_fbbeee19_fbbeee19,rugpull,111,0.3473827190528322,NO_RISK,neutral,neutral,ALLOW_BUY,0.56,No market activity in the window plus only mid-level credibility (not a persistent low-reputation streak) does not indicate meaningful near-term or long-term NFT risk.,848,81,929,1143,1
llm_base_rank,gpt-5.4-nano,malicious_pre_report,8,8_3_c1e13c80_c1e13c80,rugpull,112,0.3817256619227182,NO_RISK,neutral,neutral,ALLOW_BUY,0.62,No trades or activity in the current window while the reputation credibility is mid-high with no persistent low-reputation streak.,848,72,920,1214,1
llm_base_rank,gpt-5.4-nano,malicious_pre_report,9,8_3_cff377d0_cff377d0,rugpull,45,0.0606982118963629,RISK,neutral,negative,AVOID_BUY,0.73,"No recent market activity is present, and long-persistent low credibility (5th percentile with 20-window streak) creates meaningful delisting/freeze/sellability risk.",848,82,930,1231,1
llm_base_rank,gpt-5.4-nano,good_trust,0,Milady,trust,56,,RISK,neutral,negative,AVOID_BUY,0.72,"Market activity looks steady with only mild price/trade contraction, but the entity’s long-term trust credibility is very high risk (low credibility percentile rank).",867,79,946,1218,1
llm_base_rank,gpt-5.4-nano,good_trust,1,Cool_Cats,trust,42,,NO_RISK,positive,neutral,ALLOW_BUY,0.66,"Strong recent trading activity with only mild price drop is offset by non-critical reputation credibility (68th percentile, no low-reputation streak), suggesting no meaningful risk signal.",867,82,949,1183,1
llm_base_rank,gpt-5.4-nano,good_trust,2,Dope_Shibas,trust,10,,RISK,positive,negative,AVOID_BUY,0.68,"Market activity/price are improving in the current window, but the entity’s long-term trust credibility is below midrange, creating meaningful delisting/freeze resale risk.",869,81,950,1475,1
llm_base_rank,gpt-5.4-nano,good_trust,3,BrainDrops,trust,26,,NO_RISK,neutral,neutral,ALLOW_BUY,0.62,"Market activity is healthy with only slight price/trade softening and reputation credibility is mid-range (no persistent low-reputation streak), so there is no clear meaningful risk signal.",867,84,951,1292,1
llm_base_rank,gpt-5.4-nano,good_trust,4,Milady,trust,74,,RISK,negative,neutral,AVOID_BUY,0.72,"Market activity is down versus the prior window while credibility is high (93/100), so the short-term deterioration suggests meaningful risk despite no persistent low-reputation streak.",867,81,948,1297,1
llm_base_rank,gpt-5.4-nano,good_trust,5,FLUF,trust,87,,NO_RISK,neutral,neutral,ALLOW_BUY,0.62,"Trading activity remains healthy with only mild price/trade declines, and reputation credibility is solid (high percentile), so there is no clear meaningful risk signal.",867,79,946,1195,1
llm_base_rank,gpt-5.4-nano,good_trust,6,My_Pet_Hooligan,trust,82,,NO_RISK,neutral,positive,ALLOW_BUY,0.66,"Market activity is steady with only slight price/trade declines, and the reputation credibility percentile is high, indicating no meaningful combined risk signal.",867,76,943,1285,1
llm_base_rank,gpt-5.4-nano,good_trust,7,My_Pet_Hooligan,trust,88,,RISK,positive,negative,AVOID_BUY,0.74,"Market activity is healthy and prices are up versus the previous window, but the entity’s long-term credibility is relatively poor (86/100) with no offsetting positive reputation signal, which keeps the risk meaningful.",866,90,956,1240,1
llm_base_rank,gpt-5.4-nano,good_trust,8,Lazy_Lions,trust,75,,RISK,neutral,negative,AVOID_BUY,0.68,"Market activity/price change is only slightly negative (near-neutral), but the reputation credibility is relatively low (84/100) indicating meaningful long-term risk.",867,79,946,1360,1
llm_base_rank,gpt-5.4-nano,good_trust,9,Loot,trust,89,,NO_RISK,neutral,neutral,ALLOW_BUY,0.6,"Market activity and prices are broadly stable (slight price drop), and the entity credibility is relatively high with no low-reputation streak, so there is no clear meaningful risk signal.",866,85,951,1203,1
llm_base_rank_compact,gpt-5.4-nano,malicious_pre_report,0,8_3_155ecac8_155ecac8,rugpull,119,0.0,NO_RISK,neutral,neutral,ALLOW_BUY,0.46,Market evidence is missing/neutral and reputation credibility (62/100) with no low-reputation streak does not indicate a strong long-term risk signal.,781,79,860,1221,1
llm_base_rank_compact,gpt-5.4-nano,malicious_pre_report,1,8_3_c5371723_c5371723,rugpull,113,0.3432672424279285,NO_RISK,neutral,neutral,ALLOW_BUY,0.52,No market movement data is provided and the reputation credibility is around the middle (49/100) with no persistent low-reputation streak.,781,76,857,1182,1
llm_base_rank_compact,gpt-5.4-nano,malicious_pre_report,2,8_3_74547805_74547805,rugpull,34,0.850606171187609,RISK,neutral,negative,AVOID_BUY,0.7,"With no actionable market signals, the notably low TRep credibility (23/100) drives a negative reputation risk outlook.",781,72,853,1143,1
llm_base_rank_compact,gpt-5.4-nano,malicious_pre_report,3,8_3_4362e588_4362e588,rugpull,42,0.4617240400600089,NO_RISK,neutral,neutral,ALLOW_BUY,0.46,"No market activity change data is available (neutral), and the reputation credibility is around median with no low-reputation streak, so no meaningful risk signal is present.",781,81,862,1300,1
llm_base_rank_compact,gpt-5.4-nano,malicious_pre_report,4,8_3_162d44f0_162d44f0,rugpull,52,0.6063131005960345,NO_RISK,neutral,neutral,ALLOW_BUY,0.55,"With no usable market data and mid credibility reputation (52/100) with no low-reputation streak, there is no clear risk signal.",781,77,858,1212,1
llm_base_rank_compact,gpt-5.4-nano,malicious_pre_report,5,8_3_c8fd581c_c8fd581c,rugpull,111,0.4452621335603941,RISK,neutral,negative,AVOID_BUY,0.72,"Market signals are missing (neutral), but reputation credibility is very low (6/100) with a persistent 91-window low-reputation streak, indicating meaningful long-term risk.",781,83,864,1211,1
llm_base_rank_compact,gpt-5.4-nano,malicious_pre_report,6,8_3_155ecac8_155ecac8,rugpull,119,0.0,RISK,neutral,negative,AVOID_BUY,0.62,"With no usable market activity signals, the only guidance is a mildly below-mid long-term trust credibility (62/100) which pushes the record into risk.",781,79,860,1182,1
llm_base_rank_compact,gpt-5.4-nano,malicious_pre_report,7,8_3_fbbeee19_fbbeee19,rugpull,111,0.3473827190528322,RISK,neutral,negative,AVOID_BUY,0.62,"Market evidence is missing (neutral), while the entity’s long-term credibility is below average (37/100) indicating elevated reputation risk.",781,75,856,1228,1
llm_base_rank_compact,gpt-5.4-nano,malicious_pre_report,8,8_3_c1e13c80_c1e13c80,rugpull,112,0.3817256619227182,NO_RISK,neutral,neutral,ALLOW_BUY,0.62,"With no market-price/trade signals available and only a moderately high credibility percentile (no low-reputation streak), there is no clear evidence of meaningful contract-window risk.",781,82,863,1218,1
llm_base_rank_compact,gpt-5.4-nano,malicious_pre_report,9,8_3_cff377d0_cff377d0,rugpull,45,0.0606982118963629,RISK,neutral,negative,AVOID_BUY,0.72,"With no actionable market signals available, the persistent very low TRep credibility streak (20 consecutive windows, 5/100) is a strong risk indicator.",781,79,860,1324,1
llm_base_rank_compact,gpt-5.4-nano,good_trust,0,Milady,trust,56,,NO_RISK,negative,positive,ALLOW_BUY,0.7,"Market shows mild price and activity declines, but long-term credibility is strong (high percentile, no low-credibility streak), so overall risk is not meaningful.",793,81,874,1215,1
llm_base_rank_compact,gpt-5.4-nano,good_trust,1,Cool_Cats,trust,42,,NO_RISK,neutral,positive,ALLOW_BUY,0.72,"Market is slightly down but activity is higher, while long-term credibility is healthy with no low-reputation streak, suggesting low meaningful risk.",793,76,869,1181,1
llm_base_rank_compact,gpt-5.4-nano,good_trust,2,Dope_Shibas,trust,10,,NO_RISK,positive,neutral,ALLOW_BUY,0.66,"Recent window prices and trades are trending up while reputation credibility is only mildly low (no persistent low-reputation streak), so risk signals are not strong enough to avoid buying.",793,83,876,1210,1
llm_base_rank_compact,gpt-5.4-nano,good_trust,3,BrainDrops,trust,26,,RISK,negative,neutral,AVOID_BUY,0.66,"Market signals are slightly deteriorating while reputation credibility is only mid-range (not clearly strong), making combined risk meaningful.",793,71,864,1133,1
llm_base_rank_compact,gpt-5.4-nano,good_trust,4,Milady,trust,74,,NO_RISK,negative,positive,ALLOW_BUY,0.66,"Market shows mild-to-moderate deterioration, but reputation credibility is very strong (93/100) with no low-reputation streak, offsetting the market weakness.",793,82,875,1382,1
llm_base_rank_compact,gpt-5.4-nano,good_trust,5,FLUF,trust,87,,NO_RISK,negative,positive,ALLOW_BUY,0.62,"Market activity shows mild deterioration, but long-term reputation credibility is strong (84th percentile, no low-credibility streak), offsetting the short-term weakness.",793,81,874,1290,1
llm_base_rank_compact,gpt-5.4-nano,good_trust,6,My_Pet_Hooligan,trust,82,,RISK,negative,positive,AVOID_BUY,0.68,"Market activity shows falling price and fewer trades versus the prior window, and while credibility is high, the negative market signal is strong enough to warrant risk.",793,78,871,1185,1
llm_base_rank_compact,gpt-5.4-nano,good_trust,7,My_Pet_Hooligan,trust,88,,NO_RISK,positive,positive,ALLOW_BUY,0.74,"Market is trending up with stable trade activity, and reputation credibility is high, indicating low risk of unsellable contract behavior.",792,74,866,1219,1
llm_base_rank_compact,gpt-5.4-nano,good_trust,8,Lazy_Lions,trust,75,,NO_RISK,neutral,positive,ALLOW_BUY,0.68,"Market conditions are slightly negative but not deteriorating meaningfully, while reputation credibility is high (84th percentile), so overall risk is low.",793,77,870,1235,1
