decision_mode,model_name,sample_group,sample_idx,contract_id,collection_type,snapshot_idx,lead_windows_to_detect,decision,confidence,reason,prompt_tokens,completion_tokens,total_tokens,latency_ms,parse_success
llm_rank,deepseek-v3.2,malicious_pre_report,0,8_3_155ecac8_155ecac8,rugpull,119,0.0,ALLOW_BUY,0.6,Reputation is average and no negative market signals are present.,814,55,869,5526,1
llm_rank,deepseek-v3.2,malicious_pre_report,1,8_3_c5371723_c5371723,rugpull,113,0.3432672424279285,ALLOW_BUY,0.6,"Market and reputation evidence are both neutral, with no strong consistent risk signals.",814,58,872,7875,1
llm_rank,deepseek-v3.2,malicious_pre_report,3,8_3_4362e588_4362e588,rugpull,42,0.4617240400600089,ALLOW_BUY,0.7,"Market and reputation evidence are both neutral, with no strong negative signals.",814,57,871,6156,1
llm_rank,deepseek-v3.2,malicious_pre_report,4,8_3_162d44f0_162d44f0,rugpull,52,0.6063131005960345,ALLOW_BUY,0.6,"Both market and reputation evidence are neutral, with no consistent negative signals.",814,57,871,6314,1
llm_rank,deepseek-v3.2,malicious_pre_report,5,8_3_c8fd581c_c8fd581c,rugpull,111,0.4452621335603941,AVOID_BUY,0.7,Persistently low credibility outweighs neutral market signals.,815,55,870,4717,1
llm_rank,deepseek-v3.2,malicious_pre_report,6,8_3_155ecac8_155ecac8,rugpull,119,0.0,ALLOW_BUY,0.7,"Both market and reputation evidence are neutral, with no strong negative signals.",814,57,871,4541,1
llm_rank,deepseek-v3.2,malicious_pre_report,7,8_3_fbbeee19_fbbeee19,rugpull,111,0.3473827190528322,ALLOW_BUY,0.6,Market evidence is neutral and reputation is not clearly negative.,814,55,869,4903,1
llm_rank,deepseek-v3.2,malicious_pre_report,8,8_3_c1e13c80_c1e13c80,rugpull,112,0.3817256619227182,ALLOW_BUY,0.8,Strong reputation outweighs neutral market signals.,814,51,865,4474,1
llm_rank,deepseek-v3.2,malicious_pre_report,9,8_3_cff377d0_cff377d0,rugpull,45,0.0606982118963629,AVOID_BUY,0.7,Low credibility and sustained poor reputation indicate elevated risk.,815,54,869,5266,1
llm_rank,deepseek-v3.2,malicious_pre_report,10,8_3_4362e588_4362e588,rugpull,42,0.4617240400600089,ALLOW_BUY,0.7,"Both market and reputation evidence are neutral, with no strong negative signals.",814,57,871,5125,1
llm_rank,deepseek-v3.2,malicious_pre_report,11,8_3_4362e588_4362e588,rugpull,42,0.4617240400600089,ALLOW_BUY,0.6,"Market and reputation evidence are both neutral, with no strong negative signals.",814,57,871,10570,1
llm_rank,deepseek-v3.2,malicious_pre_report,12,8_3_e6d00e3b_e6d00e3b,rugpull,42,0.411426022787171,AVOID_BUY,0.6,Low credibility and no positive market signals to offset it.,814,56,870,4932,1
llm_rank,deepseek-v3.2,malicious_pre_report,13,8_3_c8fd581c_c8fd581c,rugpull,111,0.4452621335603941,AVOID_BUY,0.7,Low credibility and sustained poor reputation outweigh neutral market signals.,815,56,871,4225,1
llm_rank,deepseek-v3.2,malicious_pre_report,14,8_3_0d99cc92_0d99cc92,rugpull,71,0.3651015691521713,AVOID_BUY,0.6,Low credibility and neutral market signals suggest elevated risk.,814,55,869,4831,1
llm_rank,deepseek-v3.2,malicious_pre_report,15,8_3_162d44f0_162d44f0,rugpull,52,0.6063131005960345,ALLOW_BUY,0.6,Reputation is average and no negative market signals are present.,814,55,869,4892,1
llm_rank,deepseek-v3.2,malicious_pre_report,16,8_3_e6d00e3b_e6d00e3b,rugpull,42,0.411426022787171,AVOID_BUY,0.65,Low credibility and neutral market signals suggest elevated risk.,814,55,869,4851,1
llm_rank,deepseek-v3.2,malicious_pre_report,17,8_3_0c5597e5_0c5597e5,rugpull,112,0.3810971901228561,AVOID_BUY,0.65,Low credibility and prolonged poor reputation outweigh neutral market signals.,815,56,871,9942,1
