decision_mode,sample_group,sample_idx,contract_id,snapshot_idx,rep_rank_pct,low_rep_streak,decision,risk_label,market_view,reputation_view,reason,prompt_tokens,total_tokens,model_name
llm_base_rank,malicious_pre_report,0,8_3_155ecac8_155ecac8,119,0.3789473684210526,0,ALLOW_BUY,NO_RISK,neutral,neutral,"No on-window trading activity suggests no short-term market distress, and reputation credibility is mid-range with no persistent low-reputation streak.",851,926,gpt-5.4-nano
llm_base_rank,malicious_pre_report,1,8_3_c5371723_c5371723,113,0.5052631578947369,0,ALLOW_BUY,NO_RISK,neutral,neutral,"With no observed trading activity in the window (neutral market) and only mid-level trust credibility without any low-reputation streak (neutral reputation), there is no meaningful risk signal.",848,932,gpt-5.4-nano
llm_base_rank,malicious_pre_report,2,8_3_74547805_74547805,34,0.7708333333333334,0,ALLOW_BUY,NO_RISK,neutral,neutral,"No on-window trading activity (neutral market) and the reputation credibility is not persistently low (low-reputation streak is zero), so there is no clear meaningful risk signal.",851,935,gpt-5.4-nano
llm_base_rank,malicious_pre_report,3,8_3_4362e588_4362e588,42,0.4736842105263157,0,ALLOW_BUY,NO_RISK,neutral,neutral,"No recent trading activity is present (neutral market evidence) and the reputation credibility is mid-range (neutral), so there is no strong risk signal.",851,929,gpt-5.4-nano
llm_base_rank,malicious_pre_report,4,8_3_162d44f0_162d44f0,52,0.484375,0,ALLOW_BUY,NO_RISK,neutral,neutral,No recent trading activity is observed (neutral market signal) and the credibility percentile is mid-range with no low-reputation streak (neutral reputation signal).,851,930,gpt-5.4-nano
llm_base_rank,malicious_pre_report,5,8_3_c8fd581c_c8fd581c,111,0.936842105263158,91,AVOID_BUY,RISK,neutral,negative,"No activity in the window is neutral, but very low and persistent reputation credibility (6/100 with a 91-window low-reputation streak) is a meaningful long-term risk.",848,932,gpt-5.4-nano
llm_base_rank,malicious_pre_report,6,8_3_155ecac8_155ecac8,119,0.3789473684210526,0,ALLOW_BUY,NO_RISK,neutral,neutral,"No recent market activity is observed (neutral) and the entity credibility is mid-range with no low-reputation streak, so there is no strong risk signal.",851,931,gpt-5.4-nano
llm_base_rank,malicious_pre_report,7,8_3_fbbeee19_fbbeee19,111,0.631578947368421,0,ALLOW_BUY,NO_RISK,neutral,neutral,"No market activity in the window keeps market risk neutral, and reputation credibility is only modestly low without a persistent streak.",848,921,gpt-5.4-nano
llm_base_rank,malicious_pre_report,8,8_3_c1e13c80_c1e13c80,112,0.2947368421052631,0,ALLOW_BUY,NO_RISK,neutral,neutral,"No on-window trading or mint activity is observed (neutral market), and reputation credibility is mid-high with no low-reputation streak (neutral reputation), so there is no meaningful risk signal.",848,934,gpt-5.4-nano
llm_base_rank,malicious_pre_report,9,8_3_cff377d0_cff377d0,45,0.9482758620689656,20,AVOID_BUY,RISK,neutral,negative,"No on-window market activity is present while the entity shows persistent very low credibility (5th percentile with a 20-window low-reputation streak), indicating elevated delisting/freeze/sellability risk.",848,936,gpt-5.4-nano
llm_base_rank,top_trust,0,Milady,109,0.0105263157894736,0,AVOID_BUY,RISK,negative,neutral,"Despite very strong current buyer/trade activity, the latest window shows clear market deterioration (trade count and price down vs prior), while reputation credibility is high enough to be non-determinative, leading to a net meaningful risk.",867,960,gpt-5.4-nano
llm_base_rank,top_trust,1,BoredApeYachtClub,82,0.0113636363636363,0,ALLOW_BUY,NO_RISK,neutral,positive,"Market activity is steady-to-slightly down while long-term reputation credibility is very strong (99/100), indicating no meaningful risk signal.",865,942,gpt-5.4-nano
llm_base_rank,top_trust,2,CloneX,86,0.0109890109890109,0,ALLOW_BUY,NO_RISK,positive,neutral,Strong and steady recent market activity with slight price uptick is offset by only neutral long-term trust signals (high credibility percentile and no low-reputation streak).,868,949,gpt-5.4-nano
llm_base_rank,top_trust,3,CloneX,72,0.0117647058823529,0,ALLOW_BUY,NO_RISK,neutral,positive,"Market activity is healthy but slightly down versus the prior window, while very high TRep credibility (99/100) indicates low long-term risk.",868,946,gpt-5.4-nano
llm_base_rank,top_trust,4,CloneX,100,0.0106382978723404,0,AVOID_BUY,RISK,neutral,negative,"Market activity is solid but slightly down, while very high credibility-penalized reputation signals long-term risk, making the overall setup meaningfully risky.",866,944,gpt-5.4-nano
llm_base_rank,top_trust,5,CloneX,70,0.0121951219512195,0,ALLOW_BUY,NO_RISK,positive,positive,"Strong recent trading activity with only a mild price dip, and very high TRep credibility (99/100) with no low-reputation streak indicate low meaningful risk.",868,950,gpt-5.4-nano
llm_base_rank,top_trust,6,Milady,91,0.0108695652173913,0,ALLOW_BUY,NO_RISK,neutral,positive,"Market activity and pricing are broadly stable while the entity’s long-term credibility is very high, so no meaningful risk signal is present.",868,943,gpt-5.4-nano
llm_base_rank,top_trust,7,Milady,90,0.0108695652173913,0,ALLOW_BUY,NO_RISK,positive,positive,Strong recent trading activity with positive price momentum and high current TRep credibility (99/100) indicate low delisting/freeze risk.,870,946,gpt-5.4-nano
llm_base_rank,top_trust,8,CloneX,88,0.0109890109890109,0,AVOID_BUY,RISK,positive,negative,"Strong market activity with a modest price uptick is offset by very high long-term credibility percentile risk (99/100 with no low-reputation streak persistence yet), so overall actionable risk remains.",866,952,gpt-5.4-nano
llm_base_rank,top_trust,9,Milady,95,0.0106382978723404,0,AVOID_BUY,RISK,positive,negative,"Strong recent trading activity and slight price increase are outweighed by very low long-term credibility (99/100), indicating elevated platform/entity risk.",867,943,gpt-5.4-nano
llm_base_rank_compact,malicious_pre_report,0,8_3_155ecac8_155ecac8,119,0.3789473684210526,0,ALLOW_BUY,NO_RISK,neutral,neutral,"With no actionable market price/trade signals and only moderately credible reputation (no low-reputation streak), there is no strong basis for meaningful risk.",781,859,gpt-5.4-nano
llm_base_rank_compact,malicious_pre_report,1,8_3_c5371723_c5371723,113,0.5052631578947369,0,ALLOW_BUY,NO_RISK,neutral,neutral,No market signals are present and the reputation credibility is middling (49/100) with no low-reputation streak.,781,854,gpt-5.4-nano
llm_base_rank_compact,malicious_pre_report,2,8_3_74547805_74547805,34,0.7708333333333334,0,AVOID_BUY,RISK,neutral,negative,"Market signals are missing (neutral), and the entity’s long-term credibility is low (23rd percentile) which increases delisting/freeze/sellability risk.",781,861,gpt-5.4-nano
llm_base_rank_compact,malicious_pre_report,3,8_3_4362e588_4362e588,42,0.4736842105263157,0,ALLOW_BUY,NO_RISK,neutral,neutral,"Market signals are missing (neutral) and reputation credibility is mid-range with no low-reputation streak, so there is no clear meaningful risk.",781,858,gpt-5.4-nano
llm_base_rank_compact,malicious_pre_report,4,8_3_162d44f0_162d44f0,52,0.484375,0,ALLOW_BUY,NO_RISK,neutral,neutral,"Market evidence is missing/neutral and the reputation credibility is only modest (52/100) with no low-reputation streak, so no meaningful risk signal is present.",781,863,gpt-5.4-nano
llm_base_rank_compact,malicious_pre_report,5,8_3_c8fd581c_c8fd581c,111,0.936842105263158,91,AVOID_BUY,RISK,neutral,negative,"With no usable market signals, the persistent very low reputation credibility (6/100) and 91-window low-reputation streak drive a meaningful risk call.",781,860,gpt-5.4-nano
