decision_mode,model_name,sample_group,sample_idx,contract_id,collection_type,snapshot_idx,lead_windows_to_detect,decision,confidence,reason,prompt_tokens,completion_tokens,total_tokens,latency_ms,parse_success
llm_rank_mini,claude-sonnet-4-6,malicious_pre_report,0,8_3_155ecac8_155ecac8,rugpull,119,0.0,ALLOW_BUY,0.55,"With no price change data and a mid-range credibility percentile that has not been persistently low, neither evidence group is negative, supporting the default ALLOW_BUY for a flat position.",903,97,1000,46252,1
llm_rank_mini,claude-sonnet-4-6,malicious_pre_report,1,8_3_c5371723_c5371723,rugpull,113,0.3432672424279285,ALLOW_BUY,0.5,"With no price change data and a mid-range credibility percentile that has not persistently stayed low, both evidence groups are neutral, defaulting to ALLOW_BUY.",903,93,996,27421,1
llm_rank_mini,claude-sonnet-4-6,malicious_pre_report,2,8_3_74547805_74547805,rugpull,34,0.850606171187609,ALLOW_BUY,0.5,"Market evidence is absent (null price change), making it neutral, and while reputation is low at the 23rd percentile, it has not persistently stayed in a low-reputation region, so one negative signal alone does not justify AVOID_BUY.",903,114,1017,53326,1
llm_rank_mini,claude-sonnet-4-6,malicious_pre_report,3,8_3_4362e588_4362e588,rugpull,42,0.4617240400600089,ALLOW_BUY,0.5,"Both market and reputation evidence are neutral with no strong negative signals, so buying is allowed by default.",903,75,978,30081,1
llm_rank_mini,claude-sonnet-4-6,malicious_pre_report,4,8_3_162d44f0_162d44f0,rugpull,52,0.6063131005960345,ALLOW_BUY,0.5,"Both market and reputation evidence are neutral with no strong risk signals, so buying is allowed by default.",903,75,978,11393,1
llm_rank_mini,claude-sonnet-4-6,malicious_pre_report,5,8_3_c8fd581c_c8fd581c,rugpull,111,0.4452621335603941,AVOID_BUY,0.72,"Reputation is clearly negative with a very low credibility percentile (6/100) sustained over 91 consecutive windows, and market evidence is neutral (no price data), satisfying the condition where one group is clearly negative and the other is at least neutral.",905,114,1019,10212,1
llm_rank_mini,claude-sonnet-4-6,malicious_pre_report,6,8_3_155ecac8_155ecac8,rugpull,119,0.0,ALLOW_BUY,0.55,"With no price change data and a mid-range credibility percentile that has not been persistently low, neither evidence group is negative, supporting the default ALLOW_BUY for a flat position.",903,97,1000,56174,1
llm_rank_mini,claude-sonnet-4-6,malicious_pre_report,7,8_3_fbbeee19_fbbeee19,rugpull,111,0.3473827190528322,ALLOW_BUY,0.5,"With no price change data and a moderate credibility rank that has not persistently stayed low, neither evidence group is clearly negative, defaulting to ALLOW_BUY.",903,96,999,21963,1
llm_rank_mini,claude-sonnet-4-6,malicious_pre_report,8,8_3_c1e13c80_c1e13c80,rugpull,112,0.3817256619227182,ALLOW_BUY,0.6,"With no price change data available (neutral market) and a credibility percentile of 71 with no sustained low-reputation history (positive reputation), the combined evidence supports allowing a buy.",903,94,997,69470,1
llm_rank_mini,claude-sonnet-4-6,malicious_pre_report,9,8_3_cff377d0_cff377d0,rugpull,45,0.0606982118963629,AVOID_BUY,0.72,"Reputation is clearly negative with a credibility percentile of 5/100 sustained over 20 consecutive windows, and market evidence is neutral (no price data), satisfying the condition where one group is clearly negative and the other is at least neutral.",905,113,1018,13439,1
llm_rank_mini,claude-sonnet-4-6,malicious_pre_report,10,8_3_4362e588_4362e588,rugpull,42,0.4617240400600089,ALLOW_BUY,0.5,"Both market and reputation evidence are neutral with no strong risk signals, so buying is allowed by default.",903,75,978,25191,1
llm_rank_mini,claude-sonnet-4-6,malicious_pre_report,11,8_3_4362e588_4362e588,rugpull,42,0.4617240400600089,ALLOW_BUY,0.5,"Both market and reputation evidence are neutral with no strong risk signals, so buying is allowed by default.",903,75,978,4551,1
llm_rank_mini,claude-sonnet-4-6,malicious_pre_report,12,8_3_e6d00e3b_e6d00e3b,rugpull,42,0.411426022787171,ALLOW_BUY,0.5,"With no price change data and a reputation that has not persistently stayed low, neither evidence group is clearly negative, so the default non-risk action applies.",903,92,995,31206,1
llm_rank_mini,claude-sonnet-4-6,malicious_pre_report,13,8_3_c8fd581c_c8fd581c,rugpull,111,0.4452621335603941,AVOID_BUY,0.72,"Reputation is clearly negative with a very low credibility percentile (6/100) sustained over 91 consecutive windows, and market evidence is neutral (no price data), satisfying the condition where one group is clearly negative and the other is at least neutral.",905,114,1019,15179,1
