"bucket","contract_id","snapshot_idx","collection_type","rep_rank_pct","low_rep_streak","mode","model_name","decision","risk_label","market_view","reputation_view","confidence","prompt_tokens","completion_tokens","total_tokens","latency_ms","reason"
"risk","8_3_0205c970_0205c970","42","rugpull","0.666666666666667","0","llm_rank","gpt-5.4-nano","AVOID_BUY","RISK","neutral","negative","0.72","631","71","702","2951","Current credibility is below mid-range (33rd percentile) indicating relatively weak long-term trust without any positive persistence signal."
"risk","8_3_0b7e393f_0b7e393f","46","rugpull","0.5","0","llm_rank","gpt-5.4-nano","ALLOW_BUY","NO_RISK","neutral","neutral","0.62","631","74","705","1141","Reputation credibility is mid-range (50th percentile) with no low-reputation streak, indicating no meaningful negative reputation signal."
"risk","8_3_0c5597e5_0c5597e5","112","rugpull","0.873684210526316","31","llm_rank","gpt-5.4-nano","AVOID_BUY","RISK","neutral","negative","0.9","631","77","708","1195","Very low current credibility (13/100) combined with a long persistent low-reputation streak (31 windows) indicates meaningful long-term trust risk."
"risk","8_3_0d99cc92_0d99cc92","71","rugpull","0.682926829268293","0","llm_rank","gpt-5.4-nano","AVOID_BUY","RISK","neutral","negative","0.66","631","79","710","1227","Current credibility is in the lower half (32/100) indicating weaker long-term trust, which is meaningful risk evidence despite no persistent low-reputation streak."
"risk","8_3_12239e85_12239e85","111","rugpull","0.684210526315789","0","llm_rank","gpt-5.4-nano","AVOID_BUY","RISK","neutral","negative","0.72","631","79","710","1194","Credibility percentile is low (32/100) indicating below-average long-term trust, which is meaningful downside risk even without a persistent low-reputation streak."
"risk","8_3_131e924a_131e924a","58","rugpull","0.96","18","llm_rank","gpt-5.4-nano","AVOID_BUY","RISK","neutral","negative","0.9","631","73","704","1147","Very low credibility (4/100) with a persistent 18-window low-reputation streak indicates clearly negative long-term trust."
"risk","8_3_155ecac8_155ecac8","119","rugpull","0.378947368421053","0","llm_rank","gpt-5.4-nano","ALLOW_BUY","NO_RISK","neutral","neutral","0.62","631","74","705","1276","Reputation credibility is mid-tier (62nd percentile) with no low-reputation streak, indicating no meaningful negative reputation evidence."
"risk","8_3_162d44f0_162d44f0","52","rugpull","0.484375","0","llm_rank","gpt-5.4-nano","ALLOW_BUY","NO_RISK","neutral","neutral","0.62","631","76","707","1184","Reputation credibility is mid-range (52/100) with no low-reputation streak, so there is no clear negative reputation signal."
"risk","8_3_17e89a30_17e89a30","111","rugpull","0.8","2","llm_rank","gpt-5.4-nano","AVOID_BUY","RISK","neutral","negative","0.78","631","70","701","1158","Low credibility (20/100) with a persisting low-reputation streak indicates meaningful long-term trust risk."
"risk","8_3_288462f5_288462f5","113","rugpull","0.610526315789474","0","llm_rank","gpt-5.4-nano","ALLOW_BUY","NO_RISK","neutral","neutral","0.58","631","75","706","1158","Reputation credibility is mid-range (39th percentile) with no persistent low-reputation streak, indicating no clearly negative reputation signal."
"trust","BrainDrops","17","trust","0.592592592592593","0","llm_rank","gpt-5.4-nano","ALLOW_BUY","NO_RISK","neutral","neutral","0.62","631","76","707","1252","Reputation credibility is mid-range (41/100) with no low-reputation streak, so there is no clearly negative trust signal."
"trust","BrainDrops","18","trust","0.571428571428571","0","llm_rank","gpt-5.4-nano","ALLOW_BUY","NO_RISK","neutral","neutral","0.62","631","76","707","1149","Reputation credibility is mid-range (43/100) with no low-reputation streak, so there is no clearly negative trust signal."
"trust","BrainDrops","19","trust","0.533333333333333","0","llm_rank","gpt-5.4-nano","ALLOW_BUY","NO_RISK","neutral","neutral","0.62","631","76","707","1154","Reputation credibility is mid-range (47/100) with no low-reputation streak, so there is no clearly negative reputation signal."
"trust","BrainDrops","20","trust","0.529411764705882","0","llm_rank","gpt-5.4-nano","ALLOW_BUY","NO_RISK","neutral","neutral","0.62","631","75","706","1207","Credibility is mid-range (47th percentile) with no low-reputation streak, so reputation evidence is not meaningfully negative."
"trust","BrainDrops","21","trust","0.447368421052632","0","llm_rank","gpt-5.4-nano","ALLOW_BUY","NO_RISK","neutral","neutral","0.62","631","77","708","1224","Credibility is mid-range (55/100) with no low-reputation streak, so reputation evidence does not indicate meaningful long-term risk."
"trust","BrainDrops","22","trust","0.5","0","llm_rank","gpt-5.4-nano","ALLOW_BUY","NO_RISK","neutral","neutral","0.62","631","74","705","1118","Reputation credibility is mid-ranked (50/100) with no low-reputation streak, indicating no meaningful negative trust signal."
"trust","BrainDrops","23","trust","0.447368421052632","0","llm_rank","gpt-5.4-nano","ALLOW_BUY","NO_RISK","neutral","neutral","0.62","631","74","705","1189","Reputation credibility is mid-range (55/100) with no low-reputation streak, indicating no clearly negative risk signal."
"trust","BrainDrops","24","trust","0.421052631578947","0","llm_rank","gpt-5.4-nano","ALLOW_BUY","NO_RISK","neutral","neutral","0.62","631","73","704","1145","Credibility is mid-range (58/100) with no low-reputation streak, indicating no clearly negative reputation signal."
"trust","BrainDrops","25","trust","0.315789473684211","0","llm_rank","gpt-5.4-nano","ALLOW_BUY","NO_RISK","neutral","neutral","0.72","631","74","705","1164","Credibility percentile is relatively high (68/100) with no low-reputation streak, indicating no meaningful negative reputation signal."
"trust","BrainDrops","26","trust","0.325","0","llm_rank","gpt-5.4-nano","ALLOW_BUY","NO_RISK","neutral","neutral","0.62","631","77","708","1717","Credibility percentile is mid-to-high (68/100) with no low-reputation streak, so reputation risk is not meaningfully negative."
