decision_mode,model_name,sample_group,sample_idx,contract_id,collection_type,snapshot_idx,lead_windows_to_detect,decision,confidence,reason,prompt_tokens,completion_tokens,total_tokens,latency_ms,parse_success
llm_rank_mini,deepseek-v3.2,malicious_pre_report,0,8_3_155ecac8_155ecac8,rugpull,119,0.0,ALLOW_BUY,0.6,"Market data is unavailable and reputation is average, presenting no clear risk.",830,57,887,5142,1
llm_rank_mini,deepseek-v3.2,malicious_pre_report,1,8_3_c5371723_c5371723,rugpull,113,0.3432672424279285,ALLOW_BUY,0.6,"Market data is absent and reputation is average, providing no strong risk signal.",830,59,889,8736,1
llm_rank_mini,deepseek-v3.2,malicious_pre_report,2,8_3_74547805_74547805,rugpull,34,0.850606171187609,AVOID_BUY,0.6,Low credibility and no positive market signal.,830,52,882,4505,1
llm_rank_mini,deepseek-v3.2,malicious_pre_report,3,8_3_4362e588_4362e588,rugpull,42,0.4617240400600089,ALLOW_BUY,0.7,"Market data is unavailable and reputation is average, presenting no clear elevated risk.",830,59,889,5966,1
llm_rank_mini,deepseek-v3.2,malicious_pre_report,4,8_3_162d44f0_162d44f0,rugpull,52,0.6063131005960345,ALLOW_BUY,0.6,"Market data is unavailable and reputation is average, presenting no clear elevated risk.",830,59,889,6177,1
llm_rank_mini,deepseek-v3.2,malicious_pre_report,5,8_3_c8fd581c_c8fd581c,rugpull,111,0.4452621335603941,AVOID_BUY,0.65,Low credibility and sustained poor reputation outweigh neutral market data.,831,55,886,4797,1
llm_rank_mini,deepseek-v3.2,malicious_pre_report,6,8_3_155ecac8_155ecac8,rugpull,119,0.0,ALLOW_BUY,0.65,"Market data is absent and reputation is average, showing no strong negative signals.",830,58,888,5655,1
llm_rank_mini,deepseek-v3.2,malicious_pre_report,7,8_3_fbbeee19_fbbeee19,rugpull,111,0.3473827190528322,ALLOW_BUY,0.6,"Market data is absent and reputation is moderate, not strongly negative.",830,57,887,7167,1
llm_rank_mini,deepseek-v3.2,malicious_pre_report,8,8_3_c1e13c80_c1e13c80,rugpull,112,0.3817256619227182,ALLOW_BUY,0.7,Strong reputation outweighs neutral market data.,830,51,881,5014,1
llm_rank_mini,deepseek-v3.2,malicious_pre_report,9,8_3_cff377d0_cff377d0,rugpull,45,0.0606982118963629,AVOID_BUY,0.7,Low credibility and sustained poor reputation outweigh neutral market signals.,831,56,887,4598,1
llm_rank_mini,deepseek-v3.2,malicious_pre_report,10,8_3_4362e588_4362e588,rugpull,42,0.4617240400600089,ALLOW_BUY,0.7,"Market data is absent and reputation is average, presenting no clear negative risk signals.",830,59,889,4840,1
