decision_mode,sample_group,sample_idx,contract_id,snapshot_idx,decision,risk_label,market_view,reputation_view,reason,prompt_tokens,completion_tokens,total_tokens,latency_ms,parse_success,model_name
llm_rank,malicious_pre_report,0,8_3_155ecac8_155ecac8,119,ALLOW_BUY,NO_RISK,neutral,neutral,"Credibility percentile of 62/100 is mediocre with no low-reputation streak, indicating neutral reputation evidence.",774,1049,1823,9265,1,grok-4-1-fast
llm_rank,malicious_pre_report,1,8_3_c5371723_c5371723,113,ALLOW_BUY,NO_RISK,neutral,neutral,"Credibility rank of 49/100 is mediocre but not clearly negative, with no low-reputation streak.",774,653,1427,4790,1,grok-4-1-fast
llm_rank,malicious_pre_report,2,8_3_74547805_74547805,34,AVOID_BUY,RISK,neutral,negative,Low TRep credibility percentile rank of 23/100 indicates meaningful risk.,774,359,1133,3292,1,grok-4-1-fast
llm_rank,malicious_pre_report,3,8_3_4362e588_4362e588,42,ALLOW_BUY,NO_RISK,neutral,neutral,"Credibility percentile rank of 53/100 is mediocre but not meaningfully low, with zero low-reputation streak.",774,772,1546,5422,1,grok-4-1-fast
llm_rank,malicious_pre_report,4,8_3_162d44f0_162d44f0,52,ALLOW_BUY,NO_RISK,neutral,neutral,Credibility percentile of 52/100 is neutral with no low-reputation streak.,774,759,1533,6276,1,grok-4-1-fast
llm_rank,malicious_pre_report,5,8_3_c8fd581c_c8fd581c,111,AVOID_BUY,RISK,neutral,negative,Extremely low TRep percentile rank of 6/100 with 91 consecutive low-reputation windows indicates persistent high risk.,774,383,1157,3419,1,grok-4-1-fast
llm_rank,malicious_pre_report,6,8_3_155ecac8_155ecac8,119,ALLOW_BUY,NO_RISK,neutral,neutral,Credibility percentile of 62/100 is neutral with no low-reputation streak.,774,747,1521,5504,1,grok-4-1-fast
llm_rank,malicious_pre_report,7,8_3_fbbeee19_fbbeee19,111,AVOID_BUY,RISK,neutral,negative,"TRep credibility percentile rank of 37/100 is low, indicating meaningful risk despite zero low-reputation streak.",774,1219,1993,11839,1,grok-4-1-fast
llm_rank,malicious_pre_report,8,8_3_c1e13c80_c1e13c80,112,AVOID_BUY,RISK,neutral,negative,"Credibility percentile rank of 71/100 indicates low reputation, justifying risk despite zero low-reputation streak.",774,798,1572,5949,1,grok-4-1-fast
llm_rank,malicious_pre_report,9,8_3_cff377d0_cff377d0,45,AVOID_BUY,RISK,neutral,negative,Very low TRep credibility percentile (5/100) with 20-window low-reputation streak indicates persistent high risk.,774,410,1184,3011,1,grok-4-1-fast
llm_rank,malicious_pre_report,10,8_3_4362e588_4362e588,42,ALLOW_BUY,NO_RISK,neutral,neutral,Credibility percentile of 53/100 is neutral with no low-reputation streak.,774,653,1427,5476,1,grok-4-1-fast
llm_rank,malicious_pre_report,11,8_3_4362e588_4362e588,42,ALLOW_BUY,NO_RISK,neutral,neutral,Credibility at 53/100 is neutral with no low-reputation streak.,774,726,1500,5180,1,grok-4-1-fast
llm_rank,malicious_pre_report,12,8_3_e6d00e3b_e6d00e3b,42,AVOID_BUY,RISK,neutral,negative,TRep credibility percentile rank of 32/100 signals low reputation despite zero streak.,774,699,1473,4962,1,grok-4-1-fast
llm_rank,malicious_pre_report,13,8_3_c8fd581c_c8fd581c,111,AVOID_BUY,RISK,neutral,negative,Persistent low TRep percentile rank of 6/100 over 91 windows indicates high risk.,774,423,1197,3359,1,grok-4-1-fast
llm_rank,malicious_pre_report,14,8_3_0d99cc92_0d99cc92,71,AVOID_BUY,RISK,neutral,negative,Low TRep credibility percentile rank of 32/100 indicates meaningful risk.,774,841,1615,6985,1,grok-4-1-fast
llm_rank,malicious_pre_report,15,8_3_162d44f0_162d44f0,52,ALLOW_BUY,NO_RISK,neutral,neutral,Credibility percentile of 52/100 is neutral with no low-reputation streak.,774,895,1669,7931,1,grok-4-1-fast
llm_rank,malicious_pre_report,16,8_3_e6d00e3b_e6d00e3b,42,AVOID_BUY,RISK,neutral,negative,Low TRep credibility percentile rank of 32/100 signals meaningful risk despite zero low-reputation streak.,774,890,1664,7055,1,grok-4-1-fast
llm_rank,malicious_pre_report,17,8_3_0c5597e5_0c5597e5,112,AVOID_BUY,RISK,neutral,negative,Persistent low TRep percentile rank of 13/100 over 31 windows indicates high risk.,774,389,1163,3598,1,grok-4-1-fast
llm_rank,malicious_pre_report,18,8_3_cc2d4dae_cc2d4dae,111,ALLOW_BUY,NO_RISK,neutral,neutral,Credibility percentile of 55/100 is neutral with zero low-reputation streak.,774,643,1417,5169,1,grok-4-1-fast
llm_rank,malicious_pre_report,19,8_3_c8fd581c_c8fd581c,111,AVOID_BUY,RISK,neutral,negative,Extremely low TRep percentile rank of 6/100 with 91 consecutive low-reputation windows signals persistent high risk.,774,425,1199,3692,1,grok-4-1-fast
llm_rank,malicious_pre_report,20,8_3_0b7e393f_0b7e393f,46,ALLOW_BUY,NO_RISK,neutral,neutral,Median credibility percentile of 50/100 with no low-reputation streak indicates neutral reputation evidence.,774,568,1342,5725,1,grok-4-1-fast
llm_rank,malicious_pre_report,21,8_3_e6d00e3b_e6d00e3b,42,AVOID_BUY,RISK,neutral,negative,"TRep credibility percentile rank of 32/100 is low, indicating meaningful risk despite zero low-reputation streak.",774,775,1549,6973,1,grok-4-1-fast
llm_rank,malicious_pre_report,22,8_3_48bcdb6f_48bcdb6f,34,AVOID_BUY,RISK,neutral,negative,Very low TRep credibility percentile rank of 8/100 signals meaningful risk.,774,408,1182,3345,1,grok-4-1-fast
llm_rank,malicious_pre_report,23,8_3_131e924a_131e924a,58,AVOID_BUY,RISK,neutral,negative,Very low TRep percentile rank of 4/100 with 18 consecutive low-reputation windows indicates persistent high risk.,774,339,1113,3053,1,grok-4-1-fast
llm_rank,malicious_pre_report,24,8_3_0b7e393f_0b7e393f,46,ALLOW_BUY,NO_RISK,neutral,neutral,Neutral TRep at 50th percentile with no low-reputation streak indicates no meaningful risk.,774,507,1281,3711,1,grok-4-1-fast
llm_rank,malicious_pre_report,25,8_3_c8fd581c_c8fd581c,111,AVOID_BUY,RISK,neutral,negative,Very low TRep percentile rank (6/100) with 91 consecutive low-reputation windows indicates persistent high risk.,774,395,1169,3429,1,grok-4-1-fast
llm_rank,malicious_pre_report,26,8_3_0205c970_0205c970,42,ALLOW_BUY,NO_RISK,neutral,neutral,Credibility at 33/100 percentile is below average but not clearly negative with zero low-reputation streak.,774,762,1536,7184,1,grok-4-1-fast
llm_rank,malicious_pre_report,27,8_3_48bcdb6f_48bcdb6f,34,AVOID_BUY,RISK,neutral,negative,Very low TRep credibility percentile rank of 8/100 signals high risk.,774,388,1162,3752,1,grok-4-1-fast
llm_rank,malicious_pre_report,28,8_3_fbbeee19_fbbeee19,111,AVOID_BUY,RISK,neutral,negative,"TRep credibility percentile rank of 37/100 is low, indicating meaningful risk despite zero low-reputation streak.",774,1011,1785,6410,1,grok-4-1-fast
llm_rank,malicious_pre_report,29,8_3_cc2d4dae_cc2d4dae,111,ALLOW_BUY,NO_RISK,neutral,neutral,Credibility percentile rank of 55/100 is neutral with no low-reputation streak.,774,634,1408,5154,1,grok-4-1-fast
llm_rank,malicious_pre_report,30,8_3_48bcdb6f_48bcdb6f,34,AVOID_BUY,RISK,neutral,negative,Very low TRep credibility percentile rank of 8/100 signals meaningful risk.,774,302,1076,2613,1,grok-4-1-fast
llm_rank,malicious_pre_report,31,8_3_f9da1642_f9da1642,35,ALLOW_BUY,NO_RISK,neutral,neutral,"TRep percentile rank of 48/100 is mediocre but not meaningfully negative, with zero low-reputation streak.",774,677,1451,5820,1,grok-4-1-fast
llm_rank,malicious_pre_report,32,8_3_88efddb0_88efddb0,111,AVOID_BUY,RISK,neutral,negative,Low TRep credibility percentile rank of 29/100 signals meaningful risk.,774,577,1351,5374,1,grok-4-1-fast
llm_rank,malicious_pre_report,33,8_3_fc7440a4_fc7440a4,111,ALLOW_BUY,NO_RISK,neutral,neutral,Credibility at 58/100 percentile is mid-range neutral with no low-reputation streak.,774,723,1497,7849,1,grok-4-1-fast
llm_rank,malicious_pre_report,34,8_3_fc7440a4_fc7440a4,111,ALLOW_BUY,NO_RISK,neutral,neutral,Mid-tier credibility percentile of 58/100 with no low-reputation streak is neutral.,774,836,1610,6464,1,grok-4-1-fast
llm_rank,malicious_pre_report,35,8_3_288462f5_288462f5,113,AVOID_BUY,RISK,neutral,negative,"TRep credibility percentile rank of 39/100 is low, indicating meaningful risk.",774,1036,1810,8675,1,grok-4-1-fast
llm_rank,malicious_pre_report,36,8_3_85cfd3cf_85cfd3cf,42,AVOID_BUY,RISK,neutral,negative,Low TRep credibility percentile rank of 28/100 indicates meaningful risk.,774,494,1268,4731,1,grok-4-1-fast
llm_rank,malicious_pre_report,37,8_3_74547805_74547805,34,AVOID_BUY,RISK,neutral,negative,Low TRep credibility percentile rank of 23/100 signals meaningful risk.,774,386,1160,2806,1,grok-4-1-fast
llm_rank,malicious_pre_report,38,8_3_74547805_74547805,34,AVOID_BUY,RISK,neutral,negative,Low TRep credibility percentile rank of 23/100 indicates meaningful risk.,774,436,1210,3940,1,grok-4-1-fast
llm_rank,malicious_pre_report,39,8_3_c1e13c80_c1e13c80,112,ALLOW_BUY,NO_RISK,neutral,positive,Credibility percentile rank of 71/100 is above average with no low-reputation streak.,774,2282,3056,15662,1,grok-4-1-fast
llm_rank,malicious_pre_report,40,8_3_48bcdb6f_48bcdb6f,34,AVOID_BUY,RISK,neutral,negative,Very low TRep credibility percentile rank of 8/100 indicates meaningful risk.,774,375,1149,4055,1,grok-4-1-fast
llm_rank,malicious_pre_report,41,8_3_cff377d0_cff377d0,45,AVOID_BUY,RISK,neutral,negative,Very low TRep credibility percentile (5/100) with 20-window low-reputation streak indicates persistent high risk.,774,468,1242,3535,1,grok-4-1-fast
llm_rank,malicious_pre_report,42,8_3_c5371723_c5371723,113,ALLOW_BUY,NO_RISK,neutral,neutral,"Credibility rank of 49/100 is near median with no low-reputation streak, indicating neutral reputation evidence.",774,739,1513,4461,1,grok-4-1-fast
llm_rank,malicious_pre_report,43,8_3_f9da1642_f9da1642,35,ALLOW_BUY,NO_RISK,neutral,neutral,"Credibility at 48/100 percentile is mediocre but not meaningfully low, with no low-reputation streak.",774,762,1536,6319,1,grok-4-1-fast
llm_rank,malicious_pre_report,44,8_3_0c5597e5_0c5597e5,112,AVOID_BUY,RISK,neutral,negative,Persistent low TRep percentile rank of 13/100 over 31 windows indicates high risk.,774,361,1135,3309,1,grok-4-1-fast
llm_rank,malicious_pre_report,45,8_3_12239e85_12239e85,111,AVOID_BUY,RISK,neutral,negative,Low TRep credibility percentile rank of 32/100 indicates meaningful risk.,774,641,1415,4749,1,grok-4-1-fast
llm_rank,malicious_pre_report,46,8_3_c1e13c80_c1e13c80,112,ALLOW_BUY,NO_RISK,neutral,positive,Credibility percentile rank of 71/100 indicates above-average reputation with no low-reputation streak.,774,650,1424,4726,1,grok-4-1-fast
llm_rank,malicious_pre_report,47,8_3_155ecac8_155ecac8,119,ALLOW_BUY,NO_RISK,neutral,neutral,Credibility percentile rank of 62/100 with zero low-reputation streak is not meaningfully negative.,774,761,1535,5535,1,grok-4-1-fast
llm_rank,malicious_pre_report,48,8_3_c8fd581c_c8fd581c,111,AVOID_BUY,RISK,neutral,negative,Extremely low TRep percentile rank (6/100) with 91 consecutive low-reputation windows signals persistent high risk.,774,405,1179,3198,1,grok-4-1-fast
llm_rank,malicious_pre_report,49,8_3_17e89a30_17e89a30,111,AVOID_BUY,RISK,neutral,negative,Low TRep credibility percentile (20/100) with 2-window low-reputation streak signals meaningful risk.,774,386,1160,3303,1,grok-4-1-fast
llm_rank,malicious_pre_report,50,8_3_155ecac8_155ecac8,119,ALLOW_BUY,NO_RISK,neutral,neutral,Credibility percentile rank of 62/100 is neutral to positive with no low-reputation streak.,774,733,1507,5699,1,grok-4-1-fast
llm_rank,malicious_pre_report,51,8_3_bba73676_bba73676,111,AVOID_BUY,RISK,neutral,negative,Low TRep credibility percentile (15/100) with 41 consecutive low-reputation windows indicates persistent high risk.,774,372,1146,2769,1,grok-4-1-fast
llm_rank,malicious_pre_report,52,8_3_0d99cc92_0d99cc92,71,AVOID_BUY,RISK,neutral,negative,Low TRep credibility percentile rank of 32/100 signals meaningful risk.,774,724,1498,5808,1,grok-4-1-fast
llm_rank,malicious_pre_report,53,8_3_f9da1642_f9da1642,35,ALLOW_BUY,NO_RISK,neutral,neutral,"Credibility percentile of 48/100 is mediocre with no low-reputation streak, indicating neutral reputation evidence.",774,769,1543,5512,1,grok-4-1-fast
llm_rank,malicious_pre_report,54,8_3_6249c06e_6249c06e,42,AVOID_BUY,RISK,neutral,negative,Low TRep credibility percentile rank of 23/100 indicates meaningful risk.,774,458,1232,4083,1,grok-4-1-fast
llm_rank,malicious_pre_report,55,8_3_bba73676_bba73676,111,AVOID_BUY,RISK,neutral,negative,Persistent low TRep percentile rank of 15/100 over 41 windows signals high risk.,774,371,1145,3189,1,grok-4-1-fast
llm_rank,malicious_pre_report,56,8_3_fbbeee19_fbbeee19,111,ALLOW_BUY,NO_RISK,neutral,neutral,Credibility percentile of 37/100 indicates below-average reputation but lacks persistence with 0 low-reputation streak.,774,1068,1842,6446,1,grok-4-1-fast
llm_rank,malicious_pre_report,57,8_3_17e89a30_17e89a30,111,AVOID_BUY,RISK,neutral,negative,Low TRep percentile rank of 20/100 with 2 consecutive low-reputation windows signals persistent high risk.,774,374,1148,3057,1,grok-4-1-fast
llm_rank,malicious_pre_report,58,8_3_fbbeee19_fbbeee19,111,AVOID_BUY,RISK,neutral,negative,TRep credibility percentile of 37/100 indicates low credibility and meaningful risk.,774,941,1715,6325,1,grok-4-1-fast
llm_rank,malicious_pre_report,59,8_3_c8fd581c_c8fd581c,111,AVOID_BUY,RISK,neutral,negative,Very low TRep percentile rank of 6/100 with 91 consecutive low-reputation windows indicates persistent high risk.,774,388,1162,2807,1,grok-4-1-fast
llm_rank,malicious_pre_report,60,8_3_0b7e393f_0b7e393f,46,ALLOW_BUY,NO_RISK,neutral,neutral,Median credibility percentile with no low-reputation streak indicates neutral reputation evidence.,774,488,1262,3571,1,grok-4-1-fast
llm_rank,malicious_pre_report,61,8_3_c5371723_c5371723,113,ALLOW_BUY,NO_RISK,neutral,neutral,"Credibility percentile at 49/100 is mediocre but not meaningfully low, with zero low-reputation streak.",774,784,1558,4843,1,grok-4-1-fast
llm_rank,malicious_pre_report,62,8_3_74547805_74547805,34,AVOID_BUY,RISK,neutral,negative,Low TRep credibility percentile rank of 23/100 indicates meaningful risk.,774,499,1273,4454,1,grok-4-1-fast
llm_rank,malicious_pre_report,63,8_3_155ecac8_155ecac8,119,ALLOW_BUY,NO_RISK,neutral,neutral,Mediocre credibility percentile rank of 62/100 with zero low-reputation streak indicates neutral reputation evidence.,774,1343,2117,13884,1,grok-4-1-fast
