decision_mode,sample_group,sample_idx,contract_id,snapshot_idx,decision,risk_label,market_view,reputation_view,reason,prompt_tokens,completion_tokens,total_tokens,latency_ms,parse_success,model_name
llm_rank,malicious_pre_report,0,8_3_155ecac8_155ecac8,119,ALLOW_BUY,NO_RISK,neutral,neutral,"The credibility percentile rank is moderate, and there is no low-reputation streak, indicating neutral reputation evidence.",678,75,753,1472,1,gemini-2.5-flash-nothinking
llm_rank,malicious_pre_report,1,8_3_c5371723_c5371723,113,AVOID_BUY,RISK,neutral,negative,"The NFT entity has a below-average credibility percentile rank, indicating meaningful reputation risk.",678,68,746,1350,1,gemini-2.5-flash-nothinking
llm_rank,malicious_pre_report,2,8_3_74547805_74547805,34,AVOID_BUY,RISK,neutral,negative,"The NFT contract has a low credibility percentile rank of 23/100, indicating meaningful long-term risk.",678,76,754,1369,1,gemini-2.5-flash-nothinking
llm_rank,malicious_pre_report,3,8_3_4362e588_4362e588,42,ALLOW_BUY,NO_RISK,neutral,neutral,"The credibility percentile rank is moderate, and there is no low-reputation streak, indicating neutral reputation evidence.",678,75,753,1293,1,gemini-2.5-flash-nothinking
llm_rank,malicious_pre_report,4,8_3_162d44f0_162d44f0,52,ALLOW_BUY,NO_RISK,neutral,neutral,"The credibility percentile rank is average, and there is no low-reputation streak, indicating neutral reputation evidence.",678,75,753,1470,1,gemini-2.5-flash-nothinking
llm_rank,malicious_pre_report,5,8_3_c8fd581c_c8fd581c,111,AVOID_BUY,RISK,neutral,negative,"The NFT contract has a very low credibility percentile rank and a long streak of low reputation, indicating persistent and significant risk.",678,75,753,1328,1,gemini-2.5-flash-nothinking
llm_rank,malicious_pre_report,6,8_3_155ecac8_155ecac8,119,ALLOW_BUY,NO_RISK,neutral,neutral,"The credibility percentile rank is moderate, and there is no low-reputation streak, indicating neutral reputation evidence.",678,75,753,1459,1,gemini-2.5-flash-nothinking
llm_rank,malicious_pre_report,7,8_3_fbbeee19_fbbeee19,111,AVOID_BUY,RISK,neutral,negative,"The NFT contract has a low credibility percentile rank of 37/100, indicating meaningful long-term risk.",678,76,754,1436,1,gemini-2.5-flash-nothinking
llm_rank,malicious_pre_report,8,8_3_c1e13c80_c1e13c80,112,ALLOW_BUY,NO_RISK,neutral,neutral,"The credibility percentile rank is moderate, and there is no low-reputation streak, indicating neutral reputation evidence.",678,75,753,1367,1,gemini-2.5-flash-nothinking
llm_rank,malicious_pre_report,9,8_3_cff377d0_cff377d0,45,AVOID_BUY,RISK,neutral,negative,"The NFT contract shows persistent low credibility with a percentile rank of 5/100 and a 20-window low-reputation streak, indicating meaningful risk.",678,86,764,1451,1,gemini-2.5-flash-nothinking
llm_rank,malicious_pre_report,10,8_3_4362e588_4362e588,42,ALLOW_BUY,NO_RISK,neutral,neutral,"The credibility percentile rank is moderate, and there is no low-reputation streak, indicating neutral reputation evidence.",678,75,753,1291,1,gemini-2.5-flash-nothinking
llm_rank,malicious_pre_report,11,8_3_4362e588_4362e588,42,ALLOW_BUY,NO_RISK,neutral,neutral,"The credibility percentile rank is moderate, and there is no low-reputation streak, indicating neutral reputation evidence.",678,75,753,1294,1,gemini-2.5-flash-nothinking
llm_rank,malicious_pre_report,12,8_3_e6d00e3b_e6d00e3b,42,AVOID_BUY,RISK,neutral,negative,"The NFT contract has a low credibility percentile rank of 32/100, indicating meaningful long-term risk.",678,76,754,1355,1,gemini-2.5-flash-nothinking
llm_rank,malicious_pre_report,13,8_3_c8fd581c_c8fd581c,111,AVOID_BUY,RISK,neutral,negative,"The NFT contract has a very low credibility percentile rank and a long low-reputation streak, indicating persistent and significant reputational risk.",678,78,756,1376,1,gemini-2.5-flash-nothinking
llm_rank,malicious_pre_report,14,8_3_0d99cc92_0d99cc92,71,AVOID_BUY,RISK,neutral,negative,"The NFT contract has a low credibility percentile rank of 32/100, indicating meaningful long-term risk.",678,76,754,1437,1,gemini-2.5-flash-nothinking
llm_rank,malicious_pre_report,15,8_3_162d44f0_162d44f0,52,ALLOW_BUY,NO_RISK,neutral,neutral,"The credibility percentile rank is average, and there is no low-reputation streak, indicating neutral reputation evidence.",678,75,753,1432,1,gemini-2.5-flash-nothinking
llm_rank,malicious_pre_report,16,8_3_e6d00e3b_e6d00e3b,42,AVOID_BUY,RISK,neutral,negative,"The NFT contract has a low credibility percentile rank of 32/100, indicating meaningful long-term risk.",678,76,754,1321,1,gemini-2.5-flash-nothinking
llm_rank,malicious_pre_report,17,8_3_0c5597e5_0c5597e5,112,AVOID_BUY,RISK,neutral,negative,The NFT contract shows persistent low credibility with a low TRep percentile rank and a long low-reputation streak.,679,74,753,1390,1,gemini-2.5-flash-nothinking
llm_rank,malicious_pre_report,18,8_3_cc2d4dae_cc2d4dae,111,ALLOW_BUY,NO_RISK,neutral,neutral,"The credibility percentile rank is moderate, and there is no low-reputation streak, indicating neutral reputation evidence.",678,75,753,1390,1,gemini-2.5-flash-nothinking
llm_rank,malicious_pre_report,19,8_3_c8fd581c_c8fd581c,111,AVOID_BUY,RISK,neutral,negative,"The NFT contract has a very low credibility percentile rank and a long low-reputation streak, indicating persistent and significant reputational risk.",678,78,756,1259,1,gemini-2.5-flash-nothinking
llm_rank,malicious_pre_report,20,8_3_0b7e393f_0b7e393f,46,ALLOW_BUY,NO_RISK,neutral,neutral,"The credibility percentile rank is average, and there is no low-reputation streak, indicating neutral reputation evidence.",678,75,753,1380,1,gemini-2.5-flash-nothinking
llm_rank,malicious_pre_report,21,8_3_e6d00e3b_e6d00e3b,42,AVOID_BUY,RISK,neutral,negative,"The NFT contract has a low credibility percentile rank of 32/100, indicating meaningful long-term risk.",678,76,754,1414,1,gemini-2.5-flash-nothinking
llm_rank,malicious_pre_report,22,8_3_48bcdb6f_48bcdb6f,34,AVOID_BUY,RISK,neutral,negative,"The NFT contract exhibits very low credibility with a percentile rank of 8/100, indicating significant long-term risk.",677,77,754,1367,1,gemini-2.5-flash-nothinking
llm_rank,malicious_pre_report,23,8_3_131e924a_131e924a,58,AVOID_BUY,RISK,neutral,negative,"The NFT contract has a very low credibility percentile rank and a persistent low-reputation streak, indicating significant long-term risk.",678,77,755,1312,1,gemini-2.5-flash-nothinking
llm_rank,malicious_pre_report,24,8_3_0b7e393f_0b7e393f,46,ALLOW_BUY,NO_RISK,neutral,neutral,"The credibility percentile rank is average, and there is no low-reputation streak, indicating neutral reputation evidence.",678,75,753,1654,1,gemini-2.5-flash-nothinking
llm_rank,malicious_pre_report,25,8_3_c8fd581c_c8fd581c,111,AVOID_BUY,RISK,neutral,negative,"The NFT contract has a very low credibility percentile rank and a long streak of low reputation, indicating persistent and significant risk.",678,75,753,1269,1,gemini-2.5-flash-nothinking
llm_rank,malicious_pre_report,26,8_3_0205c970_0205c970,42,AVOID_BUY,RISK,neutral,negative,"The NFT contract has a low credibility percentile rank of 33/100, indicating meaningful long-term risk.",678,76,754,1320,1,gemini-2.5-flash-nothinking
llm_rank,malicious_pre_report,27,8_3_48bcdb6f_48bcdb6f,34,AVOID_BUY,RISK,neutral,negative,"The NFT contract exhibits very low credibility with a percentile rank of 8/100, indicating significant long-term risk.",677,77,754,1378,1,gemini-2.5-flash-nothinking
llm_rank,malicious_pre_report,28,8_3_fbbeee19_fbbeee19,111,AVOID_BUY,RISK,neutral,negative,"The NFT contract has a low credibility percentile rank of 37/100, indicating meaningful long-term risk.",678,76,754,1340,1,gemini-2.5-flash-nothinking
llm_rank,malicious_pre_report,29,8_3_cc2d4dae_cc2d4dae,111,ALLOW_BUY,NO_RISK,neutral,neutral,"The credibility percentile rank is moderate, and there is no low-reputation streak, indicating neutral reputation evidence.",678,75,753,1349,1,gemini-2.5-flash-nothinking
llm_rank,malicious_pre_report,30,8_3_48bcdb6f_48bcdb6f,34,AVOID_BUY,RISK,neutral,negative,"The NFT contract exhibits very low credibility with a percentile rank of 8/100, indicating significant long-term risk.",677,77,754,1406,1,gemini-2.5-flash-nothinking
llm_rank,malicious_pre_report,31,8_3_f9da1642_f9da1642,35,AVOID_BUY,RISK,neutral,negative,"The credibility percentile rank is below average, indicating meaningful reputation risk.",678,64,742,1403,1,gemini-2.5-flash-nothinking
llm_rank,malicious_pre_report,32,8_3_88efddb0_88efddb0,111,AVOID_BUY,RISK,neutral,negative,"The NFT contract has a low credibility percentile rank of 29/100, indicating meaningful long-term risk.",678,76,754,1385,1,gemini-2.5-flash-nothinking
llm_rank,malicious_pre_report,33,8_3_fc7440a4_fc7440a4,111,ALLOW_BUY,NO_RISK,neutral,neutral,"The credibility percentile rank is moderate, and there is no low-reputation streak, indicating neutral reputation evidence.",678,75,753,1376,1,gemini-2.5-flash-nothinking
