decision_mode,sample_group,sample_idx,contract_id,snapshot_idx,decision,risk_label,market_view,reputation_view,reason,prompt_tokens,completion_tokens,total_tokens,latency_ms,parse_success,model_name
llm_base_rank_mini,malicious_pre_report,0,8_3_155ecac8_155ecac8,119,ALLOW_BUY,NO_RISK,neutral,neutral,"Market evidence is missing, and reputation is neutral with no low-reputation streak.",816,70,886,2064,1,gemini-2.5-flash-nothinking
llm_base_rank_mini,malicious_pre_report,1,8_3_c5371723_c5371723,113,ALLOW_BUY,NO_RISK,neutral,neutral,"Market evidence is neutral due to missing data, and reputation is neutral with a mid-range credibility rank and no low-reputation streak.",816,81,897,1668,1,gemini-2.5-flash-nothinking
llm_base_rank_mini,malicious_pre_report,2,8_3_74547805_74547805,34,AVOID_BUY,RISK,neutral,negative,"Market evidence is neutral due to missing data, while reputation evidence is negative due to low credibility, leading to a RISK label.",816,76,892,1375,1,gemini-2.5-flash-nothinking
llm_base_rank_mini,malicious_pre_report,3,8_3_4362e588_4362e588,42,ALLOW_BUY,NO_RISK,neutral,neutral,"Market evidence is missing, and reputation is neutral with no low-reputation streak.",816,70,886,1811,1,gemini-2.5-flash-nothinking
llm_base_rank_mini,malicious_pre_report,4,8_3_162d44f0_162d44f0,52,ALLOW_BUY,NO_RISK,neutral,neutral,"Market evidence is missing, and reputation is neutral with no low-reputation streak.",816,70,886,1845,1,gemini-2.5-flash-nothinking
llm_base_rank_mini,malicious_pre_report,5,8_3_c8fd581c_c8fd581c,111,AVOID_BUY,RISK,neutral,negative,"Market evidence is neutral due to missing data, but reputation evidence is strongly negative with persistent low credibility.",816,72,888,1798,1,gemini-2.5-flash-nothinking
llm_base_rank_mini,malicious_pre_report,6,8_3_155ecac8_155ecac8,119,ALLOW_BUY,NO_RISK,neutral,neutral,"Market evidence is null, and reputation credibility is moderate with no low-reputation streak.",816,71,887,1411,1,gemini-2.5-flash-nothinking
llm_base_rank_mini,malicious_pre_report,7,8_3_fbbeee19_fbbeee19,111,AVOID_BUY,RISK,neutral,negative,"Market evidence is neutral due to missing data, while reputation evidence is negative with a low credibility percentile rank.",816,72,888,1813,1,gemini-2.5-flash-nothinking
llm_base_rank_mini,malicious_pre_report,8,8_3_c1e13c80_c1e13c80,112,ALLOW_BUY,NO_RISK,neutral,positive,"Market evidence is neutral due to missing data, while reputation evidence is positive with a high credibility percentile rank and no low-reputation streak.",816,81,897,1851,1,gemini-2.5-flash-nothinking
llm_base_rank_mini,malicious_pre_report,9,8_3_cff377d0_cff377d0,45,AVOID_BUY,RISK,neutral,negative,"Market evidence is neutral due to missing data, but reputation evidence is strongly negative with persistent low credibility.",816,71,887,1937,1,gemini-2.5-flash-nothinking
llm_base_rank_mini,malicious_pre_report,10,8_3_4362e588_4362e588,42,ALLOW_BUY,NO_RISK,neutral,neutral,"Market evidence is null, and reputation is neutral with no low-reputation streak.",816,70,886,1434,1,gemini-2.5-flash-nothinking
llm_base_rank_mini,malicious_pre_report,11,8_3_4362e588_4362e588,42,ALLOW_BUY,NO_RISK,neutral,neutral,"Market evidence is missing, and reputation is neutral with no low-reputation streak.",816,70,886,1837,1,gemini-2.5-flash-nothinking
llm_base_rank_mini,malicious_pre_report,12,8_3_e6d00e3b_e6d00e3b,42,AVOID_BUY,RISK,neutral,negative,"Market evidence is neutral due to missing data, while reputation evidence is negative due to low credibility, leading to a RISK label.",816,76,892,1798,1,gemini-2.5-flash-nothinking
llm_base_rank_mini,malicious_pre_report,13,8_3_c8fd581c_c8fd581c,111,AVOID_BUY,RISK,neutral,negative,"Market evidence is neutral due to missing data, but reputation evidence is strongly negative with persistent low credibility, indicating meaningful risk.",816,76,892,1548,1,gemini-2.5-flash-nothinking
llm_base_rank_mini,malicious_pre_report,14,8_3_0d99cc92_0d99cc92,71,AVOID_BUY,RISK,neutral,negative,"Market evidence is neutral due to missing data, while reputation evidence is negative with low credibility.",816,69,885,1877,1,gemini-2.5-flash-nothinking
llm_base_rank_mini,malicious_pre_report,15,8_3_162d44f0_162d44f0,52,ALLOW_BUY,NO_RISK,neutral,neutral,"Market evidence is missing, and reputation is neutral with no low-reputation streak.",816,70,886,1851,1,gemini-2.5-flash-nothinking
llm_base_rank_mini,malicious_pre_report,16,8_3_e6d00e3b_e6d00e3b,42,AVOID_BUY,RISK,neutral,negative,"Market evidence is neutral due to missing data, while reputation evidence is negative with low credibility.",816,69,885,1422,1,gemini-2.5-flash-nothinking
llm_base_rank_mini,malicious_pre_report,17,8_3_0c5597e5_0c5597e5,112,AVOID_BUY,RISK,neutral,negative,"Market evidence is neutral due to missing data, but reputation evidence is strongly negative with persistent low credibility.",817,71,888,1369,1,gemini-2.5-flash-nothinking
llm_base_rank_mini,malicious_pre_report,18,8_3_cc2d4dae_cc2d4dae,111,ALLOW_BUY,NO_RISK,neutral,neutral,"Market evidence is neutral due to missing data, and reputation evidence is neutral with average credibility and no low-reputation streak.",816,78,894,1337,1,gemini-2.5-flash-nothinking
llm_base_rank_mini,malicious_pre_report,19,8_3_c8fd581c_c8fd581c,111,AVOID_BUY,RISK,neutral,negative,"Market evidence is neutral due to missing data, but reputation evidence is strongly negative with persistent low credibility, indicating meaningful risk.",816,76,892,1408,1,gemini-2.5-flash-nothinking
