decision_mode,model_name,sample_group,sample_idx,contract_id,collection_type,snapshot_idx,lead_windows_to_detect,decision,confidence,reason,prompt_tokens,completion_tokens,total_tokens,latency_ms,parse_success
llm_rank_compact,deepseek-v3.2,malicious_pre_report,0,8_3_155ecac8_155ecac8,rugpull,119,0.0,ALLOW_BUY,0.6,"Market data is unavailable, but reputation is average and not persistently low.",856,57,913,4630,1
llm_rank_compact,deepseek-v3.2,malicious_pre_report,1,8_3_c5371723_c5371723,rugpull,113,0.3432672424279285,ALLOW_BUY,0.5,"Market data is unavailable and reputation is average, providing no strong risk signals.",856,58,914,4968,1
llm_rank_compact,deepseek-v3.2,malicious_pre_report,2,8_3_74547805_74547805,rugpull,34,0.850606171187609,AVOID_BUY,0.65,Low credibility and insufficient positive market signals.,856,52,908,5361,1
llm_rank_compact,deepseek-v3.2,malicious_pre_report,3,8_3_4362e588_4362e588,rugpull,42,0.4617240400600089,ALLOW_BUY,0.6,"Market data is unavailable and reputation is average, presenting no clear elevated risk.",856,58,914,5005,1
llm_rank_compact,deepseek-v3.2,malicious_pre_report,4,8_3_162d44f0_162d44f0,rugpull,52,0.6063131005960345,ALLOW_BUY,0.7,"Market data is unavailable and reputation is average, presenting no clear negative risk.",856,58,914,5277,1
llm_rank_compact,deepseek-v3.2,malicious_pre_report,5,8_3_c8fd581c_c8fd581c,rugpull,111,0.4452621335603941,AVOID_BUY,0.7,Low credibility and no positive market signals to offset the risk.,857,57,914,4888,1
llm_rank_compact,deepseek-v3.2,malicious_pre_report,6,8_3_155ecac8_155ecac8,rugpull,119,0.0,ALLOW_BUY,0.6,"Market data is unavailable and reputation is average, providing no strong risk signals.",856,58,914,5225,1
llm_rank_compact,deepseek-v3.2,malicious_pre_report,7,8_3_fbbeee19_fbbeee19,rugpull,111,0.3473827190528322,ALLOW_BUY,0.6,"Market data is absent and reputation is moderate, presenting no clear risk.",856,57,913,4884,1
llm_rank_compact,deepseek-v3.2,malicious_pre_report,8,8_3_c1e13c80_c1e13c80,rugpull,112,0.3817256619227182,ALLOW_BUY,0.7,Positive reputation outweighs neutral market data.,856,51,907,4699,1
llm_rank_compact,deepseek-v3.2,malicious_pre_report,9,8_3_cff377d0_cff377d0,rugpull,45,0.0606982118963629,AVOID_BUY,0.7,Low credibility and no positive market signals to offset the risk.,857,57,914,4750,1
llm_rank_compact,deepseek-v3.2,malicious_pre_report,10,8_3_4362e588_4362e588,rugpull,42,0.4617240400600089,ALLOW_BUY,0.7,"Market data is unavailable and reputation is average, presenting no clear risk.",856,57,913,4882,1
llm_rank_compact,deepseek-v3.2,malicious_pre_report,11,8_3_4362e588_4362e588,rugpull,42,0.4617240400600089,ALLOW_BUY,0.6,"Market data is unavailable and reputation is average, presenting no clear elevated risk.",856,59,915,5758,1
llm_rank_compact,deepseek-v3.2,malicious_pre_report,12,8_3_e6d00e3b_e6d00e3b,rugpull,42,0.411426022787171,AVOID_BUY,0.6,Low credibility and no positive market signals to offset it.,856,56,912,5193,1
llm_rank_compact,deepseek-v3.2,malicious_pre_report,13,8_3_c8fd581c_c8fd581c,rugpull,111,0.4452621335603941,AVOID_BUY,0.7,"Market data is unavailable, but the contract has a very low long-term credibility rank.",857,61,918,5105,1
llm_rank_compact,deepseek-v3.2,malicious_pre_report,14,8_3_0d99cc92_0d99cc92,rugpull,71,0.3651015691521713,AVOID_BUY,0.6,Low credibility and insufficient positive market signals.,856,52,908,4934,1
llm_rank_compact,deepseek-v3.2,malicious_pre_report,15,8_3_162d44f0_162d44f0,rugpull,52,0.6063131005960345,ALLOW_BUY,0.6,"Market data is unavailable and reputation is average, presenting no clear risk.",856,57,913,5393,1
llm_rank_compact,deepseek-v3.2,malicious_pre_report,16,8_3_e6d00e3b_e6d00e3b,rugpull,42,0.411426022787171,AVOID_BUY,0.6,Low credibility and no positive market signals to offset it.,856,56,912,4934,1
llm_rank_compact,deepseek-v3.2,malicious_pre_report,17,8_3_0c5597e5_0c5597e5,rugpull,112,0.3810971901228561,AVOID_BUY,0.6,Low credibility and no positive market signals to offset the risk.,857,57,914,8118,1
llm_rank_compact,deepseek-v3.2,malicious_pre_report,18,8_3_cc2d4dae_cc2d4dae,rugpull,111,0.3519644812066658,ALLOW_BUY,0.6,"Market data is absent and reputation is average, presenting no clear risk.",856,57,913,4829,1
llm_rank_compact,deepseek-v3.2,malicious_pre_report,19,8_3_c8fd581c_c8fd581c,rugpull,111,0.4452621335603941,AVOID_BUY,0.7,Low credibility and no positive market signals to offset the risk.,857,56,913,5097,1
llm_rank_compact,deepseek-v3.2,malicious_pre_report,20,8_3_0b7e393f_0b7e393f,rugpull,46,0.7842314398086202,ALLOW_BUY,0.6,"Market data is absent and reputation is average, presenting no clear risk.",856,57,913,4962,1
llm_rank_compact,deepseek-v3.2,malicious_pre_report,21,8_3_e6d00e3b_e6d00e3b,rugpull,42,0.411426022787171,AVOID_BUY,0.6,Low credibility and no positive market signals to offset it.,856,56,912,4751,1
llm_rank_compact,deepseek-v3.2,malicious_pre_report,22,8_3_48bcdb6f_48bcdb6f,rugpull,34,0.8414629201638081,AVOID_BUY,0.65,Low credibility and no positive market signals to offset the risk.,857,57,914,7877,1
llm_rank_compact,deepseek-v3.2,malicious_pre_report,23,8_3_131e924a_131e924a,rugpull,58,0.5309978510319101,AVOID_BUY,0.7,"Market data is unavailable, but the contract has a very low and sustained poor reputation.",857,62,919,6531,1
llm_rank_compact,deepseek-v3.2,malicious_pre_report,24,8_3_0b7e393f_0b7e393f,rugpull,46,0.7842314398086202,ALLOW_BUY,0.5,"Market data is absent and reputation is average, indicating no strong risk signals.",856,58,914,4922,1
llm_rank_compact,deepseek-v3.2,malicious_pre_report,25,8_3_c8fd581c_c8fd581c,rugpull,111,0.4452621335603941,AVOID_BUY,0.65,Low credibility and no positive market signals to offset the risk.,857,56,913,5009,1
llm_rank_compact,deepseek-v3.2,malicious_pre_report,26,8_3_0205c970_0205c970,rugpull,42,0.2186879130681587,AVOID_BUY,0.6,Low credibility and no positive market signals to offset it.,856,56,912,4898,1
llm_rank_compact,deepseek-v3.2,malicious_pre_report,27,8_3_48bcdb6f_48bcdb6f,rugpull,34,0.8414629201638081,AVOID_BUY,0.6,Low credibility and no positive market signals to offset the risk.,857,57,914,5248,1
llm_rank_compact,deepseek-v3.2,malicious_pre_report,28,8_3_fbbeee19_fbbeee19,rugpull,111,0.3473827190528322,ALLOW_BUY,0.6,"Market data is absent and reputation is moderate, providing no strong consistent risk signal.",856,59,915,4991,1
llm_rank_compact,deepseek-v3.2,malicious_pre_report,29,8_3_cc2d4dae_cc2d4dae,rugpull,111,0.3519644812066658,ALLOW_BUY,0.6,"Market data is unavailable and reputation is average, presenting no clear risk.",856,57,913,4800,1
llm_rank_compact,deepseek-v3.2,malicious_pre_report,30,8_3_48bcdb6f_48bcdb6f,rugpull,34,0.8414629201638081,AVOID_BUY,0.6,Low credibility and no positive market signals to offset the risk.,857,57,914,5921,1
llm_rank_compact,deepseek-v3.2,malicious_pre_report,31,8_3_f9da1642_f9da1642,rugpull,35,0.7338928759680493,ALLOW_BUY,0.5,"Market data is absent and reputation is average, providing no clear risk signal.",856,59,915,5719,1
llm_rank_compact,deepseek-v3.2,malicious_pre_report,32,8_3_88efddb0_88efddb0,rugpull,111,0.4639743745691927,AVOID_BUY,0.6,"Market data is unavailable, but reputation is low and not clearly improving.",856,58,914,5475,1
llm_rank_compact,deepseek-v3.2,malicious_pre_report,33,8_3_fc7440a4_fc7440a4,rugpull,111,0.2300814986011434,ALLOW_BUY,0.6,"Market data is unavailable and reputation is average, presenting no clear risk.",856,57,913,5738,1
llm_rank_compact,deepseek-v3.2,malicious_pre_report,34,8_3_fc7440a4_fc7440a4,rugpull,111,0.2300814986011434,ALLOW_BUY,0.7,"Market data is unavailable, and reputation is average with no sustained low credibility.",856,59,915,5687,1
llm_rank_compact,deepseek-v3.2,malicious_pre_report,35,8_3_288462f5_288462f5,rugpull,113,0.3488829420589547,ALLOW_BUY,0.6,Market data is absent and reputation is below average but not critically low.,856,58,914,4484,1
llm_rank_compact,deepseek-v3.2,malicious_pre_report,36,8_3_85cfd3cf_85cfd3cf,rugpull,42,0.4357742367108624,AVOID_BUY,0.6,Low credibility and insufficient positive market signals.,856,52,908,5344,1
llm_rank_compact,deepseek-v3.2,malicious_pre_report,37,8_3_74547805_74547805,rugpull,34,0.850606171187609,AVOID_BUY,0.6,Low credibility and insufficient positive market signals.,856,52,908,5201,1
