decision_mode,sample_group,sample_idx,contract_id,snapshot_idx,decision,risk_label,market_view,reputation_view,reason,prompt_tokens,completion_tokens,total_tokens,latency_ms,parse_success,model_name
llm_base,malicious_pre_report,0,8_3_155ecac8_155ecac8,119,ALLOW_BUY,NO_RISK,negative,neutral,"Market evidence is negative due to zero trades and items, but reputation evidence is not provided, leading to a default to NO_RISK.",786,81,867,1398,1,gemini-2.5-flash-nothinking
llm_base,malicious_pre_report,1,8_3_c5371723_c5371723,113,ALLOW_BUY,NO_RISK,negative,neutral,"Market evidence is negative due to zero activity, but without reputation evidence, the overall risk is considered neutral.",777,74,851,1388,1,gemini-2.5-flash-nothinking
llm_base,malicious_pre_report,2,8_3_74547805_74547805,34,ALLOW_BUY,NO_RISK,negative,neutral,"Market evidence is negative due to zero trading activity, but without reputation evidence, the overall risk is not strong enough to label as RISK.",786,80,866,1440,1,gemini-2.5-flash-nothinking
llm_base,malicious_pre_report,3,8_3_4362e588_4362e588,42,AVOID_BUY,RISK,negative,neutral,"The market shows no trading activity and zero items, indicating potential issues or a delisted collection.",785,70,855,1227,1,gemini-2.5-flash-nothinking
llm_base,malicious_pre_report,4,8_3_162d44f0_162d44f0,52,AVOID_BUY,RISK,negative,neutral,"The market evidence shows no trading activity and zero items, indicating a potentially problematic or inactive NFT.",786,70,856,1444,1,gemini-2.5-flash-nothinking
llm_base,malicious_pre_report,5,8_3_c8fd581c_c8fd581c,111,AVOID_BUY,RISK,negative,neutral,"The market evidence shows no activity, indicating a lack of demand or liquidity for the NFT.",777,69,846,1362,1,gemini-2.5-flash-nothinking
llm_base,malicious_pre_report,6,8_3_155ecac8_155ecac8,119,ALLOW_BUY,NO_RISK,negative,neutral,"The market shows no trading activity, but there is no reputation evidence to confirm risk.",786,70,856,1302,1,gemini-2.5-flash-nothinking
llm_base,malicious_pre_report,7,8_3_fbbeee19_fbbeee19,111,ALLOW_BUY,NO_RISK,negative,neutral,"Market evidence is negative due to zero activity, but without reputation evidence, the overall risk is considered neutral.",777,74,851,1423,1,gemini-2.5-flash-nothinking
llm_base,malicious_pre_report,8,8_3_c1e13c80_c1e13c80,112,AVOID_BUY,RISK,negative,neutral,"The market evidence shows no activity, indicating a lack of demand or liquidity for the NFT.",777,69,846,1415,1,gemini-2.5-flash-nothinking
llm_base,malicious_pre_report,9,8_3_cff377d0_cff377d0,45,AVOID_BUY,RISK,negative,neutral,"The market evidence shows no activity, indicating a lack of demand or liquidity for the NFT.",777,69,846,1881,1,gemini-2.5-flash-nothinking
llm_base,top_trust,0,Milady,104,ALLOW_BUY,NO_RISK,neutral,neutral,"Market evidence shows a slight price and trade count decrease, but overall activity remains substantial, leading to a neutral market view and no immediate risk.",824,81,905,1989,1,gemini-2.5-flash-nothinking
llm_base,top_trust,1,CloneX,114,ALLOW_BUY,NO_RISK,positive,neutral,"Market indicators show positive trends with increased trading activity and a slight price increase, suggesting no immediate risk.",823,73,896,1762,1,gemini-2.5-flash-nothinking
llm_base,top_trust,2,KaijuKingz,118,ALLOW_BUY,NO_RISK,neutral,neutral,"Market evidence shows a slight price and trade count decrease, but overall activity is stable, leading to a neutral market view.",822,77,899,1897,1,gemini-2.5-flash-nothinking
llm_base,top_trust,3,CloneX,113,ALLOW_BUY,NO_RISK,positive,neutral,"The market shows positive indicators with increased trade count and stable price, despite a single mint event.",824,72,896,1814,1,gemini-2.5-flash-nothinking
llm_base,top_trust,4,Milady,103,ALLOW_BUY,NO_RISK,positive,neutral,"Market evidence shows positive price and trade count changes, indicating healthy activity, with no minting activity.",825,73,898,1919,1,gemini-2.5-flash-nothinking
llm_base,top_trust,5,CloneX,115,ALLOW_BUY,NO_RISK,neutral,neutral,"Market evidence shows a significant drop in trade count but a slight price increase, leading to a neutral market view, and no reputation evidence is provided.",822,82,904,1846,1,gemini-2.5-flash-nothinking
llm_base,top_trust,6,Milady,105,ALLOW_BUY,NO_RISK,neutral,neutral,"Market evidence shows a slight price and trade count decrease, but overall activity remains substantial, leading to a neutral market view.",822,77,899,1823,1,gemini-2.5-flash-nothinking
llm_base,top_trust,7,CloneX,117,ALLOW_BUY,NO_RISK,negative,neutral,"Market evidence shows a significant drop in trade count and a price decrease, but without reputation evidence, the risk is not strong enough to warrant a 'RISK' label.",825,87,912,1908,1,gemini-2.5-flash-nothinking
llm_base,top_trust,8,CloneX,116,ALLOW_BUY,NO_RISK,positive,neutral,"Market evidence shows positive price and trade count changes, indicating healthy activity, with no reputation evidence to contradict this.",826,75,901,1481,1,gemini-2.5-flash-nothinking
llm_base,top_trust,9,KaijuKingz,119,ALLOW_BUY,NO_RISK,neutral,neutral,"Market evidence shows a slight price and trade count decrease, but overall activity remains stable without strong negative indicators.",824,74,898,1374,1,gemini-2.5-flash-nothinking
llm_base_rank,malicious_pre_report,0,8_3_155ecac8_155ecac8,119,AVOID_BUY,RISK,negative,neutral,"The market shows no trading activity and no items, indicating a lack of demand, while reputation is neutral.",939,72,1011,1852,1,gemini-2.5-flash-nothinking
llm_base_rank,malicious_pre_report,1,8_3_c5371723_c5371723,113,AVOID_BUY,RISK,negative,neutral,"Zero market activity indicates a lack of demand, and while reputation is neutral, the absence of positive market signals leads to a RISK judgment.",930,78,1008,1429,1,gemini-2.5-flash-nothinking
llm_base_rank,malicious_pre_report,2,8_3_74547805_74547805,34,AVOID_BUY,RISK,negative,negative,"The market shows no trading activity and the reputation credibility is low, indicating significant risk.",939,68,1007,1301,1,gemini-2.5-flash-nothinking
llm_base_rank,malicious_pre_report,3,8_3_4362e588_4362e588,42,AVOID_BUY,RISK,negative,neutral,"The market shows no trading activity, indicating illiquidity, while reputation is neutral.",938,68,1006,1807,1,gemini-2.5-flash-nothinking
llm_base_rank,malicious_pre_report,4,8_3_162d44f0_162d44f0,52,AVOID_BUY,RISK,negative,neutral,"The market shows no trading activity and no items, indicating a lack of demand, while reputation is neutral.",939,72,1011,1875,1,gemini-2.5-flash-nothinking
