decision_mode,sample_group,sample_idx,contract_id,snapshot_idx,decision,risk_label,market_view,reputation_view,reason,prompt_tokens,completion_tokens,total_tokens,latency_ms,parse_success,model_name
llm_base,malicious_pre_report,0,8_3_155ecac8_155ecac8,119,AVOID_BUY,RISK,negative,neutral,Zero trading activity with positive gas spend indicates dead or inactive contract with no market engagement.,816,75,891,3466,1,claude-haiku-4-5-20251001
llm_base,malicious_pre_report,1,8_3_c5371723_c5371723,113,AVOID_BUY,RISK,negative,neutral,"Complete absence of market activity (zero trades, zero buyers, zero mints, zero collection items) indicates a dead or non-functional contract.",813,87,900,1842,1,claude-haiku-4-5-20251001
llm_base,malicious_pre_report,2,8_3_74547805_74547805,34,AVOID_BUY,RISK,negative,neutral,Zero trading activity with significant gas costs indicates a dead or inactive contract with no market demand.,816,76,892,3348,1,claude-haiku-4-5-20251001
llm_base,malicious_pre_report,3,8_3_4362e588_4362e588,42,AVOID_BUY,RISK,negative,neutral,Zero trading activity with gas costs but no trades or collection items indicates a dead or failed contract with no market viability.,816,82,898,2164,1,claude-haiku-4-5-20251001
llm_base,malicious_pre_report,4,8_3_162d44f0_162d44f0,52,AVOID_BUY,RISK,negative,neutral,Zero trading activity with positive gas spend indicates dead or inactive contract with no market engagement.,816,75,891,2013,1,claude-haiku-4-5-20251001
llm_base,malicious_pre_report,5,8_3_c8fd581c_c8fd581c,111,AVOID_BUY,RISK,negative,neutral,"Complete absence of market activity (zero trades, zero buyers, zero mints, zero collection items) indicates a dead or non-functional contract.",813,87,900,2847,1,claude-haiku-4-5-20251001
llm_base,malicious_pre_report,6,8_3_155ecac8_155ecac8,119,AVOID_BUY,RISK,negative,neutral,Zero trading activity with positive gas spend indicates dead or inactive contract with no market engagement.,816,75,891,2233,1,claude-haiku-4-5-20251001
llm_base,malicious_pre_report,7,8_3_fbbeee19_fbbeee19,111,AVOID_BUY,RISK,negative,neutral,"Complete absence of market activity (zero trades, zero buyers, zero mints, zero collection items) indicates a dead or non-functional contract.",813,87,900,2426,1,claude-haiku-4-5-20251001
llm_base,malicious_pre_report,8,8_3_c1e13c80_c1e13c80,112,AVOID_BUY,RISK,negative,neutral,"Complete absence of market activity (zero trades, zero buyers, zero mints, zero collection items) indicates a dead or non-functional contract.",813,87,900,2113,1,claude-haiku-4-5-20251001
llm_base,malicious_pre_report,9,8_3_cff377d0_cff377d0,45,AVOID_BUY,RISK,negative,neutral,"Complete absence of market activity (zero trades, zero buyers, zero mints, zero collection items) indicates a dead or non-functional contract.",813,87,900,2652,1,claude-haiku-4-5-20251001
llm_base,top_trust,0,Milady,104,ALLOW_BUY,NO_RISK,positive,neutral,"Strong market activity with high trade volume, healthy buyer participation, and minimal price decline despite reduced trade count suggests stable demand.",833,84,917,1964,1,claude-haiku-4-5-20251001
llm_base,top_trust,1,CloneX,114,ALLOW_BUY,NO_RISK,positive,neutral,"Strong market activity with 230 trades, high trade value, stable pricing, and no reputation evidence provided to contradict positive market signals.",832,88,920,2781,1,claude-haiku-4-5-20251001
llm_base,top_trust,2,KaijuKingz,118,ALLOW_BUY,NO_RISK,neutral,neutral,"Market shows stable activity with modest price decline and trade count decrease, but healthy engagement metrics and no reputation evidence provided to elevate risk.",832,87,919,2044,1,claude-haiku-4-5-20251001
llm_base,top_trust,3,CloneX,113,ALLOW_BUY,NO_RISK,positive,neutral,"Strong market activity with 223 trades, $474k volume, 102 unique buyers, and positive price momentum (+0.095%) indicates healthy trading conditions despite no reputation data provided.",832,99,931,2168,1,claude-haiku-4-5-20251001
llm_base,top_trust,4,Milady,103,ALLOW_BUY,NO_RISK,positive,neutral,"Strong market activity with high trade volume, healthy buyer participation, and modest price appreciation indicate stable market conditions.",833,81,914,2217,1,claude-haiku-4-5-20251001
llm_base,top_trust,5,CloneX,115,ALLOW_BUY,NO_RISK,positive,neutral,"Strong market activity with 117 trades, 83 unique buyers, and $357k total value in window; minor price appreciation and trade count decline do not override solid fundamentals.",832,98,930,2119,1,claude-haiku-4-5-20251001
llm_base,top_trust,6,Milady,105,ALLOW_BUY,NO_RISK,neutral,neutral,Market shows healthy trading activity with 99 trades and 73 unique buyers despite minor price and volume declines; no reputation evidence provided to elevate concern.,832,93,925,2852,1,claude-haiku-4-5-20251001
llm_base,top_trust,7,CloneX,117,ALLOW_BUY,NO_RISK,neutral,neutral,Market shows stable activity with healthy trade volume and buyer engagement despite minor price and trade count declines; no reputation evidence provided to elevate concern.,832,89,921,3107,1,claude-haiku-4-5-20251001
llm_base,top_trust,8,CloneX,116,ALLOW_BUY,NO_RISK,positive,neutral,"Strong market activity with high trade volume, stable pricing, and healthy buyer engagement; no reputation data provided to contradict market signals.",833,86,919,1817,1,claude-haiku-4-5-20251001
llm_base,top_trust,9,KaijuKingz,119,ALLOW_BUY,NO_RISK,neutral,neutral,"Market shows stable activity with modest trading volume and slight price decline, but no clear negative signals; reputation data absent; neutral evidence supports no-risk judgment for flat position.",832,94,926,2660,1,claude-haiku-4-5-20251001
llm_base_rank,malicious_pre_report,0,8_3_155ecac8_155ecac8,119,AVOID_BUY,RISK,negative,neutral,Zero trading activity with gas costs but no trades or mints indicates a dead or inactive contract; market evidence is clearly negative despite neutral reputation.,980,86,1066,1920,1,claude-haiku-4-5-20251001
llm_base_rank,malicious_pre_report,1,8_3_c5371723_c5371723,113,AVOID_BUY,RISK,negative,negative,Zero market activity combined with below-median credibility (49th percentile) indicates both current illiquidity and long-term trust concerns.,977,87,1064,2166,1,claude-haiku-4-5-20251001
llm_base_rank,malicious_pre_report,2,8_3_74547805_74547805,34,AVOID_BUY,RISK,negative,negative,"Zero trading activity with gas costs but no trades, combined with poor credibility percentile (23/100), indicates both market stagnation and low long-term trustworthiness.",980,96,1076,2104,1,claude-haiku-4-5-20251001
llm_base_rank,malicious_pre_report,3,8_3_4362e588_4362e588,42,AVOID_BUY,RISK,negative,neutral,Zero trading activity with no price data and no collection items despite gas expenditure signals a dead or non-functional contract; market evidence is clearly negative.,980,88,1068,2754,1,claude-haiku-4-5-20251001
llm_base_rank,malicious_pre_report,4,8_3_162d44f0_162d44f0,52,AVOID_BUY,RISK,negative,neutral,Zero trading activity with gas costs but no trades or mints indicates a dead or inactive contract; market evidence is clearly negative despite neutral reputation.,980,86,1066,1988,1,claude-haiku-4-5-20251001
llm_base_rank,malicious_pre_report,5,8_3_c8fd581c_c8fd581c,111,AVOID_BUY,RISK,negative,negative,Zero market activity combined with extremely poor credibility (6th percentile) and persistent 91-window low-reputation streak indicates both acute market failure and chronic trust deterioration.,977,94,1071,1859,1,claude-haiku-4-5-20251001
llm_base_rank,malicious_pre_report,6,8_3_155ecac8_155ecac8,119,AVOID_BUY,RISK,negative,neutral,Zero trading activity with gas costs but no trades or mints indicates a dead or inactive contract; market evidence is clearly negative despite neutral reputation.,980,86,1066,2691,1,claude-haiku-4-5-20251001
llm_base_rank,malicious_pre_report,7,8_3_fbbeee19_fbbeee19,111,AVOID_BUY,RISK,negative,negative,Zero market activity combined with below-median credibility (37th percentile) creates a dual negative signal indicating meaningful risk.,977,83,1060,1953,1,claude-haiku-4-5-20251001
llm_base_rank,malicious_pre_report,8,8_3_c1e13c80_c1e13c80,112,AVOID_BUY,RISK,negative,neutral,"Zero market activity across all metrics indicates a dead or inactive collection; combined with neutral reputation, the absence of any trading signal presents meaningful risk for a flat position.",977,90,1067,2339,1,claude-haiku-4-5-20251001
llm_base_rank,malicious_pre_report,9,8_3_cff377d0_cff377d0,45,AVOID_BUY,RISK,negative,negative,"Complete market collapse (zero trades, zero volume, zero items) combined with persistent severe reputation failure (5th percentile, 20-window streak) indicates a dead or fraudulent contract.",977,97,1074,3760,1,claude-haiku-4-5-20251001
llm_base_rank,top_trust,0,Milady,104,ALLOW_BUY,NO_RISK,neutral,positive,Excellent reputation (99th percentile credibility) with strong trading activity and volume offset minor price decline and trade count reduction.,997,86,1083,2072,1,claude-haiku-4-5-20251001
llm_base_rank,top_trust,1,CloneX,114,ALLOW_BUY,NO_RISK,positive,positive,"Strong market activity with 230 trades, $688k volume, 140 unique buyers, and slight price appreciation combined with excellent credibility rank (99/100) and zero low-reputation streak indicate healthy fundamentals.",996,106,1102,2133,1,claude-haiku-4-5-20251001
llm_base_rank,top_trust,2,KaijuKingz,118,ALLOW_BUY,NO_RISK,neutral,positive,Excellent reputation (99th percentile credibility) with stable market activity and modest price decline offset by healthy trading volume and buyer engagement.,996,88,1084,3396,1,claude-haiku-4-5-20251001
llm_base_rank,top_trust,3,CloneX,113,ALLOW_BUY,NO_RISK,positive,positive,"Strong market activity with 223 trades, $474k volume, 102 unique buyers, and positive price momentum (+0.095%) combined with excellent reputation (99th percentile credibility) indicates low risk.",996,105,1101,2031,1,claude-haiku-4-5-20251001
llm_base_rank,top_trust,4,Milady,103,ALLOW_BUY,NO_RISK,positive,positive,"Strong market activity with 244 trades, $1.85M volume, 156 unique buyers, and positive price momentum (+0.16%) combined with excellent reputation (99th percentile credibility) indicates low risk.",997,107,1104,2215,1,claude-haiku-4-5-20251001
llm_base_rank,top_trust,5,CloneX,115,ALLOW_BUY,NO_RISK,positive,positive,"Strong market activity with 117 trades, high trade value, and excellent credibility ranking (99/100) indicate healthy fundamentals despite minor trade count decline.",996,93,1089,2615,1,claude-haiku-4-5-20251001
llm_base_rank,top_trust,6,Milady,105,ALLOW_BUY,NO_RISK,neutral,positive,"Strong reputation (99th percentile credibility) with healthy market activity (99 trades, 73 unique buyers, $745k volume) offsets modest price decline and trade count reduction.",996,100,1096,2673,1,claude-haiku-4-5-20251001
llm_base_rank,top_trust,7,CloneX,117,ALLOW_BUY,NO_RISK,neutral,positive,Excellent reputation (99th percentile credibility) with stable market activity and modest price decline offset by strong trading volume and buyer engagement.,996,88,1084,2555,1,claude-haiku-4-5-20251001
llm_base_rank,top_trust,8,CloneX,116,ALLOW_BUY,NO_RISK,positive,positive,"Strong market activity with 380 trades, $1.34M volume, 226 unique buyers, and positive price momentum (+0.30%) combined with excellent reputation credibility (99th percentile) indicates low risk.",997,107,1104,2311,1,claude-haiku-4-5-20251001
llm_base_rank,top_trust,9,KaijuKingz,119,ALLOW_BUY,NO_RISK,neutral,positive,Excellent reputation (99th percentile credibility) with stable market activity and modest price decline offset by healthy trading volume and buyer engagement.,996,88,1084,2355,1,claude-haiku-4-5-20251001
