decision_mode,sample_group,sample_idx,contract_id,snapshot_idx,decision,risk_label,market_view,reputation_view,reason,prompt_tokens,completion_tokens,total_tokens,latency_ms,parse_success,model_name
llm_rank,malicious_pre_report,0,8_3_155ecac8_155ecac8,119,AVOID_BUY,RISK,neutral,negative,Credibility percentile rank of 62/100 indicates below-average long-term trust; this persistent moderate-to-low credibility constitutes meaningful risk in reputation-primary mode.,716,98,814,2039,1,claude-haiku-4-5-20251001
llm_rank,malicious_pre_report,1,8_3_c5371723_c5371723,113,AVOID_BUY,RISK,neutral,negative,"Credibility percentile rank of 49/100 indicates below-median trustworthiness, which constitutes meaningful reputation risk in screening mode.",716,89,805,1884,1,claude-haiku-4-5-20251001
llm_rank,malicious_pre_report,2,8_3_74547805_74547805,34,AVOID_BUY,RISK,neutral,negative,"Credibility percentile rank of 23/100 indicates significantly below-average long-term trustworthiness, constituting meaningful reputation risk.",716,89,805,1672,1,claude-haiku-4-5-20251001
llm_rank,malicious_pre_report,3,8_3_4362e588_4362e588,42,AVOID_BUY,RISK,neutral,negative,Credibility percentile rank of 53/100 indicates below-median trustworthiness; low TRep credibility is meaningful risk evidence in this screening mode.,716,94,810,2670,1,claude-haiku-4-5-20251001
llm_rank,malicious_pre_report,4,8_3_162d44f0_162d44f0,52,AVOID_BUY,RISK,neutral,negative,"Credibility percentile rank of 52/100 indicates below-median trustworthiness; entity ranks in lower half of TRep distribution, constituting meaningful long-term risk.",716,98,814,1904,1,claude-haiku-4-5-20251001
llm_rank,malicious_pre_report,5,8_3_c8fd581c_c8fd581c,111,AVOID_BUY,RISK,neutral,negative,Extremely low credibility percentile (6/100) with persistent 91-window low-reputation streak indicates severe and reliable long-term trust deficit.,716,90,806,2971,1,claude-haiku-4-5-20251001
llm_rank,malicious_pre_report,6,8_3_155ecac8_155ecac8,119,AVOID_BUY,RISK,neutral,negative,Credibility percentile rank of 62/100 indicates below-average long-term trust; this persistent moderate-to-low credibility constitutes meaningful risk in reputation-primary mode.,716,98,814,2510,1,claude-haiku-4-5-20251001
llm_rank,malicious_pre_report,7,8_3_fbbeee19_fbbeee19,111,AVOID_BUY,RISK,neutral,negative,"Credibility percentile rank of 37/100 indicates below-average long-term trust, constituting meaningful reputation risk.",716,85,801,2796,1,claude-haiku-4-5-20251001
llm_rank,malicious_pre_report,8,8_3_c1e13c80_c1e13c80,112,ALLOW_BUY,NO_RISK,neutral,neutral,"Credibility percentile rank of 71/100 is above median with no persistent low-reputation streak, indicating acceptable trust profile.",716,88,804,3039,1,claude-haiku-4-5-20251001
llm_rank,malicious_pre_report,9,8_3_cff377d0_cff377d0,45,AVOID_BUY,RISK,neutral,negative,Extremely low credibility percentile (5/100) with persistent 20-window low-reputation streak indicates severe and reliable long-term trust deficit.,716,90,806,2914,1,claude-haiku-4-5-20251001
