decision_mode,sample_group,sample_idx,contract_id,snapshot_idx,decision,risk_label,market_view,reputation_view,reason,prompt_tokens,completion_tokens,total_tokens,latency_ms,parse_success,model_name
llm_base_rank,malicious_pre_report,0,8_3_155ecac8_155ecac8,119,AVOID_BUY,RISK,negative,neutral,"The market shows no trading activity and no items, indicating a lack of demand, while reputation is neutral.",939,72,1011,1869,1,gemini-2.5-flash-nothinking
llm_base_rank,malicious_pre_report,1,8_3_c5371723_c5371723,113,AVOID_BUY,RISK,negative,neutral,"Zero market activity indicates a lack of demand, and while reputation is neutral, the absence of positive market signals leads to a RISK judgment.",930,78,1008,1871,1,gemini-2.5-flash-nothinking
llm_base_rank,malicious_pre_report,2,8_3_74547805_74547805,34,AVOID_BUY,RISK,negative,negative,"The market shows no trading activity and the reputation credibility is low, indicating significant risk.",939,68,1007,1739,1,gemini-2.5-flash-nothinking
llm_base_rank,malicious_pre_report,3,8_3_4362e588_4362e588,42,AVOID_BUY,RISK,negative,neutral,"The market shows no trading activity, indicating illiquidity, while reputation is neutral.",938,68,1006,1296,1,gemini-2.5-flash-nothinking
llm_base_rank,malicious_pre_report,4,8_3_162d44f0_162d44f0,52,AVOID_BUY,RISK,negative,neutral,"The market shows no trading activity and no items, indicating a dead or non-existent collection, while reputation is neutral.",939,75,1014,1452,1,gemini-2.5-flash-nothinking
llm_base_rank,malicious_pre_report,5,8_3_c8fd581c_c8fd581c,111,AVOID_BUY,RISK,negative,negative,"Market evidence shows no activity, and reputation evidence indicates persistent low credibility with a long low-reputation streak.",930,73,1003,1338,1,gemini-2.5-flash-nothinking
llm_base_rank,malicious_pre_report,6,8_3_155ecac8_155ecac8,119,AVOID_BUY,RISK,negative,neutral,"The market shows no trading activity and zero items, indicating a dead or non-existent collection, while reputation is neutral.",939,75,1014,1861,1,gemini-2.5-flash-nothinking
llm_base_rank,malicious_pre_report,7,8_3_fbbeee19_fbbeee19,111,AVOID_BUY,RISK,negative,negative,Zero market activity combined with below-average reputation credibility indicates meaningful risk.,930,65,995,1844,1,gemini-2.5-flash-nothinking
llm_base_rank,malicious_pre_report,8,8_3_c1e13c80_c1e13c80,112,AVOID_BUY,RISK,negative,neutral,"The market shows no activity, indicating a lack of demand, while reputation is neutral.",930,68,998,1676,1,gemini-2.5-flash-nothinking
llm_base_rank,malicious_pre_report,9,8_3_cff377d0_cff377d0,45,AVOID_BUY,RISK,negative,negative,"Market activity is completely absent, and the reputation is extremely low with a persistent low-credibility streak.",930,72,1002,1798,1,gemini-2.5-flash-nothinking
llm_base_rank,malicious_pre_report,10,8_3_4362e588_4362e588,42,AVOID_BUY,RISK,negative,neutral,"Zero market activity combined with some gas spent suggests potential issues, while reputation is neutral.",938,68,1006,1309,1,gemini-2.5-flash-nothinking
