decision_mode,sample_group,sample_idx,contract_id,snapshot_idx,decision,risk_label,market_view,reputation_view,reason,prompt_tokens,completion_tokens,total_tokens,latency_ms,parse_success,model_name
llm_base_rank,malicious_pre_report,0,8_3_155ecac8_155ecac8,119,AVOID_BUY,RISK,negative,neutral,"No trades, buyers, mints, or items indicate dead market; reputation is neutral.",994,618,1612,3872,1,grok-4-1-fast
llm_base_rank,malicious_pre_report,1,8_3_c5371723_c5371723,113,AVOID_BUY,RISK,negative,neutral,"No trades, buyers, or items indicate complete lack of market activity and liquidity.",991,791,1782,5047,1,grok-4-1-fast
llm_base_rank,malicious_pre_report,2,8_3_74547805_74547805,34,AVOID_BUY,RISK,negative,negative,No market activity combined with low TRep credibility indicates meaningful risk.,994,579,1573,3635,1,grok-4-1-fast
llm_base_rank,malicious_pre_report,3,8_3_4362e588_4362e588,42,AVOID_BUY,RISK,negative,neutral,"Zero trades, buyers, and mints signal strong market illiquidity despite neutral reputation.",994,756,1750,4749,1,grok-4-1-fast
llm_base_rank,malicious_pre_report,4,8_3_162d44f0_162d44f0,52,AVOID_BUY,RISK,negative,neutral,"Zero trades, buyers, mints, and items indicate strongly negative market evidence despite neutral reputation.",994,563,1557,4087,1,grok-4-1-fast
llm_base_rank,malicious_pre_report,5,8_3_c8fd581c_c8fd581c,111,AVOID_BUY,RISK,negative,negative,No market activity combined with persistent low credibility signals high risk.,991,549,1540,3952,1,grok-4-1-fast
llm_base_rank,malicious_pre_report,6,8_3_155ecac8_155ecac8,119,AVOID_BUY,RISK,negative,neutral,"No trades, buyers, mints, or items indicate dead market with no liquidity.",994,811,1805,4554,1,grok-4-1-fast
llm_base_rank,malicious_pre_report,7,8_3_fbbeee19_fbbeee19,111,AVOID_BUY,RISK,negative,negative,Zero market activity and below-median credibility indicate meaningful risk.,991,982,1973,7532,1,grok-4-1-fast
llm_base_rank,malicious_pre_report,8,8_3_c1e13c80_c1e13c80,112,AVOID_BUY,RISK,negative,positive,"Zero market activity and no collection items outweigh decent reputation, signaling illiquidity risk.",991,1287,2278,9235,1,grok-4-1-fast
llm_base_rank,malicious_pre_report,9,8_3_cff377d0_cff377d0,45,AVOID_BUY,RISK,negative,negative,Zero market activity and persistently low credibility signal high risk.,991,787,1778,6498,1,grok-4-1-fast
llm_base_rank,malicious_pre_report,10,8_3_4362e588_4362e588,42,AVOID_BUY,RISK,negative,neutral,"No trades, buyers, or mints signal dead market despite neutral reputation.",994,530,1524,3875,1,grok-4-1-fast
llm_base_rank,malicious_pre_report,11,8_3_4362e588_4362e588,42,AVOID_BUY,RISK,negative,neutral,"No trading activity, buyers, or mints indicates illiquid market despite neutral reputation.",994,635,1629,5231,1,grok-4-1-fast
llm_base_rank,malicious_pre_report,12,8_3_e6d00e3b_e6d00e3b,42,AVOID_BUY,RISK,negative,negative,No market activity combined with low credibility percentile indicates meaningful risk.,994,786,1780,7192,1,grok-4-1-fast
llm_base_rank,malicious_pre_report,13,8_3_c8fd581c_c8fd581c,111,AVOID_BUY,RISK,negative,negative,Zero market activity combined with persistently low credibility signals high risk.,991,640,1631,6435,1,grok-4-1-fast
llm_base_rank,malicious_pre_report,14,8_3_0d99cc92_0d99cc92,71,AVOID_BUY,RISK,negative,negative,No market activity combined with low credibility signals high risk.,994,460,1454,4356,1,grok-4-1-fast
llm_base_rank,malicious_pre_report,15,8_3_162d44f0_162d44f0,52,AVOID_BUY,RISK,negative,neutral,"No trades, buyers, mints, or items indicate dead market; reputation is neutral.",994,761,1755,6488,1,grok-4-1-fast
llm_base_rank,malicious_pre_report,16,8_3_e6d00e3b_e6d00e3b,42,AVOID_BUY,RISK,negative,negative,No trades or activity combined with low credibility percentile signals clear risk.,994,599,1593,6051,1,grok-4-1-fast
llm_base_rank,malicious_pre_report,17,8_3_0c5597e5_0c5597e5,112,AVOID_BUY,RISK,negative,negative,No market activity combined with persistent low credibility signals high risk.,991,442,1433,3323,1,grok-4-1-fast
llm_base_rank,malicious_pre_report,18,8_3_cc2d4dae_cc2d4dae,111,AVOID_BUY,RISK,negative,neutral,No market activity or liquidity with neutral reputation indicates high risk.,991,650,1641,4990,1,grok-4-1-fast
llm_base_rank,malicious_pre_report,19,8_3_c8fd581c_c8fd581c,111,AVOID_BUY,RISK,negative,negative,Zero market activity combined with persistent low credibility signals high risk.,991,767,1758,5710,1,grok-4-1-fast
llm_base_rank,malicious_pre_report,20,8_3_0b7e393f_0b7e393f,46,AVOID_BUY,RISK,negative,neutral,"Zero trades, buyers, mints, and items signal dead market despite high gas spend.",994,472,1466,3557,1,grok-4-1-fast
llm_base_rank,malicious_pre_report,21,8_3_e6d00e3b_e6d00e3b,42,AVOID_BUY,RISK,negative,negative,Zero market activity and low credibility percentile signal high risk.,994,679,1673,4407,1,grok-4-1-fast
llm_base_rank,malicious_pre_report,22,8_3_48bcdb6f_48bcdb6f,34,AVOID_BUY,RISK,negative,negative,No trading activity or liquidity combined with low credibility signals high risk.,994,683,1677,5038,1,grok-4-1-fast
llm_base_rank,malicious_pre_report,23,8_3_131e924a_131e924a,58,AVOID_BUY,RISK,negative,negative,No market activity combined with persistent low credibility.,994,476,1470,3272,1,grok-4-1-fast
llm_base_rank,malicious_pre_report,24,8_3_0b7e393f_0b7e393f,46,AVOID_BUY,RISK,negative,neutral,"No trades, buyers, mints, or items despite high gas spend signals dead market.",994,471,1465,4210,1,grok-4-1-fast
llm_base_rank,malicious_pre_report,25,8_3_c8fd581c_c8fd581c,111,AVOID_BUY,RISK,neutral,negative,Persistent low credibility with no market activity indicates high risk.,991,843,1834,5989,1,grok-4-1-fast
llm_base_rank,malicious_pre_report,26,8_3_0205c970_0205c970,42,AVOID_BUY,RISK,negative,negative,No market activity and low credibility percentile indicate meaningful risk.,991,638,1629,5740,1,grok-4-1-fast
llm_base_rank,malicious_pre_report,27,8_3_48bcdb6f_48bcdb6f,34,AVOID_BUY,RISK,negative,negative,Zero trading activity and low credibility percentile signal high risk.,994,533,1527,3864,1,grok-4-1-fast
llm_base_rank,malicious_pre_report,28,8_3_fbbeee19_fbbeee19,111,AVOID_BUY,RISK,negative,negative,No market activity or supply combined with below-average credibility signals meaningful risk.,991,876,1867,9939,1,grok-4-1-fast
llm_base_rank,malicious_pre_report,29,8_3_cc2d4dae_cc2d4dae,111,AVOID_BUY,RISK,negative,neutral,Complete lack of market activity signals high illiquidity risk despite neutral reputation.,991,929,1920,6993,1,grok-4-1-fast
llm_base_rank,malicious_pre_report,30,8_3_48bcdb6f_48bcdb6f,34,AVOID_BUY,RISK,negative,negative,No market activity combined with low credibility signals high risk.,994,677,1671,6756,1,grok-4-1-fast
llm_base_rank,malicious_pre_report,31,8_3_f9da1642_f9da1642,35,AVOID_BUY,RISK,negative,neutral,"No trades, buyers, mints, or items despite high gas indicates dead market with neutral reputation.",994,703,1697,6884,1,grok-4-1-fast
llm_base_rank,malicious_pre_report,32,8_3_88efddb0_88efddb0,111,AVOID_BUY,RISK,negative,negative,Zero market activity and low credibility indicate high risk.,991,503,1494,5220,1,grok-4-1-fast
llm_base_rank,malicious_pre_report,33,8_3_fc7440a4_fc7440a4,111,AVOID_BUY,RISK,negative,neutral,Complete lack of market activity signals high illiquidity despite neutral reputation.,991,678,1669,5593,1,grok-4-1-fast
llm_base_rank,malicious_pre_report,34,8_3_fc7440a4_fc7440a4,111,AVOID_BUY,RISK,negative,neutral,Zero market activity and no collection items signal strong negative market evidence despite neutral reputation.,991,567,1558,4506,1,grok-4-1-fast
llm_base_rank,malicious_pre_report,35,8_3_288462f5_288462f5,113,AVOID_BUY,RISK,negative,negative,Zero market activity including no trades or items combined with low credibility percentile indicates high risk.,991,912,1903,8642,1,grok-4-1-fast
llm_base_rank,malicious_pre_report,36,8_3_85cfd3cf_85cfd3cf,42,AVOID_BUY,RISK,negative,negative,No market activity whatsoever combined with low credibility rank signals meaningful risk.,991,1121,2112,9822,1,grok-4-1-fast
llm_base_rank,malicious_pre_report,37,8_3_74547805_74547805,34,AVOID_BUY,RISK,negative,negative,"No market activity with zero trades, buyers, and items combined with low credibility rank indicates high risk.",994,683,1677,5391,1,grok-4-1-fast
llm_base_rank,malicious_pre_report,38,8_3_74547805_74547805,34,AVOID_BUY,RISK,negative,negative,Zero market activity combined with low credibility percentile indicates high risk.,994,669,1663,6459,1,grok-4-1-fast
llm_base_rank,malicious_pre_report,39,8_3_c1e13c80_c1e13c80,112,AVOID_BUY,RISK,negative,positive,No market activity or supply despite decent reputation indicates high illiquidity risk.,991,1388,2379,11544,1,grok-4-1-fast
llm_base_rank,malicious_pre_report,40,8_3_48bcdb6f_48bcdb6f,34,AVOID_BUY,RISK,negative,negative,Zero market activity combined with low credibility rank signals high risk.,994,646,1640,5244,1,grok-4-1-fast
llm_base_rank,malicious_pre_report,41,8_3_cff377d0_cff377d0,45,AVOID_BUY,RISK,negative,negative,Zero market activity and persistently low credibility signal high risk.,991,554,1545,5911,1,grok-4-1-fast
llm_base_rank,malicious_pre_report,42,8_3_c5371723_c5371723,113,AVOID_BUY,RISK,negative,neutral,"No trades, buyers, or collection items indicate dead market despite neutral reputation.",991,705,1696,5361,1,grok-4-1-fast
llm_base_rank,malicious_pre_report,43,8_3_f9da1642_f9da1642,35,AVOID_BUY,RISK,negative,neutral,"No trades, buyers, mints, or items despite high gas indicates dead market with no liquidity.",994,736,1730,6485,1,grok-4-1-fast
llm_base_rank,malicious_pre_report,44,8_3_0c5597e5_0c5597e5,112,AVOID_BUY,RISK,negative,negative,Complete lack of market activity and persistent low reputation indicate high risk.,991,743,1734,6124,1,grok-4-1-fast
llm_base_rank,malicious_pre_report,45,8_3_12239e85_12239e85,111,AVOID_BUY,RISK,negative,negative,No market activity and low credibility indicate high risk.,991,642,1633,5202,1,grok-4-1-fast
llm_base_rank,malicious_pre_report,46,8_3_c1e13c80_c1e13c80,112,AVOID_BUY,RISK,negative,positive,Complete lack of market activity and supply outweighs decent reputation.,991,2061,3052,15170,1,grok-4-1-fast
llm_base_rank,malicious_pre_report,47,8_3_155ecac8_155ecac8,119,AVOID_BUY,RISK,negative,neutral,"No trades, buyers, mints, or collection items indicate illiquid and inactive market.",994,900,1894,6113,1,grok-4-1-fast
llm_base_rank,malicious_pre_report,48,8_3_c8fd581c_c8fd581c,111,AVOID_BUY,RISK,neutral,negative,Persistent low credibility streak with no market activity signals high risk.,991,992,1983,7669,1,grok-4-1-fast
llm_base_rank,malicious_pre_report,49,8_3_17e89a30_17e89a30,111,AVOID_BUY,RISK,negative,negative,Zero market activity and low persistent reputation indicate high risk.,991,706,1697,6957,1,grok-4-1-fast
llm_base_rank,malicious_pre_report,50,8_3_155ecac8_155ecac8,119,AVOID_BUY,RISK,negative,neutral,"Zero trades, buyers, mints, and items signal dead market with no liquidity.",994,885,1879,5816,1,grok-4-1-fast
llm_base_rank,malicious_pre_report,51,8_3_bba73676_bba73676,111,AVOID_BUY,RISK,neutral,negative,Persistent low credibility streak with absent market activity.,991,668,1659,5093,1,grok-4-1-fast
llm_base_rank,malicious_pre_report,52,8_3_0d99cc92_0d99cc92,71,AVOID_BUY,RISK,negative,negative,Zero market activity combined with low credibility percentile signals high risk.,994,563,1557,4934,1,grok-4-1-fast
llm_base_rank,malicious_pre_report,53,8_3_f9da1642_f9da1642,35,AVOID_BUY,RISK,negative,neutral,"No trades, buyers, or items indicate absent market activity, paired with below-average credibility.",994,816,1810,6048,1,grok-4-1-fast
llm_base_rank,malicious_pre_report,54,8_3_6249c06e_6249c06e,42,AVOID_BUY,RISK,neutral,negative,Low credibility percentile with absent market activity signals risk.,991,1270,2261,11658,1,grok-4-1-fast
llm_base_rank,malicious_pre_report,55,8_3_bba73676_bba73676,111,AVOID_BUY,RISK,negative,negative,No market activity combined with persistent low credibility indicates high risk.,991,440,1431,3016,1,grok-4-1-fast
