decision_mode,sample_group,sample_idx,contract_id,snapshot_idx,decision,risk_label,market_view,reputation_view,reason,prompt_tokens,completion_tokens,total_tokens,latency_ms,parse_success,model_name
llm_base_rank_mini,malicious_pre_report,0,8_3_155ecac8_155ecac8,119,ALLOW_BUY,NO_RISK,neutral,neutral,"Market evidence is absent (null price change), and reputation is middling (62nd percentile) with no persistent low-credibility streak; neither evidence group shows clear negative signal.",859,97,956,2677,1,claude-haiku-4-5-20251001
llm_base_rank_mini,malicious_pre_report,1,8_3_c5371723_c5371723,113,ALLOW_BUY,NO_RISK,neutral,negative,"Market evidence is absent (null price change), reputation is below median (49th percentile) but not persistently low; weak negative reputation signal does not override neutral market evidence.",859,96,955,2071,1,claude-haiku-4-5-20251001
llm_base_rank_mini,malicious_pre_report,2,8_3_74547805_74547805,34,AVOID_BUY,RISK,neutral,negative,Credibility percentile of 23/100 signals poor long-term reputation with no offsetting market evidence; neutral market data cannot overcome persistent low-trust signal.,859,93,952,2594,1,claude-haiku-4-5-20251001
llm_base_rank_mini,malicious_pre_report,3,8_3_4362e588_4362e588,42,ALLOW_BUY,NO_RISK,neutral,negative,"Market evidence is absent (null price change), making it neutral; reputation is below median (53/100) but not persistently low (streak=0), and weak market signal does not trigger RISK when reputation alone is moderately negative.",859,109,968,3297,1,claude-haiku-4-5-20251001
llm_base_rank_mini,malicious_pre_report,4,8_3_162d44f0_162d44f0,52,ALLOW_BUY,NO_RISK,neutral,negative,"Market evidence is absent (null price change), making it neutral; reputation is below median (52nd percentile) but not persistently low (streak=0), so weak negative signal does not override neutral market evidence.",859,104,963,3193,1,claude-haiku-4-5-20251001
llm_base_rank_mini,malicious_pre_report,5,8_3_c8fd581c_c8fd581c,111,AVOID_BUY,RISK,neutral,negative,"Persistent extreme low credibility (6th percentile, 91-window streak) with neutral market evidence creates meaningful long-term risk despite flat position.",859,90,949,3180,1,claude-haiku-4-5-20251001
llm_base_rank_mini,malicious_pre_report,6,8_3_155ecac8_155ecac8,119,ALLOW_BUY,NO_RISK,neutral,neutral,"Market evidence is absent (null price change), and reputation is middling (62nd percentile) with no persistent low-credibility streak; neither evidence group shows clear negative signal.",859,97,956,2150,1,claude-haiku-4-5-20251001
llm_base_rank_mini,malicious_pre_report,7,8_3_fbbeee19_fbbeee19,111,AVOID_BUY,RISK,neutral,negative,"Credibility percentile of 37/100 signals below-average long-term reputation risk; with neutral market evidence and no offsetting positive signals, reputation-side risk dominates the decision.",859,99,958,2887,1,claude-haiku-4-5-20251001
llm_base_rank_mini,malicious_pre_report,8,8_3_c1e13c80_c1e13c80,112,ALLOW_BUY,NO_RISK,neutral,positive,"Market evidence is absent (null price change), but reputation is solidly positive at 71st percentile with no low-reputation streak; neutral market combined with positive reputation supports no-risk judgment.",859,100,959,2471,1,claude-haiku-4-5-20251001
llm_base_rank_mini,malicious_pre_report,9,8_3_cff377d0_cff377d0,45,AVOID_BUY,RISK,neutral,negative,"Persistent severe reputation failure (5th percentile, 20-window streak) combined with neutral market evidence and flat position creates meaningful long-term risk.",859,90,949,2442,1,claude-haiku-4-5-20251001
llm_base_rank_mini,malicious_pre_report,10,8_3_4362e588_4362e588,42,ALLOW_BUY,NO_RISK,neutral,negative,"Market evidence is absent (null price change), making it neutral; reputation is below median (53/100) but not persistently low (streak=0), and weak market signal does not trigger RISK when reputation alone is moderately negative.",859,109,968,2594,1,claude-haiku-4-5-20251001
llm_base_rank_mini,malicious_pre_report,11,8_3_4362e588_4362e588,42,ALLOW_BUY,NO_RISK,neutral,negative,"Market evidence is absent (null price change), making it neutral; reputation is below median (53/100) but not persistently low (streak=0), and weak market signal does not trigger RISK when reputation alone is moderately negative.",859,109,968,2633,1,claude-haiku-4-5-20251001
llm_base_rank_mini,malicious_pre_report,12,8_3_e6d00e3b_e6d00e3b,42,AVOID_BUY,RISK,neutral,negative,"Credibility percentile of 32/100 signals below-average long-term reputation risk; with neutral market evidence and no offsetting positive signals, reputation-side risk dominates the decision.",859,99,958,2347,1,claude-haiku-4-5-20251001
llm_base_rank_mini,malicious_pre_report,13,8_3_c8fd581c_c8fd581c,111,AVOID_BUY,RISK,neutral,negative,"Persistent extreme low credibility (6th percentile, 91-window streak) with neutral market evidence creates meaningful long-term risk despite flat position.",859,90,949,2459,1,claude-haiku-4-5-20251001
llm_base_rank_mini,malicious_pre_report,14,8_3_0d99cc92_0d99cc92,71,AVOID_BUY,RISK,neutral,negative,"Credibility percentile of 32/100 signals below-average long-term reputation risk; with neutral market evidence and no offsetting positive signals, reputation-side risk dominates the decision.",859,99,958,2270,1,claude-haiku-4-5-20251001
llm_base_rank_mini,malicious_pre_report,15,8_3_162d44f0_162d44f0,52,ALLOW_BUY,NO_RISK,neutral,negative,"Market evidence is absent (null price change), making it neutral; reputation is below median (52nd percentile) but not persistently low (streak=0), so weak negative signal does not override neutral market evidence.",859,104,963,3749,1,claude-haiku-4-5-20251001
llm_base_rank_mini,malicious_pre_report,16,8_3_e6d00e3b_e6d00e3b,42,AVOID_BUY,RISK,neutral,negative,"Credibility percentile of 32/100 signals below-average long-term reputation risk; with neutral market evidence and no offsetting positive signals, reputation-side risk dominates the decision.",859,99,958,2768,1,claude-haiku-4-5-20251001
llm_base_rank_mini,malicious_pre_report,17,8_3_0c5597e5_0c5597e5,112,AVOID_BUY,RISK,neutral,negative,"Persistent low credibility (13th percentile, 31-window streak) combined with neutral market evidence and flat position indicates meaningful long-term risk.",859,90,949,3003,1,claude-haiku-4-5-20251001
llm_base_rank_mini,malicious_pre_report,18,8_3_cc2d4dae_cc2d4dae,111,ALLOW_BUY,NO_RISK,neutral,neutral,"Market evidence is absent (null price change), and reputation is middling (55th percentile) with no persistent low-credibility streak; neither evidence group shows clear negative signal.",859,97,956,2222,1,claude-haiku-4-5-20251001
llm_base_rank_mini,malicious_pre_report,19,8_3_c8fd581c_c8fd581c,111,AVOID_BUY,RISK,neutral,negative,"Persistent extreme low credibility (6th percentile, 91-window streak) with neutral market evidence creates meaningful long-term risk despite flat position.",859,90,949,1909,1,claude-haiku-4-5-20251001
llm_base_rank_mini,malicious_pre_report,20,8_3_0b7e393f_0b7e393f,46,ALLOW_BUY,NO_RISK,neutral,negative,"Market evidence is absent (null price change), making it neutral; reputation is at median credibility (50th percentile) with no persistent low-reputation streak, so reputation signal is weak and does not override neutral market evidence.",859,106,965,2138,1,claude-haiku-4-5-20251001
llm_base_rank_mini,malicious_pre_report,21,8_3_e6d00e3b_e6d00e3b,42,AVOID_BUY,RISK,neutral,negative,"Credibility percentile of 32/100 signals below-average long-term reputation risk; with neutral market evidence and no offsetting positive signals, reputation-side risk dominates the decision.",859,99,958,3003,1,claude-haiku-4-5-20251001
llm_base_rank_mini,malicious_pre_report,22,8_3_48bcdb6f_48bcdb6f,34,AVOID_BUY,RISK,neutral,negative,Extremely low credibility percentile (8/100) with persistent low-reputation streak creates material long-term risk; neutral market evidence does not offset reputation signal.,859,92,951,2110,1,claude-haiku-4-5-20251001
llm_base_rank_mini,malicious_pre_report,23,8_3_131e924a_131e924a,58,AVOID_BUY,RISK,neutral,negative,Persistent 18-window low-reputation streak with 4th percentile credibility combined with neutral market evidence (no price data) triggers risk signal; weak market evidence cannot offset strong reputation deterioration.,859,100,959,2375,1,claude-haiku-4-5-20251001
llm_base_rank_mini,malicious_pre_report,24,8_3_0b7e393f_0b7e393f,46,ALLOW_BUY,NO_RISK,neutral,negative,"Market evidence is absent (null price change), making it neutral; reputation is at median credibility (50th percentile) with no persistent low-reputation streak, so reputation signal is weak and does not override neutral market evidence.",859,106,965,2500,1,claude-haiku-4-5-20251001
llm_base_rank_mini,malicious_pre_report,25,8_3_c8fd581c_c8fd581c,111,AVOID_BUY,RISK,neutral,negative,"Persistent extreme low credibility (6th percentile, 91-window streak) with neutral market evidence creates meaningful long-term risk despite flat position.",859,90,949,2256,1,claude-haiku-4-5-20251001
llm_base_rank_mini,malicious_pre_report,26,8_3_0205c970_0205c970,42,AVOID_BUY,RISK,neutral,negative,"Credibility percentile of 33/100 signals below-average long-term reputation risk; with neutral market evidence and no offsetting positive signals, reputation-side risk dominates the decision.",859,99,958,2190,1,claude-haiku-4-5-20251001
llm_base_rank_mini,malicious_pre_report,27,8_3_48bcdb6f_48bcdb6f,34,AVOID_BUY,RISK,neutral,negative,Extremely low credibility percentile (8/100) with persistent low-reputation streak creates material long-term risk; neutral market evidence does not offset reputation signal.,859,92,951,1948,1,claude-haiku-4-5-20251001
llm_base_rank_mini,malicious_pre_report,28,8_3_fbbeee19_fbbeee19,111,AVOID_BUY,RISK,neutral,negative,"Credibility percentile of 37/100 signals below-average long-term reputation risk; with neutral market evidence and no offsetting positive signals, reputation-side risk dominates the decision.",859,99,958,2759,1,claude-haiku-4-5-20251001
llm_base_rank_mini,malicious_pre_report,29,8_3_cc2d4dae_cc2d4dae,111,ALLOW_BUY,NO_RISK,neutral,neutral,"Market evidence is absent (null price change), and reputation is middling (55th percentile) with no persistent low-credibility streak; neither evidence group shows clear negative signal.",859,97,956,3058,1,claude-haiku-4-5-20251001
llm_base_rank_mini,malicious_pre_report,30,8_3_48bcdb6f_48bcdb6f,34,AVOID_BUY,RISK,neutral,negative,Extremely low credibility percentile (8/100) with persistent low-reputation streak creates material long-term risk; neutral market evidence does not offset reputation signal.,859,92,951,2669,1,claude-haiku-4-5-20251001
llm_base_rank_mini,malicious_pre_report,31,8_3_f9da1642_f9da1642,35,ALLOW_BUY,NO_RISK,neutral,negative,"Market evidence is absent (null price change), making it neutral; reputation is below median (48th percentile) but not persistently low (streak=0), so weak negative signal does not override neutral market evidence.",859,104,963,2361,1,claude-haiku-4-5-20251001
llm_base_rank_mini,malicious_pre_report,32,8_3_88efddb0_88efddb0,111,AVOID_BUY,RISK,neutral,negative,Credibility percentile of 29/100 signals persistent low reputation risk; neutral market evidence does not offset this clear negative reputation signal.,859,87,946,2194,1,claude-haiku-4-5-20251001
llm_base_rank_mini,malicious_pre_report,33,8_3_fc7440a4_fc7440a4,111,ALLOW_BUY,NO_RISK,neutral,neutral,"Market evidence is absent (null price change), and reputation is middling (58th percentile) with no persistent low-credibility streak; neither evidence group shows clear negative signal.",859,97,956,2223,1,claude-haiku-4-5-20251001
llm_base_rank_mini,malicious_pre_report,34,8_3_fc7440a4_fc7440a4,111,ALLOW_BUY,NO_RISK,neutral,neutral,"Market evidence is absent (null price change), and reputation is middling (58th percentile) with no persistent low-credibility streak; neither evidence group shows clear negative signal.",859,97,956,2044,1,claude-haiku-4-5-20251001
llm_base_rank_mini,malicious_pre_report,35,8_3_288462f5_288462f5,113,AVOID_BUY,RISK,neutral,negative,"Credibility percentile of 39/100 signals below-average long-term reputation risk; with neutral market evidence and no offsetting positive signals, reputation-side risk dominates the decision.",859,99,958,2250,1,claude-haiku-4-5-20251001
llm_base_rank_mini,malicious_pre_report,36,8_3_85cfd3cf_85cfd3cf,42,AVOID_BUY,RISK,neutral,negative,Credibility percentile of 28/100 signals persistent low reputation risk; neutral market evidence does not offset this clear negative reputation signal.,859,87,946,2272,1,claude-haiku-4-5-20251001
llm_base_rank_mini,malicious_pre_report,37,8_3_74547805_74547805,34,AVOID_BUY,RISK,neutral,negative,Credibility percentile of 23/100 signals poor long-term reputation with no offsetting market evidence; neutral market data cannot overcome persistent low-trust signal.,859,93,952,2132,1,claude-haiku-4-5-20251001
llm_base_rank_mini,malicious_pre_report,38,8_3_74547805_74547805,34,AVOID_BUY,RISK,neutral,negative,Credibility percentile of 23/100 signals poor long-term reputation with no offsetting market evidence; neutral market data cannot overcome persistent low-trust signal.,859,93,952,2289,1,claude-haiku-4-5-20251001
llm_base_rank_mini,malicious_pre_report,39,8_3_c1e13c80_c1e13c80,112,ALLOW_BUY,NO_RISK,neutral,positive,"Market evidence is absent (null price change), but reputation is solidly positive at 71st percentile with no low-reputation streak; neutral market combined with positive reputation supports no-risk judgment.",859,100,959,2073,1,claude-haiku-4-5-20251001
llm_base_rank_mini,malicious_pre_report,40,8_3_48bcdb6f_48bcdb6f,34,AVOID_BUY,RISK,neutral,negative,Extremely low credibility percentile (8/100) with persistent low-reputation streak creates material long-term risk; neutral market evidence does not offset reputation signal.,859,92,951,1962,1,claude-haiku-4-5-20251001
llm_base_rank_mini,malicious_pre_report,41,8_3_cff377d0_cff377d0,45,AVOID_BUY,RISK,neutral,negative,"Persistent severe reputation failure (5th percentile, 20-window streak) combined with neutral market evidence and flat position creates meaningful long-term risk.",859,90,949,1979,1,claude-haiku-4-5-20251001
llm_base_rank_mini,malicious_pre_report,42,8_3_c5371723_c5371723,113,ALLOW_BUY,NO_RISK,neutral,negative,"Market evidence is absent (null price change), reputation is below median (49th percentile) but not persistently low; weak negative reputation signal does not override neutral market evidence.",859,96,955,1989,1,claude-haiku-4-5-20251001
llm_base_rank_mini,malicious_pre_report,43,8_3_f9da1642_f9da1642,35,ALLOW_BUY,NO_RISK,neutral,negative,"Market evidence is absent (null price change), making it neutral; reputation is below median (48th percentile) but not persistently low (streak=0), so weak negative signal does not override neutral market evidence.",859,104,963,2780,1,claude-haiku-4-5-20251001
llm_base_rank_mini,malicious_pre_report,44,8_3_0c5597e5_0c5597e5,112,AVOID_BUY,RISK,neutral,negative,"Persistent low credibility (13th percentile, 31-window streak) combined with neutral market evidence and flat position indicates meaningful long-term risk.",859,90,949,2351,1,claude-haiku-4-5-20251001
