contract_id,snapshot_idx,rep_rank_pct,price_change_vs_prev_window_pct,trade_count_change_vs_prev_window_pct,llm_base_decision,llm_base_risk_label,llm_base_market_view,llm_base_reputation_view,llm_base_reason,llm_rank_decision,llm_rank_risk_label,llm_rank_market_view,llm_rank_reputation_view,llm_rank_reason
BoredApeKennelClub,1,0.4285714285714285,,,ALLOW_BUY,NO_RISK,positive,neutral,"Strong market activity with high volume and many users, and no negative reputation signals.",ALLOW_BUY,NO_RISK,neutral,neutral,Reputation credibility is near the median and not meaningfully negative.
BoredApeKennelClub,2,0.4285714285714285,-0.2483893334153595,-0.8771626297577855,ALLOW_BUY,NO_RISK,neutral,neutral,"Market shows high activity with moderate price decline, and no reputation evidence is provided.",ALLOW_BUY,NO_RISK,neutral,neutral,Reputation credibility is near the median and not meaningfully negative.
BoredApeKennelClub,3,0.5,1.884110766496638,2.964788732394366,ALLOW_BUY,NO_RISK,positive,neutral,Strong market activity and price increase outweigh neutral reputation.,ALLOW_BUY,NO_RISK,neutral,neutral,"The contract's credibility rank is at the median, indicating no strong negative reputation signal."
BoredApeKennelClub,4,0.6363636363636364,6.447823555104227,-0.6136767317939609,ALLOW_BUY,NO_RISK,positive,neutral,Strong market activity and price increase outweigh neutral reputation.,AVOID_BUY,RISK,neutral,negative,Low credibility percentile indicates high risk.
BoredApeKennelClub,5,0.8181818181818182,-0.8704403273923353,-0.1402298850574712,ALLOW_BUY,NO_RISK,neutral,neutral,"Market shows high activity with a minor price decline, and no reputation evidence is provided.",AVOID_BUY,RISK,neutral,negative,Low credibility percentile rank indicates high risk.
BoredApeKennelClub,6,0.8461538461538461,0.6811976806742217,3.2406417112299466,ALLOW_BUY,NO_RISK,positive,neutral,Strong market activity with no negative reputation signals.,AVOID_BUY,RISK,neutral,negative,Low credibility percentile indicates high risk.
BoredApeKennelClub,7,0.8,-0.1177750596048955,-0.6614123581336696,ALLOW_BUY,NO_RISK,neutral,neutral,"Market shows high activity with minor price decline, and no reputation evidence is provided.",AVOID_BUY,RISK,neutral,negative,Low credibility percentile indicates high risk.
BoredApeKennelClub,8,0.7333333333333333,-0.999973620381441,-0.527001862197393,AVOID_BUY,RISK,negative,neutral,Severe price crash and declining activity indicate high market risk.,AVOID_BUY,RISK,neutral,negative,Low credibility percentile rank indicates high risk.
BoredApeKennelClub,9,0.7333333333333333,42335.17644395889,0.0590551181102362,AVOID_BUY,RISK,negative,neutral,Extreme price surge with low trade activity suggests market manipulation.,AVOID_BUY,RISK,neutral,negative,Low credibility percentile rank indicates high risk.
BoredApeKennelClub,10,0.6470588235294118,-0.3914359117598561,-0.379182156133829,ALLOW_BUY,NO_RISK,neutral,neutral,"Market activity is high but declining, with no reputation evidence provided.",AVOID_BUY,RISK,neutral,negative,"The contract's credibility rank is low, indicating high risk."
