decision_mode,sample_group,sample_idx,contract_id,snapshot_idx,decision,risk_label,market_view,reputation_view,reason,prompt_tokens,completion_tokens,total_tokens,latency_ms,parse_success,model_name
llm_base,malicious_pre_report,0,8_3_155ecac8_155ecac8,119,AVOID_BUY,RISK,negative,neutral,"No trades, buyers, mints, or collection items indicate illiquid and inactive project.",854,566,1420,4502,1,grok-4-1-fast
llm_base,malicious_pre_report,1,8_3_c5371723_c5371723,113,AVOID_BUY,RISK,negative,neutral,"Zero market activity, trades, buyers, mints, and items indicate no liquidity or interest.",851,520,1371,5013,1,grok-4-1-fast
llm_base,malicious_pre_report,2,8_3_74547805_74547805,34,AVOID_BUY,RISK,negative,neutral,"Zero trades, buyers, mints, and collection items indicate no market activity.",854,514,1368,4564,1,grok-4-1-fast
llm_base,malicious_pre_report,3,8_3_4362e588_4362e588,42,AVOID_BUY,RISK,negative,neutral,"Zero trades, buyers, mints, and items indicate no market activity or liquidity.",854,667,1521,5226,1,grok-4-1-fast
llm_base,malicious_pre_report,4,8_3_162d44f0_162d44f0,52,AVOID_BUY,RISK,negative,neutral,"No trades, buyers, mints, or collection items indicate dead market.",854,674,1528,4954,1,grok-4-1-fast
llm_base,malicious_pre_report,5,8_3_c8fd581c_c8fd581c,111,AVOID_BUY,RISK,negative,neutral,"No market activity, trades, supply, or liquidity observed.",851,531,1382,4765,1,grok-4-1-fast
llm_base,malicious_pre_report,6,8_3_155ecac8_155ecac8,119,AVOID_BUY,RISK,negative,neutral,"No trades, buyers, mints, or collection items indicate complete lack of market activity.",854,628,1482,4954,1,grok-4-1-fast
llm_base,malicious_pre_report,7,8_3_fbbeee19_fbbeee19,111,AVOID_BUY,RISK,negative,neutral,"Complete absence of market activity, trades, mints, and collection items indicates high illiquidity and no interest.",851,456,1307,4198,1,grok-4-1-fast
llm_base,malicious_pre_report,8,8_3_c1e13c80_c1e13c80,112,AVOID_BUY,RISK,negative,neutral,"No market activity, trades, buyers, mints, or collection items observed.",851,446,1297,4294,1,grok-4-1-fast
llm_base,malicious_pre_report,9,8_3_cff377d0_cff377d0,45,AVOID_BUY,RISK,negative,neutral,"Zero trades, buyers, mints, and collection items show complete lack of market activity and liquidity.",851,446,1297,4674,1,grok-4-1-fast
llm_base,malicious_pre_report,10,8_3_4362e588_4362e588,42,AVOID_BUY,RISK,negative,neutral,"Zero trades, buyers, mints, and collection items indicate no market activity.",854,589,1443,4950,1,grok-4-1-fast
llm_base,malicious_pre_report,11,8_3_4362e588_4362e588,42,AVOID_BUY,RISK,negative,neutral,"No trades, buyers, mints, or collection items indicate zero market activity.",854,675,1529,6081,1,grok-4-1-fast
llm_base,malicious_pre_report,12,8_3_e6d00e3b_e6d00e3b,42,AVOID_BUY,RISK,negative,neutral,"No trades, buyers, or collection items indicate complete lack of market activity.",854,439,1293,3572,1,grok-4-1-fast
llm_base,malicious_pre_report,13,8_3_c8fd581c_c8fd581c,111,AVOID_BUY,RISK,negative,neutral,"Complete absence of market activity, trades, buyers, and items.",851,515,1366,5074,1,grok-4-1-fast
llm_base,malicious_pre_report,14,8_3_0d99cc92_0d99cc92,71,AVOID_BUY,RISK,negative,neutral,"Zero trades, buyers, mints, and collection items show complete lack of market activity.",854,466,1320,3097,1,grok-4-1-fast
llm_base,malicious_pre_report,15,8_3_162d44f0_162d44f0,52,AVOID_BUY,RISK,negative,neutral,"No trades, buyers, mints, or items in collection indicates dead market.",854,453,1307,3573,1,grok-4-1-fast
llm_base,malicious_pre_report,16,8_3_e6d00e3b_e6d00e3b,42,AVOID_BUY,RISK,negative,neutral,"Complete lack of trading activity, buyers, and collection items indicates no market liquidity.",854,713,1567,5087,1,grok-4-1-fast
llm_base,malicious_pre_report,17,8_3_0c5597e5_0c5597e5,112,AVOID_BUY,RISK,negative,neutral,"Complete absence of trades, buyers, mints, and collection items shows no market activity.",851,515,1366,4525,1,grok-4-1-fast
llm_base,malicious_pre_report,18,8_3_cc2d4dae_cc2d4dae,111,AVOID_BUY,RISK,negative,neutral,"No market activity, trades, mints, or collection items observed.",851,589,1440,6724,1,grok-4-1-fast
llm_base,malicious_pre_report,19,8_3_c8fd581c_c8fd581c,111,AVOID_BUY,RISK,negative,neutral,"No trading activity, liquidity, or collection items indicates illiquid and risky asset.",851,458,1309,4854,1,grok-4-1-fast
llm_base,malicious_pre_report,20,8_3_0b7e393f_0b7e393f,46,AVOID_BUY,RISK,negative,neutral,"Complete lack of trades, buyers, mints, and collection items indicates no market activity.",854,810,1664,5790,1,grok-4-1-fast
llm_base,malicious_pre_report,21,8_3_e6d00e3b_e6d00e3b,42,AVOID_BUY,RISK,negative,neutral,"Zero trades, buyers, mints, and collection items show complete lack of market activity.",854,573,1427,4626,1,grok-4-1-fast
llm_base,malicious_pre_report,22,8_3_48bcdb6f_48bcdb6f,34,AVOID_BUY,RISK,negative,neutral,"Complete lack of trading activity, volume, buyers, and collection items indicates illiquid and inactive market.",854,569,1423,3275,1,grok-4-1-fast
llm_base,malicious_pre_report,23,8_3_131e924a_131e924a,58,AVOID_BUY,RISK,negative,neutral,"No trades, buyers, or collection items indicate zero liquidity and high risk.",854,825,1679,5830,1,grok-4-1-fast
llm_base,malicious_pre_report,24,8_3_0b7e393f_0b7e393f,46,AVOID_BUY,RISK,negative,neutral,"No trades, buyers, volume, or collection items despite significant gas spend.",854,465,1319,3291,1,grok-4-1-fast
llm_base,malicious_pre_report,25,8_3_c8fd581c_c8fd581c,111,AVOID_BUY,RISK,negative,neutral,"No trades, buyers, or collection items indicate complete lack of market activity.",851,351,1202,2886,1,grok-4-1-fast
llm_base,malicious_pre_report,26,8_3_0205c970_0205c970,42,AVOID_BUY,RISK,negative,neutral,"No market activity, trades, or collection items indicate complete lack of liquidity and interest.",851,568,1419,6515,1,grok-4-1-fast
llm_base,malicious_pre_report,27,8_3_48bcdb6f_48bcdb6f,34,AVOID_BUY,RISK,negative,neutral,"Zero trades, buyers, mints, and collection items indicate no market activity.",854,854,1708,5400,1,grok-4-1-fast
llm_base,malicious_pre_report,28,8_3_fbbeee19_fbbeee19,111,AVOID_BUY,RISK,negative,neutral,"No market activity, trades, volume, or items observed.",851,372,1223,2938,1,grok-4-1-fast
llm_base,malicious_pre_report,29,8_3_cc2d4dae_cc2d4dae,111,AVOID_BUY,RISK,negative,neutral,"Complete absence of market activity, trades, buyers, and collection items.",851,360,1211,3092,1,grok-4-1-fast
llm_base,malicious_pre_report,30,8_3_48bcdb6f_48bcdb6f,34,AVOID_BUY,RISK,negative,neutral,"Complete lack of trading activity, buyers, and collection items indicates no market liquidity.",854,675,1529,5020,1,grok-4-1-fast
llm_base,malicious_pre_report,31,8_3_f9da1642_f9da1642,35,AVOID_BUY,RISK,negative,neutral,"No trades, buyers, mints, or collection items despite high gas spend indicates dormant or failed market.",854,728,1582,5880,1,grok-4-1-fast
llm_base,malicious_pre_report,32,8_3_88efddb0_88efddb0,111,AVOID_BUY,RISK,negative,neutral,"Complete absence of market activity, trades, mints, and collection items indicates high illiquidity risk.",851,494,1345,4234,1,grok-4-1-fast
llm_base,malicious_pre_report,33,8_3_fc7440a4_fc7440a4,111,AVOID_BUY,RISK,negative,neutral,"No market activity, trades, or collection items observed.",851,353,1204,3109,1,grok-4-1-fast
llm_base,malicious_pre_report,34,8_3_fc7440a4_fc7440a4,111,AVOID_BUY,RISK,negative,neutral,"Zero trades, buyers, mints, and collection items indicate no market activity or liquidity.",851,568,1419,4767,1,grok-4-1-fast
llm_base,malicious_pre_report,35,8_3_288462f5_288462f5,113,AVOID_BUY,RISK,negative,neutral,"No market activity, trades, buyers, or collection items observed.",851,408,1259,3841,1,grok-4-1-fast
llm_base,malicious_pre_report,36,8_3_85cfd3cf_85cfd3cf,42,AVOID_BUY,RISK,negative,neutral,"Zero trades, buyers, mints, and collection items indicate no market activity or liquidity.",851,530,1381,4316,1,grok-4-1-fast
