decision_mode,model_name,sample_group,sample_idx,contract_id,collection_type,snapshot_idx,lead_windows_to_detect,risk_label,market_view,reputation_view,decision,confidence,reason,prompt_tokens,completion_tokens,total_tokens,latency_ms,parse_success
llm_rank_mini,deepseek-v3.2,malicious_pre_report,0,8_3_155ecac8_155ecac8,rugpull,119,0.0,NO_RISK,neutral,positive,ALLOW_BUY,0.8,Positive reputation outweighs neutral market data.,729,52,781,4715,1
llm_rank_mini,deepseek-v3.2,malicious_pre_report,1,8_3_c5371723_c5371723,rugpull,113,0.3432672424279285,NO_RISK,neutral,neutral,ALLOW_BUY,0.7,"Market data is absent and reputation is average, indicating no strong risk signals.",729,59,788,5006,1
llm_rank_mini,deepseek-v3.2,malicious_pre_report,2,8_3_74547805_74547805,rugpull,34,0.850606171187609,NO_RISK,neutral,negative,ALLOW_BUY,0.6,"Market evidence is absent, but low reputation alone does not force a risk judgment.",729,61,790,5128,1
llm_rank_mini,deepseek-v3.2,malicious_pre_report,3,8_3_4362e588_4362e588,rugpull,42,0.4617240400600089,NO_RISK,neutral,neutral,ALLOW_BUY,0.7,Market data is absent and reputation is average with no sustained low credibility.,729,58,787,5322,1
llm_rank_mini,deepseek-v3.2,malicious_pre_report,4,8_3_162d44f0_162d44f0,rugpull,52,0.6063131005960345,NO_RISK,neutral,neutral,ALLOW_BUY,0.6,"Market data is absent and reputation is average, indicating no strong risk signals.",729,59,788,5219,1
llm_rank_mini,deepseek-v3.2,malicious_pre_report,5,8_3_c8fd581c_c8fd581c,rugpull,111,0.4452621335603941,RISK,neutral,negative,AVOID_BUY,0.7,Low long-term credibility and no positive market signal.,730,52,782,4609,1
llm_rank_mini,deepseek-v3.2,malicious_pre_report,6,8_3_155ecac8_155ecac8,rugpull,119,0.0,NO_RISK,neutral,neutral,ALLOW_BUY,0.7,Market data is absent and reputation is average.,729,53,782,5036,1
llm_rank_mini,deepseek-v3.2,malicious_pre_report,7,8_3_fbbeee19_fbbeee19,rugpull,111,0.3473827190528322,NO_RISK,neutral,neutral,ALLOW_BUY,0.6,"Market data is absent and reputation is moderate, showing no strong risk signals.",729,59,788,4957,1
llm_rank_mini,deepseek-v3.2,malicious_pre_report,8,8_3_c1e13c80_c1e13c80,rugpull,112,0.3817256619227182,NO_RISK,neutral,positive,ALLOW_BUY,0.85,Strong reputation outweighs neutral market data.,729,52,781,4493,1
llm_rank_mini,deepseek-v3.2,malicious_pre_report,9,8_3_cff377d0_cff377d0,rugpull,45,0.0606982118963629,RISK,neutral,negative,AVOID_BUY,0.7,Persistent low credibility outweighs neutral market data.,730,52,782,4672,1
