"contract_id","snapshot_idx","rep_rank_pct","low_rep_streak","mode","decision","risk_label","market_view","reputation_view","confidence","prompt_tokens","completion_tokens","total_tokens","latency_ms","reason"
"8_3_0205c970_0205c970","42","0.666666666666667","0","llm_base","AVOID_BUY","RISK","negative","neutral","0.7","751","55","806","5000","No market activity and no collection items indicate a negative market view."
"8_3_0205c970_0205c970","42","0.666666666666667","0","llm_base_rank","AVOID_BUY","RISK","negative","negative","0.8","891","53","944","4883","Both market inactivity and low credibility indicate high risk."
"8_3_0205c970_0205c970","42","0.666666666666667","0","llm_base_rank_compact","AVOID_BUY","RISK","neutral","negative","0.6","818","54","872","4271","Persistent low credibility without positive market signals to offset it."
"8_3_0205c970_0205c970","42","0.666666666666667","0","llm_base_rank_mini","AVOID_BUY","RISK","neutral","negative","0.65","792","53","845","4837","Persistent low credibility outweighs neutral market evidence."
"8_3_0b7e393f_0b7e393f","46","0.5","0","llm_base","AVOID_BUY","RISK","negative","neutral","0.7","754","54","808","5366","No market activity and zero collection items indicate high risk."
"8_3_0b7e393f_0b7e393f","46","0.5","0","llm_base_rank","AVOID_BUY","RISK","negative","neutral","0.7","894","63","957","5000","No market activity and high gas costs indicate negative market, while neutral reputation does not offset this risk."
"8_3_0b7e393f_0b7e393f","46","0.5","0","llm_base_rank_compact","ALLOW_BUY","NO_RISK","neutral","neutral","0.7","818","57","875","4783","Both market and reputation signals are neutral, indicating no clear risk."
"8_3_0b7e393f_0b7e393f","46","0.5","0","llm_base_rank_mini","ALLOW_BUY","NO_RISK","neutral","neutral","0.7","792","57","849","5045","Both market and reputation signals are neutral, indicating no clear risk."
"8_3_0c5597e5_0c5597e5","112","0.873684210526316","31","llm_base","AVOID_BUY","RISK","negative","neutral","0.7","751","54","805","4189","No market activity and zero collection size indicate high risk."
"8_3_0c5597e5_0c5597e5","112","0.873684210526316","31","llm_base_rank","AVOID_BUY","RISK","negative","negative","0.85","891","53","944","4778","Both market inactivity and persistent low credibility indicate high risk."
"8_3_0c5597e5_0c5597e5","112","0.873684210526316","31","llm_base_rank_compact","AVOID_BUY","RISK","neutral","negative","0.7","818","62","880","4960","Persistent low credibility is a strong negative signal, and market evidence is too weak to offset it."
"8_3_0c5597e5_0c5597e5","112","0.873684210526316","31","llm_base_rank_mini","AVOID_BUY","RISK","neutral","negative","0.7","792","52","844","5255","Persistent low credibility outweighs neutral market signals."
"8_3_0d99cc92_0d99cc92","71","0.682926829268293","0","llm_base","AVOID_BUY","RISK","negative","neutral","0.7","754","54","808","5048","No market activity and zero collection size indicate high risk."
"8_3_0d99cc92_0d99cc92","71","0.682926829268293","0","llm_base_rank","AVOID_BUY","RISK","negative","negative","0.8","894","53","947","4400","Both market inactivity and low credibility indicate high risk."
"8_3_0d99cc92_0d99cc92","71","0.682926829268293","0","llm_base_rank_compact","AVOID_BUY","RISK","neutral","negative","0.6","818","52","870","5831","Persistent low credibility outweighs neutral market signals."
"8_3_0d99cc92_0d99cc92","71","0.682926829268293","0","llm_base_rank_mini","AVOID_BUY","RISK","neutral","negative","0.6","792","52","844","4900","Persistent low credibility outweighs neutral market signal."
"8_3_12239e85_12239e85","111","0.684210526315789","0","llm_base","AVOID_BUY","RISK","negative","neutral","0.7","751","54","805","4349","No market activity and zero collection size indicate high risk."
"8_3_12239e85_12239e85","111","0.684210526315789","0","llm_base_rank","AVOID_BUY","RISK","negative","negative","0.8","891","52","943","5016","Both market inactivity and low credibility indicate high risk."
"8_3_12239e85_12239e85","111","0.684210526315789","0","llm_base_rank_compact","AVOID_BUY","RISK","neutral","negative","0.6","818","54","872","5175","Persistent low credibility without positive market signals to offset it."
"8_3_12239e85_12239e85","111","0.684210526315789","0","llm_base_rank_mini","AVOID_BUY","RISK","neutral","negative","0.6","792","54","846","5083","Negative reputation evidence with neutral market signals indicates meaningful risk."
"8_3_131e924a_131e924a","58","0.96","18","llm_base","ALLOW_BUY","NO_RISK","neutral","neutral","0.7","754","60","814","6706","No market activity and no reputation data indicates a neutral, low-information state."
"8_3_131e924a_131e924a","58","0.96","18","llm_base_rank","AVOID_BUY","RISK","negative","negative","0.9","894","53","947","4880","Both market inactivity and persistently low credibility indicate high risk."
"8_3_131e924a_131e924a","58","0.96","18","llm_base_rank_compact","AVOID_BUY","RISK","neutral","negative","0.8","818","59","877","4717","Persistent low credibility is a strong negative signal while market data is inconclusive."
"8_3_131e924a_131e924a","58","0.96","18","llm_base_rank_mini","AVOID_BUY","RISK","neutral","negative","0.75","792","62","854","4831","Persistent low credibility is a strong negative signal, and market evidence is not positive to offset it."
"8_3_155ecac8_155ecac8","119","0.378947368421053","0","llm_base","AVOID_BUY","RISK","negative","neutral","0.7","754","54","808","4669","No market activity and zero collection items indicate high risk."
"8_3_155ecac8_155ecac8","119","0.378947368421053","0","llm_base_rank","AVOID_BUY","RISK","negative","neutral","0.7","894","55","949","5148","No market activity and a neutral reputation signal indicate a risky asset."
"8_3_155ecac8_155ecac8","119","0.378947368421053","0","llm_base_rank_compact","ALLOW_BUY","NO_RISK","neutral","neutral","0.7","818","58","876","5240","Market data is absent and reputation is average with no persistent low streak."
"8_3_155ecac8_155ecac8","119","0.378947368421053","0","llm_base_rank_mini","ALLOW_BUY","NO_RISK","neutral","neutral","0.6","792","57","849","4888","Both market and reputation signals are neutral, indicating no clear risk."
"8_3_162d44f0_162d44f0","52","0.484375","0","llm_base","AVOID_BUY","RISK","negative","neutral","0.7","754","54","808","5370","No market activity and zero collection size indicate high risk."
"8_3_162d44f0_162d44f0","52","0.484375","0","llm_base_rank","AVOID_BUY","RISK","negative","neutral","0.6","894","57","951","5001","No market activity and neutral reputation indicate a risky, illiquid asset."
"8_3_162d44f0_162d44f0","52","0.484375","0","llm_base_rank_compact","ALLOW_BUY","NO_RISK","neutral","neutral","0.8","818","57","875","5356","Both market and reputation signals are neutral, indicating no clear risk."
