"bucket","contract_id","snapshot_idx","collection_type","rep_rank_pct","low_rep_streak","mode","model_name","decision","risk_label","market_view","reputation_view","confidence","prompt_tokens","completion_tokens","total_tokens","latency_ms","reason"
"risk","8_3_0205c970_0205c970","42","rugpull","0.666666666666667","0","llm_base","claude-haiku-4-5-20251001","AVOID_BUY","RISK","negative","neutral","0.85","813","87","900","2958","Complete absence of market activity (zero trades, zero buyers, zero mints, zero collection items) indicates a dead or non-functional contract."
"risk","8_3_0205c970_0205c970","42","rugpull","0.666666666666667","0","llm_base_rank","claude-haiku-4-5-20251001","AVOID_BUY","RISK","negative","negative","0.85","977","83","1060","3064","Zero market activity combined with below-median credibility (33rd percentile) creates a dual negative signal indicating meaningful risk."
"risk","8_3_0205c970_0205c970","42","rugpull","0.666666666666667","0","llm_base_rank_compact","claude-haiku-4-5-20251001","AVOID_BUY","RISK","neutral","negative","0.72","893","104","997","2677","Reputation credibility at 33rd percentile indicates below-average long-term trustworthiness; with neutral market evidence and no offsetting positive signals, the low credibility warrants risk classification for a flat position."
"risk","8_3_0205c970_0205c970","42","rugpull","0.666666666666667","0","llm_base_rank_mini","claude-haiku-4-5-20251001","AVOID_BUY","RISK","neutral","negative","0.72","859","99","958","1899","Credibility percentile of 33/100 signals below-average long-term reputation risk; with neutral market evidence and no offsetting positive signals, reputation-side risk dominates the decision."
"risk","8_3_0b7e393f_0b7e393f","46","rugpull","0.5","0","llm_base","claude-haiku-4-5-20251001","AVOID_BUY","RISK","negative","neutral","0.75","816","84","900","1848","Zero trading activity with significant gas expenditure suggests contract dysfunction or abandonment; flat position with no market liquidity presents meaningful risk."
"risk","8_3_0b7e393f_0b7e393f","46","rugpull","0.5","0","llm_base_rank","claude-haiku-4-5-20251001","AVOID_BUY","RISK","negative","neutral","0.72","980","87","1067","2535","Zero trading activity with significant gas expenditure and no collection items suggests contract dysfunction or abandonment; neutral reputation does not offset clear market deterioration."
"risk","8_3_0b7e393f_0b7e393f","46","rugpull","0.5","0","llm_base_rank_compact","claude-haiku-4-5-20251001","ALLOW_BUY","NO_RISK","neutral","negative","0.65","893","110","1003","2745","Market evidence is entirely absent (no price or trade data), making it neutral; reputation is at median credibility (50th percentile) with no persistent low-reputation streak, so reputation signal is weak and does not override the neutral market baseline."
"risk","8_3_0b7e393f_0b7e393f","46","rugpull","0.5","0","llm_base_rank_mini","claude-haiku-4-5-20251001","ALLOW_BUY","NO_RISK","neutral","negative","0.65","859","106","965","2146","Market evidence is absent (null price change), making it neutral; reputation is at median credibility (50th percentile) with no persistent low-reputation streak, so reputation signal is weak and does not override neutral market evidence."
"risk","8_3_0c5597e5_0c5597e5","112","rugpull","0.873684210526316","31","llm_base","claude-haiku-4-5-20251001","AVOID_BUY","RISK","negative","neutral","0.85","813","87","900","1659","Complete absence of market activity (zero trades, zero buyers, zero mints, zero collection items) indicates a dead or non-functional contract."
"risk","8_3_0c5597e5_0c5597e5","112","rugpull","0.873684210526316","31","llm_base_rank","claude-haiku-4-5-20251001","AVOID_BUY","RISK","negative","negative","0.95","977","91","1068","2352","Zero market activity combined with persistently low credibility (13th percentile, 31-window streak) indicates both acute market failure and chronic reputation deterioration."
