decision_mode,sample_group,sample_idx,contract_id,snapshot_idx,decision,risk_label,market_view,reputation_view,reason,prompt_tokens,completion_tokens,total_tokens,latency_ms,parse_success,model_name
llm_base_rank_mini,malicious_pre_report,0,8_3_155ecac8_155ecac8,119,ALLOW_BUY,NO_RISK,neutral,neutral,Null market data and neutral credibility with no low-rep streak indicate no meaningful risk.,903,717,1620,7057,1,grok-4-1-fast
llm_base_rank_mini,malicious_pre_report,1,8_3_c5371723_c5371723,113,ALLOW_BUY,NO_RISK,neutral,neutral,No market data available and reputation is mediocre without persistence.,903,495,1398,4523,1,grok-4-1-fast
llm_base_rank_mini,malicious_pre_report,2,8_3_74547805_74547805,34,ALLOW_BUY,NO_RISK,neutral,negative,Reputation low but not persistent (streak 0) and market evidence absent warrant avoiding false alarm.,903,1474,2377,12224,1,grok-4-1-fast
llm_base_rank_mini,malicious_pre_report,3,8_3_4362e588_4362e588,42,ALLOW_BUY,NO_RISK,neutral,neutral,Null market data and mediocre non-persistent reputation yield neutral evidence on both sides.,903,446,1349,3861,1,grok-4-1-fast
llm_base_rank_mini,malicious_pre_report,4,8_3_162d44f0_162d44f0,52,ALLOW_BUY,NO_RISK,neutral,neutral,Both market and reputation evidence are neutral with no negative signals.,903,526,1429,4576,1,grok-4-1-fast
llm_base_rank_mini,malicious_pre_report,5,8_3_c8fd581c_c8fd581c,111,AVOID_BUY,RISK,neutral,negative,Persistent low credibility streak with neutral market evidence indicates meaningful reputation risk.,903,283,1186,2662,1,grok-4-1-fast
llm_base_rank_mini,malicious_pre_report,6,8_3_155ecac8_155ecac8,119,ALLOW_BUY,NO_RISK,neutral,neutral,No market data available and reputation is neutral with no low-reputation streak.,903,365,1268,3603,1,grok-4-1-fast
llm_base_rank_mini,malicious_pre_report,7,8_3_fbbeee19_fbbeee19,111,ALLOW_BUY,NO_RISK,neutral,neutral,No market data available and reputation shows low but non-persistent credibility.,903,721,1624,5344,1,grok-4-1-fast
llm_base_rank_mini,malicious_pre_report,8,8_3_c1e13c80_c1e13c80,112,ALLOW_BUY,NO_RISK,neutral,positive,Neutral market evidence offset by solid reputation percentile.,903,507,1410,4113,1,grok-4-1-fast
llm_base_rank_mini,malicious_pre_report,9,8_3_cff377d0_cff377d0,45,AVOID_BUY,RISK,neutral,negative,Persistent low credibility streak of 20 windows strongly signals reputation risk with neutral market evidence.,903,380,1283,3144,1,grok-4-1-fast
llm_base_rank_mini,malicious_pre_report,10,8_3_4362e588_4362e588,42,ALLOW_BUY,NO_RISK,neutral,neutral,Both market evidence (null price change) and reputation evidence (53/100 credibility with no low-reputation streak) are neutral.,903,645,1548,5241,1,grok-4-1-fast
llm_base_rank_mini,malicious_pre_report,11,8_3_4362e588_4362e588,42,ALLOW_BUY,NO_RISK,neutral,neutral,No market data and mediocre non-persistent reputation yield neutral evidence overall.,903,480,1383,4304,1,grok-4-1-fast
llm_base_rank_mini,malicious_pre_report,12,8_3_e6d00e3b_e6d00e3b,42,AVOID_BUY,RISK,neutral,negative,Low reputation credibility (32/100) with neutral market evidence signals risk.,903,829,1732,6389,1,grok-4-1-fast
llm_base_rank_mini,malicious_pre_report,13,8_3_c8fd581c_c8fd581c,111,AVOID_BUY,RISK,neutral,negative,Persistent low credibility (6/100 over 91 windows) with neutral market evidence.,903,405,1308,3222,1,grok-4-1-fast
llm_base_rank_mini,malicious_pre_report,14,8_3_0d99cc92_0d99cc92,71,AVOID_BUY,RISK,neutral,negative,Low TRep credibility percentile with neutral market evidence warrants risk.,903,622,1525,5649,1,grok-4-1-fast
llm_base_rank_mini,malicious_pre_report,15,8_3_162d44f0_162d44f0,52,ALLOW_BUY,NO_RISK,neutral,neutral,Both evidence groups are neutral with no negative signals.,903,652,1555,5158,1,grok-4-1-fast
llm_base_rank_mini,malicious_pre_report,16,8_3_e6d00e3b_e6d00e3b,42,ALLOW_BUY,NO_RISK,neutral,neutral,No market data and low reputation not persistent with zero streak.,903,1471,2374,13965,1,grok-4-1-fast
