decision_mode,model_name,sample_group,sample_idx,contract_id,collection_type,snapshot_idx,lead_windows_to_detect,decision,confidence,reason,prompt_tokens,completion_tokens,total_tokens,latency_ms,parse_success
llm_rank_mini,gemini-3-flash-preview,malicious_pre_report,0,8_3_155ecac8_155ecac8,rugpull,119,0.0,ALLOW_BUY,0.9,Reputation is above average and there are no negative market signals to justify avoiding the purchase.,839,306,1145,6925,1
llm_rank_mini,gemini-3-flash-preview,malicious_pre_report,1,8_3_c5371723_c5371723,rugpull,113,0.3432672424279285,ALLOW_BUY,0.8,"Market evidence is missing and reputation is near the median, providing no strong reason to avoid buying.",839,366,1205,5666,1
llm_rank_mini,gemini-3-flash-preview,malicious_pre_report,2,8_3_74547805_74547805,rugpull,34,0.850606171187609,ALLOW_BUY,0.51,reputation is not in a persistent low-trust state and baseline buying remains allowed,839,386,1225,5581,0
llm_rank_mini,gemini-3-flash-preview,malicious_pre_report,3,8_3_4362e588_4362e588,rugpull,42,0.4617240400600089,ALLOW_BUY,0.51,reputation is not in a persistent low-trust state and baseline buying remains allowed,839,384,1223,4673,0
llm_rank_mini,gemini-3-flash-preview,malicious_pre_report,4,8_3_162d44f0_162d44f0,rugpull,52,0.6063131005960345,ALLOW_BUY,0.8,"Market evidence is missing and reputation is average, defaulting to allow buy for a flat position.",839,360,1199,4832,1
llm_rank_mini,gemini-3-flash-preview,malicious_pre_report,5,8_3_c8fd581c_c8fd581c,rugpull,111,0.4452621335603941,AVOID_BUY,0.85,Sustained extremely low reputation percentile indicates significant risk despite missing market data.,840,372,1212,4776,1
llm_rank_mini,gemini-3-flash-preview,malicious_pre_report,6,8_3_155ecac8_155ecac8,rugpull,119,0.0,ALLOW_BUY,0.9,Reputation is above average and there are no negative market signals to justify avoiding the purchase.,839,306,1145,4630,1
llm_rank_mini,gemini-3-flash-preview,malicious_pre_report,7,8_3_fbbeee19_fbbeee19,rugpull,111,0.3473827190528322,ALLOW_BUY,0.51,reputation is not in a persistent low-trust state and baseline buying remains allowed,839,386,1225,5343,0
llm_rank_mini,gemini-3-flash-preview,malicious_pre_report,8,8_3_c1e13c80_c1e13c80,rugpull,112,0.3817256619227182,ALLOW_BUY,0.51,reputation is not in a persistent low-trust state and baseline buying remains allowed,839,381,1220,4807,0
llm_rank_mini,gemini-3-flash-preview,malicious_pre_report,9,8_3_cff377d0_cff377d0,rugpull,45,0.0606982118963629,AVOID_BUY,0.85,Extremely low and persistent reputation percentile combined with a lack of positive market data indicates elevated risk.,840,339,1179,4293,1
llm_rank_mini,gemini-3-flash-preview,malicious_pre_report,10,8_3_4362e588_4362e588,rugpull,42,0.4617240400600089,ALLOW_BUY,0.51,reputation is not in a persistent low-trust state and baseline buying remains allowed,839,384,1223,5096,0
llm_rank_mini,gemini-3-flash-preview,malicious_pre_report,11,8_3_4362e588_4362e588,rugpull,42,0.4617240400600089,ALLOW_BUY,0.51,reputation is not in a persistent low-trust state and baseline buying remains allowed,839,384,1223,5365,0
llm_rank_mini,gemini-3-flash-preview,malicious_pre_report,12,8_3_e6d00e3b_e6d00e3b,rugpull,42,0.411426022787171,ALLOW_BUY,0.51,reputation is not in a persistent low-trust state and baseline buying remains allowed,839,385,1224,5083,0
llm_rank_mini,gemini-3-flash-preview,malicious_pre_report,13,8_3_c8fd581c_c8fd581c,rugpull,111,0.4452621335603941,AVOID_BUY,0.85,Sustained extremely low reputation percentile indicates significant risk despite missing market data.,840,372,1212,5211,1
llm_rank_mini,gemini-3-flash-preview,malicious_pre_report,14,8_3_0d99cc92_0d99cc92,rugpull,71,0.3651015691521713,ALLOW_BUY,0.51,reputation is not in a persistent low-trust state and baseline buying remains allowed,839,385,1224,5120,0
