decision_mode,model_name,sample_group,sample_idx,contract_id,collection_type,snapshot_idx,lead_windows_to_detect,decision,confidence,reason,prompt_tokens,completion_tokens,total_tokens,latency_ms,parse_success
llm_rank_compact,claude-sonnet-4-6,malicious_pre_report,0,8_3_155ecac8_155ecac8,rugpull,119,0.0,ALLOW_BUY,0.5,"No market data is available and reputation is moderate with no persistent low-credibility pattern, so neither evidence group is negative and the default non-risk action applies.",937,88,1025,3549,1
llm_rank_compact,claude-sonnet-4-6,malicious_pre_report,1,8_3_c5371723_c5371723,rugpull,113,0.3432672424279285,ALLOW_BUY,0.5,"All market data is null and reputation is mid-range without sustained low-credibility signals, so neither evidence group is negative and the default non-risk action applies.",937,89,1026,9040,1
llm_rank_compact,claude-sonnet-4-6,malicious_pre_report,2,8_3_74547805_74547805,rugpull,34,0.850606171187609,ALLOW_BUY,0.5,"Market evidence is entirely absent (neutral), and while reputation is low at the 23rd percentile, it has not persistently stayed in a low-reputation region, so one negative signal alone is insufficient to trigger AVOID_BUY.",937,110,1047,6153,1
llm_rank_compact,claude-sonnet-4-6,malicious_pre_report,3,8_3_4362e588_4362e588,rugpull,42,0.4617240400600089,ALLOW_BUY,0.5,"Both market and reputation evidence are neutral with no strong risk signals, so the default non-risk action applies.",937,77,1014,4966,1
llm_rank_compact,claude-sonnet-4-6,malicious_pre_report,4,8_3_162d44f0_162d44f0,rugpull,52,0.6063131005960345,ALLOW_BUY,0.5,"Both market and reputation evidence are neutral with no strong risk signals, so the default non-risk action applies.",937,77,1014,2555,1
llm_rank_compact,claude-sonnet-4-6,malicious_pre_report,5,8_3_c8fd581c_c8fd581c,rugpull,111,0.4452621335603941,AVOID_BUY,0.72,"Reputation is clearly negative with a credibility percentile of 6/100 sustained over 91 consecutive windows, and market evidence is neutral (no data), satisfying the condition for AVOID_BUY when one group is clearly negative and the other is at least neutral.",939,119,1058,3192,1
llm_rank_compact,claude-sonnet-4-6,malicious_pre_report,6,8_3_155ecac8_155ecac8,rugpull,119,0.0,ALLOW_BUY,0.5,"No market data is available and reputation is moderate with no sustained low-credibility pattern, so neither evidence group is negative and the default non-risk action applies.",937,88,1025,34973,1
llm_rank_compact,claude-sonnet-4-6,malicious_pre_report,7,8_3_fbbeee19_fbbeee19,rugpull,111,0.3473827190528322,ALLOW_BUY,0.5,"Market evidence is entirely absent and reputation is below median but not persistently low, leaving no consistent negative signals to justify avoiding a purchase.",937,87,1024,11628,1
llm_rank_compact,claude-sonnet-4-6,malicious_pre_report,8,8_3_c1e13c80_c1e13c80,rugpull,112,0.3817256619227182,ALLOW_BUY,0.6,"Market evidence is absent making it neutral, while reputation is above average at 71st percentile with no sustained low-reputation history, supporting a default ALLOW_BUY for a flat position.",937,96,1033,9104,1
llm_rank_compact,claude-sonnet-4-6,malicious_pre_report,9,8_3_cff377d0_cff377d0,rugpull,45,0.0606982118963629,AVOID_BUY,0.65,"Reputation is clearly negative with a credibility percentile of 5/100 sustained over 20 consecutive windows, and market evidence is neutral (all null), satisfying the condition where one group is clearly negative and the other is at least neutral.",939,112,1051,3377,1
llm_rank_compact,claude-sonnet-4-6,malicious_pre_report,10,8_3_4362e588_4362e588,rugpull,42,0.4617240400600089,ALLOW_BUY,0.5,"Both market and reputation evidence are neutral with no strong risk signals, so the default non-risk action applies.",937,77,1014,4039,1
llm_rank_compact,claude-sonnet-4-6,malicious_pre_report,11,8_3_4362e588_4362e588,rugpull,42,0.4617240400600089,ALLOW_BUY,0.5,"Both market and reputation evidence are neutral with no strong risk signals, so buying is allowed by default.",937,75,1012,25062,1
llm_rank_compact,claude-sonnet-4-6,malicious_pre_report,12,8_3_e6d00e3b_e6d00e3b,rugpull,42,0.411426022787171,ALLOW_BUY,0.5,"Market evidence is entirely absent and reputation is below median but not persistently low, leaving both groups neutral and defaulting to ALLOW_BUY.",937,86,1023,4041,1
llm_rank_compact,claude-sonnet-4-6,malicious_pre_report,13,8_3_c8fd581c_c8fd581c,rugpull,111,0.4452621335603941,AVOID_BUY,0.72,"Reputation is clearly negative with a credibility percentile of 6/100 sustained over 91 consecutive windows, and market evidence is neutral (no data), satisfying the condition for AVOID_BUY when one group is clearly negative and the other is at least neutral.",939,119,1058,7117,1
llm_rank_compact,claude-sonnet-4-6,malicious_pre_report,14,8_3_0d99cc92_0d99cc92,rugpull,71,0.3651015691521713,ALLOW_BUY,0.5,"Market evidence is entirely absent and reputation is below median but not persistently low, leaving both groups neutral and defaulting to ALLOW_BUY.",937,91,1028,6874,1
llm_rank_compact,claude-sonnet-4-6,malicious_pre_report,15,8_3_162d44f0_162d44f0,rugpull,52,0.6063131005960345,ALLOW_BUY,0.5,"Both market and reputation evidence are neutral with no strong risk signals, so the default non-risk action applies.",937,77,1014,5607,1
llm_rank_compact,claude-sonnet-4-6,malicious_pre_report,16,8_3_e6d00e3b_e6d00e3b,rugpull,42,0.411426022787171,ALLOW_BUY,0.5,"Market evidence is entirely absent and reputation is below median but not persistently low, leaving both groups neutral and defaulting to ALLOW_BUY.",937,86,1023,6747,1
llm_rank_compact,claude-sonnet-4-6,malicious_pre_report,17,8_3_0c5597e5_0c5597e5,rugpull,112,0.3810971901228561,AVOID_BUY,0.65,"Reputation is clearly negative with a very low credibility percentile (13/100) sustained over 31 consecutive windows, and market evidence is neutral (all null), satisfying the condition where one group is clearly negative and the other is at least neutral.",939,113,1052,30650,1
llm_rank_compact,claude-sonnet-4-6,malicious_pre_report,18,8_3_cc2d4dae_cc2d4dae,rugpull,111,0.3519644812066658,ALLOW_BUY,0.5,"Both market and reputation evidence are neutral with no strong risk signals, so buying is allowed by default.",937,75,1012,18604,1
llm_rank_compact,claude-sonnet-4-6,malicious_pre_report,19,8_3_c8fd581c_c8fd581c,rugpull,111,0.4452621335603941,AVOID_BUY,0.72,"Reputation is clearly negative with a credibility percentile of 6/100 sustained over 91 consecutive windows, and market evidence is neutral (no data), satisfying the condition for AVOID_BUY when one group is clearly negative and the other is at least neutral.",939,119,1058,7161,1
llm_rank_compact,claude-sonnet-4-6,malicious_pre_report,20,8_3_0b7e393f_0b7e393f,rugpull,46,0.7842314398086202,ALLOW_BUY,0.5,"Both market and reputation evidence are neutral with no strong negative signals, so the default non-risk action applies.",937,77,1014,14962,1
llm_rank_compact,claude-sonnet-4-6,malicious_pre_report,21,8_3_e6d00e3b_e6d00e3b,rugpull,42,0.411426022787171,ALLOW_BUY,0.5,"Market evidence is entirely absent and reputation is below median but not persistently low, leaving both groups neutral and defaulting to ALLOW_BUY.",937,86,1023,4674,1
llm_rank_compact,claude-sonnet-4-6,malicious_pre_report,22,8_3_48bcdb6f_48bcdb6f,rugpull,34,0.8414629201638081,ALLOW_BUY,0.45,"Market evidence is entirely absent (neutral), and while reputation is low at the 8th percentile, the rules require one group to be clearly negative and the other at least neutral to trigger AVOID_BUY; with only one consecutive low-reputation window and no corroborating market signals, the default ALLOW_BUY applies.",939,132,1071,3675,1
llm_rank_compact,claude-sonnet-4-6,malicious_pre_report,23,8_3_131e924a_131e924a,rugpull,58,0.5309978510319101,AVOID_BUY,0.72,"Reputation is clearly negative with a credibility percentile of 4/100 sustained over 18 consecutive windows, and market evidence is neutral (all null), satisfying the condition where one group is clearly negative and the other is at least neutral.",939,112,1051,6658,1
llm_rank_compact,claude-sonnet-4-6,malicious_pre_report,24,8_3_0b7e393f_0b7e393f,rugpull,46,0.7842314398086202,ALLOW_BUY,0.5,"Both market and reputation evidence are neutral with no strong negative signals, so the default non-risk action applies.",937,77,1014,2470,1
llm_rank_compact,claude-sonnet-4-6,malicious_pre_report,25,8_3_c8fd581c_c8fd581c,rugpull,111,0.4452621335603941,AVOID_BUY,0.72,"Reputation is clearly negative with a credibility percentile of 6/100 sustained over 91 consecutive windows, and market evidence is neutral (no data), satisfying the condition for AVOID_BUY when one group is clearly negative and the other is at least neutral.",939,119,1058,31538,1
llm_rank_compact,claude-sonnet-4-6,malicious_pre_report,26,8_3_0205c970_0205c970,rugpull,42,0.2186879130681587,ALLOW_BUY,0.5,"Market evidence is entirely absent and reputation is below median but not persistently low, leaving no consistent negative signals to justify avoiding a purchase.",937,87,1024,13784,1
llm_rank_compact,claude-sonnet-4-6,malicious_pre_report,27,8_3_48bcdb6f_48bcdb6f,rugpull,34,0.8414629201638081,ALLOW_BUY,0.45,"Market evidence is entirely absent (neutral), and while reputation is low at the 8th percentile, a single negative signal without corroborating market evidence is insufficient to trigger AVOID_BUY per the rules.",939,106,1045,7348,1
llm_rank_compact,claude-sonnet-4-6,malicious_pre_report,28,8_3_fbbeee19_fbbeee19,rugpull,111,0.3473827190528322,ALLOW_BUY,0.5,"Market evidence is entirely absent and reputation is below median but not persistently low, leaving no consistent negative signals to justify avoiding a purchase.",937,87,1024,11472,1
llm_rank_compact,claude-sonnet-4-6,malicious_pre_report,29,8_3_cc2d4dae_cc2d4dae,rugpull,111,0.3519644812066658,ALLOW_BUY,0.5,"With no market data available and a mid-range credibility percentile without sustained low-reputation history, neither evidence group is negative, defaulting to ALLOW_BUY.",937,92,1029,16569,1
llm_rank_compact,claude-sonnet-4-6,malicious_pre_report,30,8_3_48bcdb6f_48bcdb6f,rugpull,34,0.8414629201638081,ALLOW_BUY,0.45,"Market evidence is entirely absent (neutral), and while reputation is low at the 8th percentile, the rules require one group to be clearly negative and the other at least neutral to trigger AVOID_BUY; with only one consecutive low-reputation window and no corroborating market signals, the default ALLOW_BUY applies.",939,132,1071,26919,1
llm_rank_compact,claude-sonnet-4-6,malicious_pre_report,31,8_3_f9da1642_f9da1642,rugpull,35,0.7338928759680493,ALLOW_BUY,0.5,"Both market and reputation evidence are neutral with no strong negative signals, so the default non-risk action applies.",937,77,1014,11976,1
llm_rank_compact,claude-sonnet-4-6,malicious_pre_report,32,8_3_88efddb0_88efddb0,rugpull,111,0.4639743745691927,ALLOW_BUY,0.5,"Market evidence is entirely absent and reputation is low but not persistently so, leaving both groups neutral and defaulting to ALLOW_BUY.",937,85,1022,12861,1
llm_rank_compact,claude-sonnet-4-6,malicious_pre_report,33,8_3_fc7440a4_fc7440a4,rugpull,111,0.2300814986011434,ALLOW_BUY,0.5,"No market data is available and reputation is mid-range with no sustained low-credibility pattern, so neither evidence group is negative and the default non-risk action applies.",937,90,1027,4696,1
llm_rank_compact,claude-sonnet-4-6,malicious_pre_report,34,8_3_fc7440a4_fc7440a4,rugpull,111,0.2300814986011434,ALLOW_BUY,0.5,"No market data is available and reputation is mid-range without sustained low-credibility signals, so neither evidence group is negative and the default non-risk action applies.",937,89,1026,2868,1
