contract_id,snapshot_idx,lead_windows_to_detect,rep_rank_pct,low_rep_streak,price_change_vs_prev_window_pct,trade_count_change_vs_prev_window_pct,llm_base_decision,llm_base_risk_label,llm_base_market_view,llm_base_reputation_view,llm_base_reason,llm_rank_decision,llm_rank_risk_label,llm_rank_market_view,llm_rank_reputation_view,llm_rank_reason
8_3_0205c970_0205c970,42,0.2186879130681587,0.6666666666666666,0,,,AVOID_BUY,RISK,negative,neutral,No market activity and no collection items indicate a negative market view.,ALLOW_BUY,NO_RISK,neutral,negative,Low reputation is offset by neutral market evidence and no sustained low-reputation history.
8_3_0b7e393f_0b7e393f,46,0.7842314398086202,0.5,0,,,AVOID_BUY,RISK,negative,neutral,No market activity and zero collection items indicate high risk.,ALLOW_BUY,NO_RISK,neutral,neutral,Both market and reputation evidence are neutral.
8_3_0c5597e5_0c5597e5,112,0.3810971901228561,0.8736842105263158,31,,,ALLOW_BUY,NO_RISK,neutral,neutral,No market activity or reputation data indicates risk.,ALLOW_BUY,NO_RISK,neutral,negative,Low reputation is insufficient to override neutral market evidence.
8_3_0d99cc92_0d99cc92,71,0.3651015691521713,0.6829268292682927,0,,,AVOID_BUY,RISK,negative,neutral,No market activity and zero collection items indicate high risk.,ALLOW_BUY,NO_RISK,neutral,negative,Low reputation is insufficient to override neutral market evidence.
8_3_12239e85_12239e85,111,0.3548027409479787,0.6842105263157895,0,,,ALLOW_BUY,NO_RISK,neutral,neutral,No market activity and no reputation evidence.,ALLOW_BUY,NO_RISK,neutral,negative,Low reputation is offset by neutral market evidence.
8_3_131e924a_131e924a,58,0.5309978510319101,0.96,18,,,ALLOW_BUY,NO_RISK,neutral,neutral,No market activity and no reputation data present.,ALLOW_BUY,NO_RISK,neutral,negative,Low reputation is insufficient for risk without negative market evidence.
8_3_155ecac8_155ecac8,119,0.0,0.3789473684210526,0,,,AVOID_BUY,RISK,negative,neutral,No market activity and zero collection items indicate high risk.,ALLOW_BUY,NO_RISK,neutral,neutral,Reputation is average and there is no negative market evidence.
8_3_162d44f0_162d44f0,52,0.6063131005960345,0.484375,0,,,AVOID_BUY,RISK,negative,neutral,No market activity and zero collection size indicate high risk.,ALLOW_BUY,NO_RISK,neutral,neutral,Both market and reputation evidence are neutral.
8_3_17e89a30_17e89a30,111,0.33935449864169,0.8,2,,,AVOID_BUY,RISK,negative,neutral,No market activity and zero collection size indicate high risk.,ALLOW_BUY,NO_RISK,neutral,negative,Low reputation is insufficient for risk without negative market evidence.
8_3_288462f5_288462f5,113,0.3488829420589547,0.6105263157894737,0,,,AVOID_BUY,RISK,negative,neutral,No market activity and no collection items indicate a negative market view.,ALLOW_BUY,NO_RISK,neutral,negative,Low reputation is insufficient to override neutral market evidence.
