decision_mode,model_name,sample_group,sample_idx,contract_id,collection_type,snapshot_idx,lead_windows_to_detect,risk_label,market_view,reputation_view,decision,confidence,reason,prompt_tokens,completion_tokens,total_tokens,latency_ms,parse_success
llm_rank,deepseek-v3.2,malicious_pre_report,0,8_3_155ecac8_155ecac8,rugpull,119,0.0,NO_RISK,neutral,neutral,ALLOW_BUY,0.7,Both market and reputation evidence are neutral.,713,53,766,4584,1
llm_rank,deepseek-v3.2,malicious_pre_report,1,8_3_c5371723_c5371723,rugpull,113,0.3432672424279285,NO_RISK,neutral,neutral,ALLOW_BUY,0.6,Both market and reputation evidence are neutral.,713,53,766,4548,1
llm_rank,deepseek-v3.2,malicious_pre_report,2,8_3_74547805_74547805,rugpull,34,0.850606171187609,NO_RISK,neutral,negative,ALLOW_BUY,0.6,Market evidence is neutral while reputation is low but not persistently poor.,713,57,770,4828,1
llm_rank,deepseek-v3.2,malicious_pre_report,3,8_3_4362e588_4362e588,rugpull,42,0.4617240400600089,NO_RISK,neutral,neutral,ALLOW_BUY,0.7,Both market and reputation evidence are neutral.,713,53,766,4984,1
llm_rank,deepseek-v3.2,malicious_pre_report,4,8_3_162d44f0_162d44f0,rugpull,52,0.6063131005960345,NO_RISK,neutral,neutral,ALLOW_BUY,0.6,Both market and reputation evidence are neutral.,713,53,766,4624,1
llm_rank,deepseek-v3.2,malicious_pre_report,5,8_3_c8fd581c_c8fd581c,rugpull,111,0.4452621335603941,RISK,neutral,negative,AVOID_BUY,0.7,Persistent low reputation outweighs neutral market evidence.,714,52,766,5362,1
llm_rank,deepseek-v3.2,malicious_pre_report,6,8_3_155ecac8_155ecac8,rugpull,119,0.0,NO_RISK,neutral,neutral,ALLOW_BUY,0.7,Both market and reputation evidence are neutral.,713,53,766,4493,1
llm_rank,deepseek-v3.2,malicious_pre_report,7,8_3_fbbeee19_fbbeee19,rugpull,111,0.3473827190528322,NO_RISK,neutral,negative,ALLOW_BUY,0.6,Low reputation is insufficient to override neutral market evidence.,713,54,767,4594,1
llm_rank,deepseek-v3.2,malicious_pre_report,8,8_3_c1e13c80_c1e13c80,rugpull,112,0.3817256619227182,NO_RISK,neutral,positive,ALLOW_BUY,0.8,Strong reputation outweighs neutral market evidence.,713,52,765,4585,1
llm_rank,deepseek-v3.2,malicious_pre_report,9,8_3_cff377d0_cff377d0,rugpull,45,0.0606982118963629,RISK,neutral,negative,AVOID_BUY,0.7,Persistent low credibility outweighs neutral market conditions.,714,52,766,5005,1
llm_rank,deepseek-v3.2,malicious_pre_report,10,8_3_4362e588_4362e588,rugpull,42,0.4617240400600089,NO_RISK,neutral,neutral,ALLOW_BUY,0.6,Both market and reputation evidence are neutral.,713,53,766,4780,1
llm_rank,deepseek-v3.2,malicious_pre_report,11,8_3_4362e588_4362e588,rugpull,42,0.4617240400600089,NO_RISK,neutral,neutral,ALLOW_BUY,0.6,Both market and reputation evidence are neutral.,713,53,766,4978,1
llm_rank,deepseek-v3.2,malicious_pre_report,12,8_3_e6d00e3b_e6d00e3b,rugpull,42,0.411426022787171,NO_RISK,neutral,negative,ALLOW_BUY,0.6,Low reputation is offset by neutral market evidence.,713,54,767,5739,1
llm_rank,deepseek-v3.2,malicious_pre_report,13,8_3_c8fd581c_c8fd581c,rugpull,111,0.4452621335603941,NO_RISK,neutral,negative,ALLOW_BUY,0.6,Low reputation is insufficient for risk without negative market evidence.,714,55,769,4811,1
llm_rank,deepseek-v3.2,malicious_pre_report,14,8_3_0d99cc92_0d99cc92,rugpull,71,0.3651015691521713,NO_RISK,neutral,negative,ALLOW_BUY,0.6,Low reputation is insufficient to override neutral market evidence.,713,54,767,5474,1
llm_rank,deepseek-v3.2,malicious_pre_report,15,8_3_162d44f0_162d44f0,rugpull,52,0.6063131005960345,NO_RISK,neutral,neutral,ALLOW_BUY,0.6,Both market and reputation evidence are neutral.,713,53,766,4428,1
llm_rank,deepseek-v3.2,malicious_pre_report,16,8_3_e6d00e3b_e6d00e3b,rugpull,42,0.411426022787171,NO_RISK,neutral,negative,ALLOW_BUY,0.6,Low reputation is offset by neutral market evidence.,713,54,767,4874,1
llm_rank,deepseek-v3.2,malicious_pre_report,17,8_3_0c5597e5_0c5597e5,rugpull,112,0.3810971901228561,NO_RISK,neutral,negative,ALLOW_BUY,0.6,Low reputation is insufficient to override neutral market evidence.,714,54,768,6218,1
llm_rank,deepseek-v3.2,malicious_pre_report,18,8_3_cc2d4dae_cc2d4dae,rugpull,111,0.3519644812066658,NO_RISK,neutral,neutral,ALLOW_BUY,0.7,Both market and reputation evidence are neutral.,713,53,766,5048,1
llm_rank,deepseek-v3.2,malicious_pre_report,19,8_3_c8fd581c_c8fd581c,rugpull,111,0.4452621335603941,RISK,neutral,negative,AVOID_BUY,0.7,Persistent low reputation outweighs neutral market signals.,714,52,766,4759,1
llm_rank,deepseek-v3.2,malicious_pre_report,20,8_3_0b7e393f_0b7e393f,rugpull,46,0.7842314398086202,NO_RISK,neutral,neutral,ALLOW_BUY,0.6,Both market and reputation evidence are neutral.,713,53,766,4610,1
llm_rank,deepseek-v3.2,malicious_pre_report,21,8_3_e6d00e3b_e6d00e3b,rugpull,42,0.411426022787171,NO_RISK,neutral,negative,ALLOW_BUY,0.6,Low reputation is offset by neutral market evidence.,713,54,767,4831,1
llm_rank,deepseek-v3.2,malicious_pre_report,22,8_3_48bcdb6f_48bcdb6f,rugpull,34,0.8414629201638081,RISK,neutral,negative,AVOID_BUY,0.7,Low credibility and no positive market evidence to offset the risk.,714,55,769,4732,1
llm_rank,deepseek-v3.2,malicious_pre_report,23,8_3_131e924a_131e924a,rugpull,58,0.5309978510319101,RISK,neutral,negative,AVOID_BUY,0.7,Low long-term credibility with no positive market evidence to offset it.,714,50,764,4366,1
llm_rank,deepseek-v3.2,malicious_pre_report,24,8_3_0b7e393f_0b7e393f,rugpull,46,0.7842314398086202,NO_RISK,neutral,neutral,ALLOW_BUY,0.7,Both market and reputation evidence are neutral.,713,53,766,4455,1
llm_rank,deepseek-v3.2,malicious_pre_report,25,8_3_c8fd581c_c8fd581c,rugpull,111,0.4452621335603941,NO_RISK,neutral,negative,ALLOW_BUY,0.6,Low reputation is insufficient to override neutral market evidence.,714,54,768,5998,1
llm_rank,deepseek-v3.2,malicious_pre_report,26,8_3_0205c970_0205c970,rugpull,42,0.2186879130681587,NO_RISK,neutral,negative,ALLOW_BUY,0.6,Market evidence is neutral while reputation is low but not persistently poor.,713,57,770,4352,1
llm_rank,deepseek-v3.2,malicious_pre_report,27,8_3_48bcdb6f_48bcdb6f,rugpull,34,0.8414629201638081,RISK,neutral,negative,AVOID_BUY,0.6,Low credibility and no positive market evidence to offset it.,714,54,768,5522,1
llm_rank,deepseek-v3.2,malicious_pre_report,28,8_3_fbbeee19_fbbeee19,rugpull,111,0.3473827190528322,NO_RISK,neutral,negative,ALLOW_BUY,0.6,Low reputation is offset by neutral market evidence and no sustained low-reputation history.,713,60,773,6134,1
llm_rank,deepseek-v3.2,malicious_pre_report,29,8_3_cc2d4dae_cc2d4dae,rugpull,111,0.3519644812066658,NO_RISK,neutral,neutral,ALLOW_BUY,0.7,Both market and reputation evidence are neutral.,713,53,766,5136,1
llm_rank,deepseek-v3.2,malicious_pre_report,30,8_3_48bcdb6f_48bcdb6f,rugpull,34,0.8414629201638081,NO_RISK,neutral,negative,ALLOW_BUY,0.6,Low reputation is offset by neutral market evidence.,714,54,768,5076,1
llm_rank,deepseek-v3.2,malicious_pre_report,31,8_3_f9da1642_f9da1642,rugpull,35,0.7338928759680493,NO_RISK,neutral,neutral,ALLOW_BUY,0.7,Both market and reputation evidence are neutral.,713,53,766,7184,1
llm_rank,deepseek-v3.2,malicious_pre_report,32,8_3_88efddb0_88efddb0,rugpull,111,0.4639743745691927,NO_RISK,neutral,negative,ALLOW_BUY,0.6,Low reputation is insufficient to override neutral market evidence.,713,54,767,5220,1
llm_rank,deepseek-v3.2,malicious_pre_report,33,8_3_fc7440a4_fc7440a4,rugpull,111,0.2300814986011434,NO_RISK,neutral,neutral,ALLOW_BUY,0.6,Both market and reputation evidence are neutral.,713,53,766,5216,1
