decision_mode,sample_group,sample_idx,contract_id,snapshot_idx,decision,risk_label,market_view,reputation_view,reason,prompt_tokens,completion_tokens,total_tokens,latency_ms,parse_success,model_name
llm_base_rank,malicious_pre_report,0,8_3_155ecac8_155ecac8,119,AVOID_BUY,RISK,negative,neutral,Zero trading activity with gas costs but no trades or mints indicates a dead or inactive contract; market evidence is clearly negative despite neutral reputation.,980,86,1066,4364,1,claude-haiku-4-5-20251001
llm_base_rank,malicious_pre_report,1,8_3_c5371723_c5371723,113,AVOID_BUY,RISK,negative,negative,Zero market activity combined with below-median credibility (49th percentile) indicates both current illiquidity and long-term trust concerns.,977,87,1064,1726,1,claude-haiku-4-5-20251001
llm_base_rank,malicious_pre_report,2,8_3_74547805_74547805,34,AVOID_BUY,RISK,negative,negative,"Zero trading activity with gas costs but no trades, combined with poor credibility percentile (23/100), indicates both market stagnation and low long-term trustworthiness.",980,96,1076,2784,1,claude-haiku-4-5-20251001
llm_base_rank,malicious_pre_report,3,8_3_4362e588_4362e588,42,AVOID_BUY,RISK,negative,neutral,Zero trading activity with no price data and no collection items despite gas expenditure signals a dead or non-functional contract; market evidence is clearly negative.,980,88,1068,2674,1,claude-haiku-4-5-20251001
llm_base_rank,malicious_pre_report,4,8_3_162d44f0_162d44f0,52,AVOID_BUY,RISK,negative,neutral,Zero trading activity with gas costs but no trades or mints indicates a dead or inactive contract; market evidence is clearly negative despite neutral reputation.,980,86,1066,3235,1,claude-haiku-4-5-20251001
llm_base_rank,malicious_pre_report,5,8_3_c8fd581c_c8fd581c,111,AVOID_BUY,RISK,negative,negative,Zero market activity combined with extremely poor credibility (6th percentile) and persistent 91-window low-reputation streak indicates both acute market failure and chronic trust deterioration.,977,94,1071,2404,1,claude-haiku-4-5-20251001
llm_base_rank,malicious_pre_report,6,8_3_155ecac8_155ecac8,119,AVOID_BUY,RISK,negative,neutral,Zero trading activity with gas costs but no trades or mints indicates a dead or inactive contract; market evidence is clearly negative despite neutral reputation.,980,86,1066,2857,1,claude-haiku-4-5-20251001
llm_base_rank,malicious_pre_report,7,8_3_fbbeee19_fbbeee19,111,AVOID_BUY,RISK,negative,negative,Zero market activity combined with below-median credibility (37th percentile) creates a dual negative signal indicating meaningful risk.,977,83,1060,2497,1,claude-haiku-4-5-20251001
llm_base_rank,malicious_pre_report,8,8_3_c1e13c80_c1e13c80,112,AVOID_BUY,RISK,negative,neutral,"Zero market activity across all metrics indicates a dead or inactive collection; combined with neutral reputation, the absence of any trading signal presents meaningful risk for a flat position.",977,90,1067,2235,1,claude-haiku-4-5-20251001
llm_base_rank,malicious_pre_report,9,8_3_cff377d0_cff377d0,45,AVOID_BUY,RISK,negative,negative,"Complete market collapse (zero trades, zero volume, zero items) combined with persistent severe reputation failure (5th percentile, 20-window streak) indicates a dead or fraudulent contract.",977,97,1074,2101,1,claude-haiku-4-5-20251001
llm_base_rank,malicious_pre_report,10,8_3_4362e588_4362e588,42,AVOID_BUY,RISK,negative,neutral,Zero trading activity with no price data and no collection items despite gas expenditure signals a dead or non-functional contract; market evidence is clearly negative.,980,88,1068,2447,1,claude-haiku-4-5-20251001
llm_base_rank,malicious_pre_report,11,8_3_4362e588_4362e588,42,AVOID_BUY,RISK,negative,neutral,Zero trading activity with no price data and no collection items despite gas expenditure signals a dead or non-functional contract; market evidence is clearly negative.,980,88,1068,2460,1,claude-haiku-4-5-20251001
