decision_mode,model_name,sample_group,sample_idx,contract_id,collection_type,snapshot_idx,lead_windows_to_detect,risk_label,market_view,reputation_view,decision,confidence,reason,prompt_tokens,completion_tokens,total_tokens,latency_ms,parse_success
llm_rank_compact,deepseek-v3.2,malicious_pre_report,0,8_3_155ecac8_155ecac8,rugpull,119,0.0,NO_RISK,neutral,neutral,ALLOW_BUY,0.7,Market data is absent and reputation is average.,755,54,809,5178,1
llm_rank_compact,deepseek-v3.2,malicious_pre_report,1,8_3_c5371723_c5371723,rugpull,113,0.3432672424279285,NO_RISK,neutral,neutral,ALLOW_BUY,0.5,Market data is absent and reputation is average.,755,54,809,5318,1
llm_rank_compact,deepseek-v3.2,malicious_pre_report,2,8_3_74547805_74547805,rugpull,34,0.850606171187609,NO_RISK,neutral,negative,ALLOW_BUY,0.6,"Market evidence is absent, but low reputation alone does not force a risk judgment.",755,61,816,4755,1
llm_rank_compact,deepseek-v3.2,malicious_pre_report,3,8_3_4362e588_4362e588,rugpull,42,0.4617240400600089,NO_RISK,neutral,neutral,ALLOW_BUY,0.5,Market data is absent and reputation is average.,755,54,809,5038,1
llm_rank_compact,deepseek-v3.2,malicious_pre_report,4,8_3_162d44f0_162d44f0,rugpull,52,0.6063131005960345,NO_RISK,neutral,neutral,ALLOW_BUY,0.7,"Market data is absent and reputation is average, indicating no strong risk signals.",755,59,814,4960,1
llm_rank_compact,deepseek-v3.2,malicious_pre_report,5,8_3_c8fd581c_c8fd581c,rugpull,111,0.4452621335603941,NO_RISK,neutral,negative,ALLOW_BUY,0.6,"Market data is absent, but low reputation alone is insufficient for a risk judgment.",756,60,816,5560,1
llm_rank_compact,deepseek-v3.2,malicious_pre_report,6,8_3_155ecac8_155ecac8,rugpull,119,0.0,NO_RISK,neutral,neutral,ALLOW_BUY,0.7,"Market data is absent and reputation is average, indicating no strong risk signals.",755,59,814,5134,1
llm_rank_compact,deepseek-v3.2,malicious_pre_report,7,8_3_fbbeee19_fbbeee19,rugpull,111,0.3473827190528322,NO_RISK,neutral,negative,ALLOW_BUY,0.6,"Market data is absent and reputation is low, but evidence is insufficient for a clear risk case.",755,63,818,5477,1
llm_rank_compact,deepseek-v3.2,malicious_pre_report,8,8_3_c1e13c80_c1e13c80,rugpull,112,0.3817256619227182,NO_RISK,neutral,positive,ALLOW_BUY,0.8,Strong reputation offsets neutral market data.,755,51,806,5093,1
llm_rank_compact,deepseek-v3.2,malicious_pre_report,9,8_3_cff377d0_cff377d0,rugpull,45,0.0606982118963629,RISK,neutral,negative,AVOID_BUY,0.7,Persistent low credibility outweighs absent market data.,756,52,808,4652,1
