model_name,decision_mode,sample_group,contract_id,snapshot_idx,decision,risk_label,market_view,reputation_view,myresaon,human_label,reason,automated_claim_check_status,automated_claim_flags,prompt_rule_expected_risk_label,prompt_rule_consistent,archived_rep_rank_pct,archived_low_rep_streak,historical_input_scope,current_panel_alignment,current_panel_window_last_trade_price_usd,current_panel_window_trade_count,current_panel_window_trade_value_total_usd,current_panel_window_unique_buyers,current_panel_window_unique_trade_users,current_panel_window_mint_cnt,current_panel_current_mint_supply_count,current_panel_window_gas_total_usd,current_panel_price_change_vs_prev_window_pct,current_panel_trade_count_change_vs_prev_window_pct,current_panel_rep_score,current_panel_rep_rank,current_panel_rep_rank_pct,current_panel_low_rep_streak,source_file,source_row,human_evidence_supported,human_no_unsupported_claims,human_decision_reason_consistent,human_auditor,human_audit_notes
gpt-5.4-nano,llm_base,malicious_pre_report,8_3_bba73676_bba73676,111,ALLOW_BUY,NO_RISK,neutral,neutral,,PASS,"No market activity (0 trades, buyers, mint count, and value) and no reputation signals were provided, so there is insufficient evidence of meaningful risk.",no_checkable_numeric_claim,,NO_RISK,TRUE,0.852631579,41,archived_rep_rank_and_streak,archived_fields_mismatch,,0,0,0,0,0,0,0,,,7.42E-09,81,0.852631579,0,toptrust_100x2_decisions_end.csv,99,,,,,
gpt-5.4-nano,llm_base,malicious_pre_report,8_3_cff377d0_cff377d0,45,ALLOW_BUY,NO_RISK,neutral,neutral,,PASS,"No market activity or pricing data is present and no reputation signals are provided, so there is no strong evidence of meaningful NFT risk.",no_checkable_numeric_claim,,NO_RISK,TRUE,0.948275862,20,archived_rep_rank_and_streak,archived_fields_match,,0,0,0,0,0,0,0,,,3.81E-08,55,0.948275862,20,toptrust_100x2_decisions_end.csv,43,,,,,
gpt-5.4-nano,llm_base,malicious_pre_report,8_3_6249c06e_6249c06e,42,ALLOW_BUY,NO_RISK,neutral,neutral,,PASS,No market activity and no provided reputation signals indicate insufficient evidence of meaningful risk.,no_checkable_numeric_claim,,NO_RISK,TRUE,0.771929825,0,archived_rep_rank_and_streak,archived_fields_match,,0,0,0,0,0,0,0,,,1.89E-05,44,0.771929825,0,toptrust_100x2_decisions_end.csv,56,,,,,
gpt-5.4-nano,llm_base,malicious_pre_report,8_3_e6d00e3b_e6d00e3b,42,ALLOW_BUY,NO_RISK,neutral,neutral,,PASS,"No market activity in the window and no reputation indicators are provided, so there is insufficient evidence of meaningful risk.",no_checkable_numeric_claim,,NO_RISK,TRUE,0.684210526,0,archived_rep_rank_and_streak,archived_fields_match,,0,0,0,0,0,0,38.65254853,,,3.41E-05,39,0.684210526,0,toptrust_100x2_decisions_end.csv,14,,,,,
gpt-5.4-nano,llm_base,malicious_pre_report,8_3_cff377d0_cff377d0,45,ALLOW_BUY,NO_RISK,neutral,neutral,,PASS,No market activity and no provided reputation signals make the evidence insufficient for meaningful risk.,no_checkable_numeric_claim,,NO_RISK,TRUE,0.948275862,20,archived_rep_rank_and_streak,archived_fields_match,,0,0,0,0,0,0,0,,,3.81E-08,55,0.948275862,20,toptrust_100x2_decisions_end.csv,93,,,,,
gpt-5.4-nano,llm_base,good_trust,CloneX,65,ALLOW_BUY,NO_RISK,positive,neutral,,PASS,"Market activity is strong with positive price/trade trends, and no negative reputation signals are provided.",no_checkable_numeric_claim,,NO_RISK,TRUE,0.012820513,0,archived_rep_rank_and_streak,archived_fields_match,9705.522,208,2343070.05,148,263,3,19425,4301.208093,0.096526232,0.464788732,0.048159672,1,0.012820513,0,toptrust_100x2_decisions_end.csv,174,,,,,
gpt-5.4-nano,llm_base,good_trust,Milady,90,ALLOW_BUY,NO_RISK,positive,neutral,,PASS,"Strong market activity with rising price and trades, with no provided reputation risk signals.",no_checkable_numeric_claim,,NO_RISK,TRUE,0.010869565,0,archived_rep_rank_and_streak,archived_fields_match,7681.22474,1415,13574771.26,679,987,0,10000,1128552.09,0.260700223,2.555276382,0.043565028,1,0.010869565,0,toptrust_100x2_decisions_end.csv,149,,,,,
gpt-5.4-nano,llm_base,good_trust,CloneX,34,ALLOW_BUY,NO_RISK,positive,neutral,,PASS,Strong recent trading activity and slight price increase without any provided negative reputation signals suggests no meaningful risk.,no_checkable_numeric_claim,,NO_RISK,TRUE,0.020833333,0,archived_rep_rank_and_streak,archived_fields_match,55764.93147,218,14129090.12,188,363,22,19143,37322.29644,0.191077353,-0.399449036,0.055309996,1,0.020833333,0,toptrust_100x2_decisions_end.csv,134,,,,,
gpt-5.4-nano,llm_base,good_trust,Doodles,117,ALLOW_BUY,NO_RISK,neutral,neutral,,PASS,"Market activity is strong but price/trade count are down versus the prior window, and no reputation evidence is provided, so overall risk is not compelling.",no_checkable_numeric_claim,,NO_RISK,TRUE,0.021052632,0,archived_rep_rank_and_streak,archived_fields_match,3746.813,76,357684.3242,57,106,0,9439,8629.349164,-0.29070536,-0.790055249,0.041049994,2,0.021052632,0,toptrust_100x2_decisions_end.csv,163,,,,,
gpt-5.4-nano,llm_base,good_trust,CloneX,58,ALLOW_BUY,NO_RISK,positive,neutral,,PASS,"High trade activity and value with only a small negative price/trade trend, and no reputation evidence indicating elevated risk.",no_checkable_numeric_claim,,NO_RISK,TRUE,0.013333333,0,archived_rep_rank_and_streak,archived_fields_match,10495.0813,151,1627670.315,130,232,4,19390,3196.939656,-0.017715722,-0.013071895,0.047970319,1,0.013333333,0,toptrust_100x2_decisions_end.csv,170,,,,,
