summary_level,model_name,decision_mode,total_rows,verifiable_rows,hallucination_rows,no_hallucination_rows,unverifiable_rows,not_reviewed_rows,hallucination_rate_verifiable,hallucination_ci95_lower,hallucination_ci95_upper,hallucination_pm95_conservative_margin,hallucination_rate_pm95_display,hallucination_rate_ci95_display,unverifiable_rate_all_rows,minimum_hallucination_rate_all_rows,maximum_hallucination_rate_all_rows
overall,ALL,ALL,120,0,0,0,0,120,,,,,NA,NA,0.0,0.0,1.0
model,gpt-5.4-nano,ALL,30,0,0,0,0,30,,,,,NA,NA,0.0,0.0,1.0
model,grok-4-1-fast,ALL,30,0,0,0,0,30,,,,,NA,NA,0.0,0.0,1.0
model,claude-haiku-4-5-20251001,ALL,30,0,0,0,0,30,,,,,NA,NA,0.0,0.0,1.0
model,gemini-2.5-flash-nothinking,ALL,30,0,0,0,0,30,,,,,NA,NA,0.0,0.0,1.0
model_mode,gpt-5.4-nano,llm_base,10,0,0,0,0,10,,,,,NA,NA,0.0,0.0,1.0
model_mode,gpt-5.4-nano,llm_base_rank,10,0,0,0,0,10,,,,,NA,NA,0.0,0.0,1.0
model_mode,gpt-5.4-nano,llm_rank,10,0,0,0,0,10,,,,,NA,NA,0.0,0.0,1.0
model_mode,grok-4-1-fast,llm_base,10,0,0,0,0,10,,,,,NA,NA,0.0,0.0,1.0
model_mode,grok-4-1-fast,llm_base_rank,10,0,0,0,0,10,,,,,NA,NA,0.0,0.0,1.0
model_mode,grok-4-1-fast,llm_rank,10,0,0,0,0,10,,,,,NA,NA,0.0,0.0,1.0
model_mode,claude-haiku-4-5-20251001,llm_base,10,0,0,0,0,10,,,,,NA,NA,0.0,0.0,1.0
model_mode,claude-haiku-4-5-20251001,llm_base_rank,10,0,0,0,0,10,,,,,NA,NA,0.0,0.0,1.0
model_mode,claude-haiku-4-5-20251001,llm_rank,10,0,0,0,0,10,,,,,NA,NA,0.0,0.0,1.0
model_mode,gemini-2.5-flash-nothinking,llm_base,10,0,0,0,0,10,,,,,NA,NA,0.0,0.0,1.0
model_mode,gemini-2.5-flash-nothinking,llm_base_rank,10,0,0,0,0,10,,,,,NA,NA,0.0,0.0,1.0
model_mode,gemini-2.5-flash-nothinking,llm_rank,10,0,0,0,0,10,,,,,NA,NA,0.0,0.0,1.0
